ORF	hap a | abundance of caesium (gamma-counter) | caesium chloride [50 uM], Cs-134 [4 kBq/ml] | YPD | Heuck S~Kanter U, 2010	hap a | abundance of strontium (gamma-counter) | strontium dichloride [50 uM], Sr-85 [4 kBq/ml] | YPD | Heuck S~Kanter U, 2010
YDR223W	-0.590	-0.950
YDR225W	3.140	1.910
YDR226W	NaN	NaN
YDR227W	0.000	-0.580
YDR229W	-0.350	-0.550
YDR230W	-0.510	-0.310
YDR231C	-0.330	-0.380
YDR233C	0.180	-0.120
YDR234W	-0.510	-0.670
YDR237W	2.280	1.810
YDR239C	-0.370	-0.210
YDR241W	0.310	-1.590
YDR242W	-0.360	-0.490
YDR244W	1.220	2.500
YDR245W	NaN	NaN
YDR247W	0.130	1.080
YDR248C	-1.280	-1.530
YDR249C	-1.380	-1.820
YDR250C	-1.260	-1.650
YDR251W	-0.470	-1.140
YDR252W	-0.800	-1.140
YDR253C	0.110	-0.430
YDR254W	-0.050	-0.720
YDR255C	-1.400	-0.070
YDR256C	-0.560	-1.310
YDR257C	0.720	1.670
YDR258C	-0.550	-1.120
YDR259C	-1.370	-1.480
YDR260C	-0.750	-1.910
YDR261C	-0.440	-0.970
YDR262W	0.980	0.250
YDR263C	-0.160	-0.480
YDR264C	3.500	3.360
YDR265W	1.260	2.760
YDR266C	-0.040	-0.160
YDR268W	-0.490	-0.920
YDR269C	-0.150	1.120
YDR270W	-0.410	-0.190
YDR271C	-0.500	0.860
YDR272W	-0.560	-0.950
YDR273W	-1.010	-0.920
YDR274C	-1.580	-1.930
YDR275W	-0.260	-0.650
YDR276C	5.340	6.050
YDR277C	0.250	-0.090
YDR278C	0.890	0.130
YDR279W	1.040	1.230
YDR281C	0.560	0.220
YDR282C	0.080	-0.410
YDR283C	0.740	3.560
YDR284C	-0.170	-0.100
YDR285W	-0.310	-0.270
YDR286C	-0.610	-0.660
YDR287W	-0.480	-0.550
YDR289C	0.010	-1.900
YDR290W	-1.040	-2.040
YDR291W	-0.560	-0.960
YDR293C	2.180	-0.080
YDR294C	1.700	1.540
YDR295C	0.260	0.090
YDR296W	0.610	-0.020
YDR297W	0.110	-2.480
YDR298C	0.720	-0.150
YDR300C	NaN	NaN
YDR304C	0.890	0.890
YDR305C	0.580	0.980
YDR306C	-0.220	-0.740
YDR307W	1.610	1.970
YDR309C	-0.560	-0.750
YDR310C	0.280	1.700
YDR312W	0.490	0.000
YDR313C	-0.790	-0.110
YDR314C	-0.370	-0.670
YDR315C	0.060	1.970
YDR316W	1.190	0.670
YDR317W	-0.110	0.030
YDR318W	1.790	2.800
YDR319C	0.410	0.220
YDR320C	-1.660	1.200
YDR321W	-0.490	-1.210
YDR322W	-2.040	-1.670
YDR323C	-0.230	4.210
YDR326C	-0.490	-0.600
YDR329C	0.910	2.280
YDR330W	0.040	-0.990
YDR332W	-1.420	-0.590
YDR333C	0.120	-0.440
YDR334W	0.970	1.840
YDR335W	3.650	3.310
YDR336W	-0.250	0.250
YDR337W	0.850	0.710
YDR338C	-0.420	-0.170
YDR340W	0.250	0.190
YDR344C	0.560	0.420
YDR345C	0.000	0.540
YDR346C	0.250	0.900
YDR347W	-1.210	-0.700
YDR348C	1.760	1.420
YDR349C	0.470	-0.850
YDR350C	-0.550	-0.700
YDR351W	-0.840	-1.090
YDR352W	0.100	0.540
YDR354W	3.240	2.250
YDR357C	0.240	-0.590
YDR358W	0.270	0.000
YDR359C	1.360	1.350
YDR360W	2.240	4.220
YDR363W	-0.710	-1.030
YDR363W-A	0.970	2.630
YDR364C	-0.680	-0.970
YDR368W	-0.280	-0.460
YDR369C	0.510	-0.550
YDR370C	-0.910	-2.210
YDR371W	-1.580	-1.830
YDR372C	-0.560	0.270
YDR374C	-0.920	-0.560
YDR375C	-1.840	-2.320
YDR377W	-0.560	-0.900
YDR378C	-0.090	-0.420
YDR379W	0.970	0.490
YDR380W	-1.050	-1.170
YDR382W	NaN	NaN
YDR383C	-0.440	-0.800
YDR384C	-1.210	-0.760
YDR385W	-1.320	1.490
YDR386W	0.140	0.300
YDR387C	0.090	-0.100
YDR388W	1.770	1.140
YDR389W	-0.450	0.310
YDR391C	-0.560	-0.730
YDR392W	-0.440	0.030
YDR393W	0.360	0.660
YDR395W	-0.440	-0.890
YDR399W	-0.900	0.250
YDR400W	-0.490	-1.200
YDR401W	-0.610	-0.910
YDR402C	-0.880	-0.920
YDR403W	-1.630	-1.980
YDR405W	-0.370	-0.790
YDR406W	-1.840	-2.110
YDR408C	-1.460	-1.380
YDR409W	-0.620	-0.220
YDR410C	-0.510	-1.210
YDR411C	-0.720	-1.070
YDR414C	-1.540	-1.270
YDR415C	-0.690	-0.690
YDR417C	2.615	3.215
YDR418W	-1.490	-1.790
YDR419W	-0.490	-0.660
YDR420W	-0.400	-0.500
YDR421W	0.040	-0.270
YDR422C	0.250	0.060
YDR423C	-1.110	-1.070
YDR424C	-0.280	-0.240
YDR425W	0.000	-1.170
YDR426C	0.150	-0.590
YDR428C	-0.370	-0.760
YDR430C	0.310	0.340
YDR431W	1.650	2.160
YDR432W	NaN	NaN
YDR433W	0.300	0.220
YDR435C	4.350	-0.310
YDR436W	0.110	0.480
YDR438W	-0.110	-0.250
YDR439W	-0.520	-1.430
YDR440W	-1.230	-0.800
YDR441C	0.070	0.020
YDR442W	-0.970	1.530
YDR443C	-1.900	1.940
YDR444W	-0.020	-0.130
YDR445C	-1.370	-1.950
YDR446W	0.190	0.330
YDR447C	0.750	3.240
YDR448W	-0.120	-4.230
YDR450W	0.370	4.410
YDR451C	-0.520	-1.360
YDR452W	0.180	0.440
YDR453C	0.310	0.040
YDR455C	-2.560	5.020
YDR456W	-3.560	3.220
YDR457W	3.600	1.430
YDR458C	0.540	0.480
YDR459C	1.320	2.760
YDR461W	-1.280	-1.030
YDR462W	-0.070	-0.210
YDR463W	0.200	-1.220
YDR465C	0.220	0.640
YDR466W	1.990	-0.490
YDR467C	0.010	-1.010
YDR469W	1.810	0.770
YDR470C	NaN	NaN
YDR471W	-1.600	-2.220
YDR475C	-0.285	0.285
YDR476C	-0.090	-0.970
YDR477W	0.190	3.970
YDR479C	0.950	1.650
YDR480W	-0.350	-0.490
YDR481C	0.770	-0.270
YDR482C	-0.590	-0.680
YDR483W	-1.010	-0.790
YDR484W	-0.830	-1.210
YDR485C	0.480	4.310
YDR486C	-0.790	2.760
YDR488C	0.250	0.660
YDR490C	0.560	-0.600
YDR491C	-0.370	-0.890
YDR492W	-0.530	-0.380
YDR493W	0.250	0.230
YDR494W	0.700	0.380
YDR495C	-3.690	4.660
YDR496C	0.580	-1.220
YDR497C	0.110	0.420
YDR500C	0.680	-0.800
YDR501W	-0.540	-0.600
YDR502C	-1.830	-1.830
YDR503C	-0.120	0.250
YDR504C	1.490	0.980
YDR505C	-0.020	0.030
YDR506C	-0.265	-1.080
YDR507C	0.820	-0.750
YDR508C	-0.790	-0.690
YDR509W	-0.350	-0.170
YDR511W	0.710	-0.190
YDR512C	1.315	3.030
YDR513W	-0.220	-0.080
YDR514C	0.500	0.420
YDR515W	1.310	0.840
YDR516C	0.270	0.370
YDR517W	-0.670	0.230
YDR518W	-0.770	-1.430
YDR519W	-0.440	-0.690
YDR521W	0.600	-0.230
YDR522C	-0.090	-1.340
YDR523C	NaN	NaN
YDR524C	-1.930	0.160
YDR525W	-0.480	-1.350
YDR525W-A	0.240	-0.220
YDR528W	-0.430	-0.920
YDR529C	1.520	0.270
YDR530C	-0.590	-0.620
YDR532C	NaN	NaN
YDR533C	-0.360	-0.730
YDR534C	-0.490	-0.890
YDR535C	0.610	0.300
YDR536W	0.480	-0.540
YDR537C	-1.470	-0.530
YDR538W	0.770	0.140
YDR539W	0.570	0.010
YDR540C	0.090	-0.220
YDR541C	-0.510	-1.640
YEL001C	0.650	0.300
YEL003W	0.410	-0.240
YEL004W	0.420	-0.100
YEL005C	0.560	0.410
YEL006W	-0.280	-1.120
YEL007W	0.300	-1.050
YEL008W	1.810	-0.950
YEL009C	1.720	-1.880
YEL010W	0.350	0.050
YEL011W	0.040	-0.450
YEL012W	-0.350	3.210
YEL013W	4.710	2.910
YEL014C	0.150	-0.530
YEL015W	1.800	0.350
YEL016C	0.510	0.630
YEL017C-A	0.160	0.130
YEL017W	0.140	-0.450
YEL018W	0.060	-1.700
YEL020C	-0.260	-1.340
YEL023C	-2.080	-3.030
YEL024W	1.870	2.780
YEL025C	-2.180	-2.860
YEL027W	-6.270	0.330
YEL028W	-0.410	-0.780
YEL029C	NaN	NaN
YEL030W	-0.960	-1.430
YEL031W	-0.960	8.200
YEL033W	1.640	2.870
YEL036C	NaN	NaN
YEL037C	0.670	0.040
YEL038W	0.330	0.700
YEL039C	-1.440	-1.600
YEL040W	-0.680	-1.720
YEL041W	-2.130	-1.590
YEL042W	-3.180	-1.250
YEL043W	-1.910	0.020
YEL044W	NaN	NaN
YEL045C	-0.240	-0.350
YEL046C	-0.320	-1.100
YEL047C	0.730	0.180
YEL048C	0.210	-0.130
YEL049W	-0.690	-1.350
YEL050C	2.870	3.270
YEL051W	-6.530	0.590
YEL052W	-0.060	-0.450
YEL053C	-1.370	-0.610
YEL054C	1.870	0.380
YEL056W	-1.010	-2.080
YEL057C	-1.530	-1.910
YEL059W	3.180	3.930
YEL060C	1.440	-0.540
YEL061C	1.620	0.430
YEL062W	-2.040	3.700
YEL063C	0.900	-0.530
YEL064C	-0.040	-0.140
YEL065W	0.050	-0.370
YEL066W	-1.140	-1.360
YEL067C	-0.450	-0.660
YEL068C	-0.740	-1.550
YEL071W	-0.350	-0.770
YEL072W	-0.170	-0.240
YER001W	0.660	0.650
YER002W	2.100	1.900
YER004W	0.220	-0.020
YER005W	0.800	2.380
YER007C-A	-0.470	0.050
YER007W	0.070	-0.420
YER010C	0.330	0.340
YER011W	0.000	0.230
YER014C-A	0.340	-0.270
YER014W	NaN	NaN
YER016W	0.410	0.950
YER017C	NaN	NaN
YER019C-A	-0.600	-0.610
YER019W	-0.650	0.860
YER020W	1.220	-0.080
YER024W	0.890	1.100
YER027C	-0.260	0.620
YER028C	-1.750	-1.700
YER030W	1.940	2.390
YER031C	-1.920	-0.620
YER032W	1.010	0.670
YER033C	0.650	1.610
YER034W	1.050	0.990
YER035W	0.650	0.240
YER037W	-0.100	0.590
YER038W-A	0.500	1.100
YER039C	0.190	0.050
YER039C-A	-1.170	-1.930
YER040W	1.330	-1.680
YER041W	-1.380	-2.350
YER042W	-0.330	-0.990
YER044C	5.730	-0.610
YER044C-A	0.830	1.130
YER045C	0.940	1.280
YER046W	-0.510	-0.580
YER046W-A	-0.490	-0.540
YER047C	1.600	1.980
YER048C	2.380	2.000
YER049W	1.460	2.330
YER050C	-0.240	-0.970
YER051W	1.270	1.710
YER052C	-0.170	-0.360
YER053C	-0.740	-0.970
YER054C	-0.400	-0.710
YER055C	-0.510	-1.020
YER056C	-2.440	-1.410
YER056C-A	-0.410	1.540
YER057C	0.920	0.030
YER058W	-2.110	-1.960
YER059W	1.820	0.280
YER060W	0.380	0.370
YER060W-A	1.360	0.240
YER061C	1.670	0.660
YER062C	0.590	0.930
YER063W	-0.950	-1.040
YER064C	-0.430	-0.550
YER065C	-0.360	-0.660
YER066C-A	0.460	0.670
YER066W	-0.600	-0.940
YER067C-A	-0.400	-1.060
YER067W	0.030	0.220
YER068C-A	-0.880	-1.780
YER068W	-2.070	-2.480
YER069W	-0.440	-0.690
YER070W	NaN	NaN
YER071C	-0.350	-0.040
YER072W	-1.350	0.640
YER073W	0.450	-0.130
YER074W	-0.110	3.630
YER075C	0.910	0.110
YER077C	-0.460	0.190
YER078C	0.540	1.490
YER079W	-0.110	0.750
YER080W	0.050	-0.160
YER081W	-0.590	-0.930
YER083C	0.600	1.210
YER084W	-1.270	-1.180
YER085C	-0.970	-1.700
YER086W	-0.700	1.310
YER087C-B	-0.150	-0.360
YER087W	0.570	-2.000
YER088C	1.330	1.960
YER089C	0.110	-0.870
YER090W	0.400	-0.230
YER091C	4.690	-2.090
YER091C-A	-1.890	-2.950
YER092W	1.060	0.210
YER093C-A	1.410	1.650
YER095W	0.980	1.570
YER096W	-1.730	-1.870
YER097W	0.010	-0.270
YER098W	-0.060	-0.210
YER101C	0.100	-0.470
YER103W	0.680	-0.400
YER106W	0.250	0.040
YER108C	0.470	0.320
YER109C	1.250	0.820
YER110C	1.950	1.110
YER111C	0.110	-1.050
YER113C	-0.310	-0.090
YER114C	1.010	0.760
YER115C	0.180	-0.270
YER116C	-0.790	-0.590
YER117W	-2.130	-1.910
YER118C	-1.230	-1.810
YER119C	-0.690	0.030
YER119C-A	-1.710	0.710
YER120W	-2.190	0.320
YER121W	-0.220	-0.360
YER122C	1.210	0.090
YER123W	1.810	4.740
YER124C	0.040	-0.700
YER128W	0.310	-0.260
YER129W	-0.300	0.780
YER130C	-1.270	-1.590
YER131W	0.220	1.160
YER132C	-0.650	-1.310
YER134C	0.270	-0.320
YER135C	-1.040	-1.220
YER137C	-0.130	-0.280
YER139C	0.670	0.620
YER140W	0.070	0.140
YER141W	0.160	-0.100
YER142C	-0.980	-0.810
YER143W	-0.440	-0.260
YER144C	-2.740	-2.620
YER145C	-0.570	-0.900
YER149C	-0.990	-1.440
YER150W	-1.170	-1.680
YER151C	-4.800	-1.820
YER152C	-0.670	-1.100
YER153C	1.470	1.220
YER154W	-0.115	-0.490
YER155C	2.310	1.550
YER156C	0.050	-2.010
YER158C	0.270	-0.280
YER161C	2.700	2.110
YER162C	-0.320	0.560
YER163C	-0.030	0.530
YER164W	-0.940	-1.860
YER166W	-0.750	-1.010
YER167W	1.000	0.800
YER169W	0.880	-0.230
YER170W	0.560	0.040
YER173W	0.430	0.030
YER174C	0.380	0.100
YER175C	1.580	1.490
YER176W	1.630	2.170
YER177W	-0.060	-1.610
YER178W	-2.560	-2.580
YER179W	0.160	-0.480
YER180C	-0.190	-0.520
YER181C	-0.540	-0.140
YER182W	-0.510	-0.340
YER183C	-0.560	-0.970
YER184C	0.880	0.760
YER185W	0.370	0.440
YER186C	0.690	1.220
YER187W	0.440	0.610
YER188W	-0.190	-1.440
YFL001W	3.670	1.000
YFL003C	-0.060	-0.260
YFL004W	0.440	-1.890
YFL007W	1.410	1.825
YFL010C	-0.860	-1.130
YFL010W-A	-0.430	-0.480
YFL011W	-0.630	-0.640
YFL012W	3.380	6.150
YFL013C	0.100	-0.740
YFL012W-A	-0.150	-0.470
YFL014W	-0.990	0.490
YFL015C	0.580	1.570
YFL016C	NaN	NaN
YFL018C	-0.390	0.550
YFL019C	-1.380	-1.000
YFL020C	0.210	0.740
YFL021W	0.190	-1.000
YFL023W	1.880	0.890
YFL025C	0.200	-0.710
YFL026W	0.490	0.200
YFL027C	-0.230	-0.620
YFL028C	1.150	0.420
YFL030W	0.040	-0.270
YFL031W	-0.270	-0.360
YFL032W	-0.040	0.120
YFL033C	-1.785	-1.495
YFL034C-A	-0.350	-1.000
YFL034W	1.680	0.950
YFL036W	0.920	0.870
YFL040W	-0.430	-0.160
YFL041W	-0.950	-1.170
YFL042C	-0.255	-0.460
YFL044C	-0.320	-0.450
YFL046W	-0.700	-1.150
YFL047W	-0.210	-0.270
YFL048C	-0.390	-1.270
YFL049W	-0.540	-1.520
YFL050C	-0.120	-0.340
YFL051C	0.410	0.240
YFL052W	-0.400	-0.400
YFL053W	0.510	0.890
YFL054C	0.510	0.210
YFL055W	-1.490	-1.540
YFL056C	-0.810	-1.270
YFL063W	-0.490	-1.160
YFR001W	NaN	NaN
YFR006W	-0.110	-0.960
YFR007W	0.120	-0.370
YFR008W	-0.950	-1.180
YFR009W	0.310	0.070
YFR010W	0.130	2.080
YFR011C	-1.010	-1.320
YFR012W	-0.510	-0.870
YFR013W	-0.430	0.120
YFR014C	-0.470	-0.840
YFR015C	-0.870	-1.310
YFR016C	0.140	-0.350
YFR017C	0.050	0.040
YFR018C	-1.240	-1.850
YFR019W	NaN	NaN
YFR020W	-0.510	-1.160
YFR021W	2.440	-2.600
YFR022W	-0.540	-1.160
YFR023W	0.280	-0.640
YFR024C-A	0.360	-1.105
YFR025C	-0.540	-1.140
YFR026C	-0.860	-1.090
YFR030W	0.060	-1.300
YFR031C-A	1.830	2.940
YFR032C	0.270	-0.970
YFR032C-A	6.070	2.060
YFR033C	1.010	0.710
YFR034C	-1.370	-2.470
YFR035C	-0.520	-1.610
YFR036W	-0.040	-1.450
YFR038W	-0.130	-1.250
YFR039C	-0.600	-1.520
YFR040W	-0.920	-1.430
YFR041C	-0.660	-2.060
YFR043C	-2.500	-0.590
YFR044C	-1.180	-1.080
YFR045W	-0.700	-1.160
YFR046C	0.440	0.320
YFR047C	0.500	-0.050
YFR048W	-0.730	-0.990
YFR049W	-0.100	-0.310
YFR053C	-0.510	-0.560
YFR054C	-1.020	-1.410
YFR055W	-1.010	-1.680
YFR056C	-1.490	-1.790
YFR057W	-0.920	-1.370
YGL002W	-0.390	-0.800
YGL003C	1.750	-0.590
YGL004C	-0.040	-0.420
YGL005C	-1.040	-0.440
YGL006W	-0.560	-5.180
YGL007W	-1.370	-0.810
YGL009C	-0.220	-1.520
YGL010W	-0.320	-0.790
YGL012W	1.080	1.010
YGL013C	-0.050	-0.090
YGL014W	-0.590	-0.910
YGL015C	-0.260	-0.230
YGL016W	1.420	0.610
YGL017W	-0.380	-0.750
YGL019W	0.670	-0.050
YGL020C	1.500	1.310
YGL021W	-2.250	-2.090
YGL023C	-0.060	-0.520
YGL024W	1.660	-1.510
YGL025C	1.200	2.520
YGL026C	5.210	0.370
YGL027C	-0.030	1.680
YGL028C	0.120	-0.340
YGL029W	2.680	1.480
YGL031C	-2.490	-3.740
YGL032C	1.080	-2.350
YGL033W	3.850	2.200
YGL034C	0.440	1.090
YGL035C	-1.810	-1.060
YGL036W	-0.260	-0.130
YGL037C	-0.720	-0.210
YGL038C	NaN	NaN
YGL039W	-0.130	0.530
YGL041C	-0.370	-0.090
YGL042C	1.390	1.400
YGL043W	2.880	2.780
YGL045W	1.160	-0.865
YGL049C	1.250	0.320
YGL050W	-1.380	-0.760
YGL051W	-2.120	-2.180
YGL053W	-0.150	-0.420
YGL054C	1.700	1.870
YGL056C	-0.060	0.230
YGL057C	0.450	0.350
YGL058W	0.240	-1.780
YGL059W	-0.790	-0.330
YGL060W	0.030	0.010
YGL062W	-0.930	-0.450
YGL063W	-0.640	-0.120
YGL064C	0.220	-0.410
YGL066W	0.440	0.160
YGL067W	-0.860	-0.530
YGL070C	NaN	NaN
YGL071W	-0.330	-0.840
YGL072C	1.410	1.150
YGL076C	NaN	NaN
YGL077C	1.600	1.370
YGL078C	0.200	0.620
YGL079W	0.420	-0.140
YGL080W	2.750	1.050
YGL081W	-0.560	-0.160
YGL082W	0.820	0.450
YGL083W	0.120	1.230
YGL084C	3.810	1.140
YGL085W	0.070	0.840
YGL086W	-0.750	-0.330
YGL087C	-1.530	-1.720
YGL088W	-0.230	-0.340
YGL089C	1.570	2.070
YGL090W	-0.020	0.140
YGL094C	-1.210	-0.400
YGL095C	NaN	NaN
YGL096W	0.430	0.960
YGL101W	0.060	0.310
YGL104C	-0.870	-0.280
YGL105W	0.830	1.230
YGL107C	0.060	-0.170
YGL108C	0.140	0.510
YGL109W	0.620	0.850
YGL110C	-0.220	0.020
YGL114W	-1.480	-1.790
YGL115W	0.170	2.970
YGL117W	-0.450	0.130
YGL118C	-0.210	-0.280
YGL121C	-0.730	-0.420
YGL124C	-1.510	2.810
YGL125W	3.340	-2.000
YGL126W	-0.720	0.420
YGL127C	4.390	0.700
YGL129C	NaN	NaN
YGL131C	-0.620	-0.600
YGL132W	-0.440	-0.130
YGL133W	-1.660	-2.270
YGL135W	NaN	NaN
YGL136C	0.860	-0.350
YGL138C	-1.540	-1.720
YGL139W	-0.670	-0.210
YGL140C	-1.100	-1.070
YGL141W	-0.780	-1.070
YGL143C	0.210	0.210
YGL144C	-1.240	-1.230
YGL146C	-1.230	-1.170
YGL147C	-1.120	0.150
YGL148W	-0.960	-2.050
YGL149W	0.800	1.680
YGL151W	-1.430	-0.580
YGL152C	-0.380	0.500
YGL153W	-0.140	0.680
YGL154C	-0.970	-1.420
YGL156W	-1.970	-1.920
YGL157W	-2.330	-2.420
YGL158W	-1.450	-1.290
YGL159W	-0.460	-0.880
YGL160W	-1.090	-1.050
YGL161C	-1.040	-1.300
YGL162W	-0.430	-0.710
YGL163C	1.440	2.150
YGL164C	-0.770	-1.120
YGL165C	-0.920	-1.140
YGL166W	-0.770	-1.290
YGL167C	-1.830	0.540
YGL168W	NaN	NaN
YGL170C	0.000	-0.410
YGL173C	1.280	2.760
YGL174W	-1.030	-1.430
YGL175C	1.870	1.570
YGL176C	-0.350	-0.720
YGL177W	-0.070	0.240
YGL179C	0.820	1.010
YGL180W	1.080	-2.550
YGL181W	-1.200	-1.750
YGL194C	1.110	1.090
YGL195W	0.660	3.860
YGL196W	-1.270	-1.440
YGL197W	3.320	2.080
YGL198W	-0.360	-0.580
YGL199C	0.165	0.860
YGL200C	1.590	0.520
YGL202W	-0.100	0.130
YGL203C	-0.110	0.360
YGL205W	0.310	0.720
YGL206C	NaN	NaN
YGL208W	-0.280	0.020
YGL209W	0.980	0.900
YGL210W	0.310	0.080
YGL211W	-2.220	-1.490
YGL212W	-3.150	8.490
YGL213C	1.280	1.970
YGL214W	2.150	2.330
YGL215W	1.880	1.160
YGL216W	0.780	0.380
YGL217C	1.895	1.920
YGL218W	0.500	-1.130
YGL219C	4.080	6.490
YGL220W	0.290	0.300
YGL221C	2.210	2.850
YGL222C	1.060	0.580
YGL223C	NaN	NaN
YGL224C	0.070	0.350
YGL226C-A	1.220	1.210
YGL226W	1.290	1.890
YGL227W	0.020	3.430
YGL228W	-0.030	-0.110
YGL229C	-0.540	-0.920
YGL230C	-0.020	-0.450
YGL231C	-0.210	-1.400
YGL232W	3.320	3.470
YGL234W	1.340	1.060
YGL235W	0.845	1.370
YGL236C	0.040	0.290
YGL237C	-1.050	-1.390
YGL240W	NaN	NaN
YGL241W	1.490	1.630
YGL242C	1.290	0.800
YGL243W	1.200	1.610
YGL244W	1.050	1.010
YGL246C	NaN	NaN
YGL248W	-0.560	-0.260
YGL249W	0.250	-0.030
YGL250W	-0.450	-0.040
YGL251C	-1.380	-1.720
YGL252C	-0.500	1.250
YGL253W	-0.080	-0.520
YGL254W	0.010	-0.180
YGL255W	0.510	0.590
YGL256W	2.000	2.640
YGL257C	1.300	1.120
YGL258W	-0.620	-0.260
YGL259W	-0.210	-0.120
YGL260W	-0.250	-0.260
YGL261C	-1.070	-1.060
YGL262W	-1.470	-1.780
YGL263W	-1.860	-2.230
YGR001C	-0.350	-0.610
YGR003W	0.630	0.210
YGR004W	0.710	1.150
YGR006W	NaN	NaN
YGR007W	-0.180	-0.260
YGR008C	-0.150	-0.440
YGR010W	-0.330	-0.540
YGR011W	0.270	0.255
YGR012W	0.830	1.000
YGR014W	-1.170	-0.990
YGR015C	-0.890	-1.050
YGR016W	-0.660	-0.740
YGR017W	-2.030	-1.880
YGR018C	-0.450	-0.530
YGR019W	-1.210	-1.800
YGR020C	-1.630	-2.500
YGR021W	-0.550	-1.410
YGR022C	-0.435	-0.520
YGR023W	-1.280	-1.960
YGR025W	0.015	-0.090
YGR026W	-0.070	-0.150
YGR027C	-0.510	1.830
YGR028W	-0.060	0.440
YGR031W	-0.630	-1.060
YGR032W	-0.360	0.000
YGR033C	-1.150	-1.470
YGR034W	-0.110	-0.020
YGR035C	-1.530	-1.800
YGR036C	-1.390	-1.880
YGR037C	0.840	-1.270
YGR038W	-1.510	-1.040
YGR039W	-1.900	-2.560
YGR040W	-1.110	-0.720
YGR041W	-1.160	-1.460
YGR042W	0.710	1.180
YGR043C	-1.060	-1.130
YGR044C	-0.700	-0.260
YGR045C	0.090	0.660
YGR049W	0.140	0.630
YGR050C	-1.290	-0.180
YGR051C	-0.770	-0.430
YGR052W	-1.270	-1.110
YGR053C	-0.940	-1.090
YGR054W	-0.660	-0.080
YGR055W	-1.230	-1.440
YGR056W	1.710	-0.990
YGR057C	1.490	-0.650
YGR058W	0.850	0.030
YGR059W	-1.150	-1.100
YGR061C	-0.770	-0.960
YGR062C	-1.270	-1.420
YGR063C	-0.350	0.220
YGR064W	-1.860	-1.660
YGR066C	-1.010	-1.130
YGR067C	-1.760	-1.710
YGR068C	0.040	-1.530
YGR069W	-1.560	-1.920
YGR070W	-0.510	-0.240
YGR071C	-1.080	0.600
YGR072W	2.430	1.690
YGR076C	-1.020	-1.690
YGR077C	-1.440	-1.050
YGR078C	3.320	3.450
YGR079W	1.310	1.650
YGR080W	0.480	0.140
YGR081C	-1.650	-1.260
YGR084C	0.300	0.430
YGR085C	3.570	3.500
YGR086C	-2.110	-1.310
YGR087C	0.530	0.750
YGR088W	0.350	0.460
YGR089W	-2.060	0.560
YGR092W	-0.390	2.890
YGR093W	1.010	1.840
YGR096W	0.590	1.010
YGR097W	0.720	-0.260
YGR100W	-2.080	-1.980
YGR101W	NaN	NaN
YGR102C	0.890	0.230
YGR104C	-1.570	-2.410
YGR105W	-6.230	0.630
YGR106C	0.060	0.900
YGR107W	0.300	0.220
YGR108W	-0.180	0.250
YGR109C	-0.690	0.080
YGR110W	-0.760	0.420
YGR111W	2.920	1.070
YGR112W	-1.020	-1.070
YGR117C	-0.050	0.930
YGR118W	1.710	2.060
YGR121C	0.670	1.290
YGR122C-A	-0.650	-0.450
YGR122W	0.590	-1.750
YGR123C	0.410	0.830
YGR124W	-0.590	-0.060
YGR125W	-0.280	-2.530
YGR126W	0.110	-0.030
YGR127W	-0.190	-0.170
YGR129W	-2.360	1.920
YGR130C	0.440	0.120
YGR131W	0.070	-0.840
YGR132C	0.150	0.080
YGR133W	0.610	1.770
YGR134W	0.610	1.120
YGR135W	0.410	-1.150
YGR136W	0.180	0.270
YGR137W	-0.040	0.010
YGR138C	0.540	0.430
YGR139W	-0.200	-0.940
YGR141W	-0.790	-0.660
YGR142W	-0.360	-0.190
YGR143W	0.200	0.190
YGR144W	-0.960	-0.900
YGR146C	1.420	0.920
YGR148C	-1.470	-1.950
YGR149W	1.190	0.470
YGR150C	0.380	0.120
YGR151C	0.950	0.350
YGR152C	0.640	0.470
YGR153W	-0.480	-0.860
YGR154C	0.590	0.040
YGR155W	1.180	2.010
YGR157W	0.300	-0.350
YGR159C	-0.560	-0.590
YGR160W	-0.860	-1.920
YGR161C	-0.360	0.890
YGR162W	3.400	3.620
YGR163W	-0.610	-1.540
YGR164W	-0.640	-0.620
YGR165W	0.580	0.130
YGR166W	0.370	1.080
YGR167W	0.800	1.560
YGR168C	1.300	1.500
YGR169C	-0.470	-0.450
YGR170W	1.590	1.490
YGR171C	-0.330	-0.490
YGR173W	-0.410	-0.350
YGR174C	-1.070	-1.540
YGR176W	-1.230	-0.470
YGR177C	-1.440	-1.440
YGR178C	-0.720	0.040
YGR180C	NaN	NaN
YGR181W	-0.710	-0.890
YGR182C	-0.880	-0.820
YGR183C	0.340	0.790
YGR184C	0.720	-0.170
YGR187C	0.790	1.700
YGR188C	-1.590	-1.600
YGR189C	-0.220	-0.420
YGR192C	0.150	0.070
YGR193C	-1.330	-0.320
YGR194C	-0.760	-0.530
YGR196C	-1.040	-1.310
YGR197C	-0.390	-0.560
YGR199W	-0.460	-0.740
YGR200C	5.200	4.080
YGR201C	1.060	0.810
YGR202C	-0.300	-0.590
YGR203W	-1.100	-1.460
YGR204W	6.150	1.650
YGR205W	-0.510	-0.400
YGR206W	-0.200	0.800
YGR207C	0.050	0.110
YGR208W	-2.220	1.800
YGR209C	-2.370	-2.310
YGR210C	-0.540	0.190
YGR212W	0.170	-0.320
YGR213C	0.260	0.190
YGR214W	5.970	9.410
YGR215W	-0.380	-0.970
