orf	hap a (post-SGA) | growth (colony size) | expression of GFP [prTDH3] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of GFP [prTDH3] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of tGFP [prPYK1] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of NES-tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of NES-tGFP [prPYK1] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of GFP [prTDH3] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of NES-tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020
YBL037W	0.03243	-0.054544999999999996	-0.013715	-0.04849	-0.04092	-0.039740000000000004	1.1058452309244142	0.95	0.95
YBL039C	0.081985	-0.0029400000000000016	0.035425	0.025374999999999998	0.030005000000000004	-0.06917000000000001	1.0904193179279105	1.05	1.15
YBL042C	0.011014999999999999	-0.004234999999999999	0.02452	0.048055	0.010910000000000001	0.0034599999999999995	1.2210231432365144	1.15	1.35
YBL043W	0.04476	8.99999999999998e-05	-0.00886	0.010985000000000002	-0.0043799999999999985	0.030465	1.1017858359267165	1.05	1.2000000000000002
YBL046W	0.04177	0.004830000000000001	0.082155	0.030975	0.028075	-0.002065000000000001	1.2669873166812917	1.5	1.2000000000000002
YBL047C	0.06886	-0.12895	0.038705	-0.063065	0.0711	-0.07989	1.0071624243553958	0.9	1.1
YBL048W	-0.08046500000000001	0.013210000000000001	0.0024749999999999998	0.065045	0.038169999999999996	0.0695	1.0141758703497925	1.05	1.15
YBL049W	-0.043655	-0.015405	-0.0866	-0.00371	0.011895	0.019755	1.076251872495063	1.25	1.1
YBL051C	-0.039315	-0.10708000000000001	-0.026885000000000003	-0.051949999999999996	-0.026205000000000003	-0.08041	0.932219536714648	0.8	0.9
YBL052C	-0.013394999999999999	0.06369	-0.02502	0.07528	-0.0013	0.112785	1.018493742691425	1.05	1.0
