orf	hap a | biofilm formation | standard | YPD | Vandenbosch D~Coenye T, 2013	hap a | biofilm formation | miconazole [1 mg/ml] | YPD | Vandenbosch D~Coenye T, 2013
YCL008C	0.9	0.79
YCL009C	0.93	1.17
YCL010C	0.82	1.16
YCL011C	0.91	1.05
YCL012C	0.89	1.09
YCL014W	1.2	1.24
YCL016C	0.88	1.05
YCL021W-A	1.1	1.08
YCL022C	1.14	0.86
YCL023C	0.99	0.86
YCL024W	0.97	0.83
YCL025C	0.99	0.9
YCL026C-A	0.98	0.98
YCL026C-B	0.91	0.81
YCL027W	1.18	0.8
YCL028W	1.0	1.14
YCL029C	1.21	1.0
YCL030C	0.88	1.19
YCL032W	0.87	0.9
YCL033C	1.06	0.8
YCL034W	0.93	1.02
YCL035C	1.04	0.99
YCL036W	0.49	1.17
YCL037C	0.61	1.22
YCL038C	1.22	0.91
YCL039W	0.86	1.15
YCL040W	0.87	1.14
YCL042W	0.77	1.18
YCL044C	0.91	1.11
YCL045C	0.89	1.18
YCL046W	0.93	1.13
YCL047C	0.98	1.23
YCL048W	1.07	1.07
YCL049C	0.95	1.0
YCL050C	1.14	0.84
YCL051W	1.11	1.05
YCL055W	1.07	1.01
YCL056C	1.04	0.77
YCL057C-A	0.79	1.16
YCL057W	1.28	1.02
YCL058C	1.03	0.93
YCL061C	1.05	1.1
YCL063W	0.68	1.31
YCL064C	0.92	1.21
YCL069W	0.75	0.84
YCL074W	1.01	0.87
YCL075W	1.0	0.84
YCL076W	1.0	0.89
YCR001W	0.82	1.26
YCR002C	0.94	1.0
YCR003W	0.71	1.19
YCR004C	1.12	0.93
YCR005C	1.04	1.1
YCR006C	1.15	1.0
YCR007C	1.1	0.91
YCR008W	0.94	0.86
YCR009C	0.45	1.15
YCR010C	0.96	1.03
YCR011C	0.93	1.15
YCR014C	1.04	0.98
YCR015C	1.04	0.82
YCR016W	1.14	1.17
YCR017C	0.94	0.95
YCR019W	0.81	0.82
YCR020C	0.96	0.99
YCR020C-A	1.04	0.98
YCR020W-B	1.07	1.12
YCR021C	1.14	1.0
YCR022C	1.13	1.16
YCR023C	1.01	1.07
YCR024C	1.09	0.99
YCR024C-A	0.95	1.08
YCR025C	0.96	1.12
YCR026C	1.19	1.02
YCR027C	1.13	1.14
YCR028C	0.89	0.97
YCR028C-A	1.17	1.2
YCR030C	0.94	1.14
YCR031C	0.89	1.34
YCR032W	1.24	1.2
YCR033W	1.09	1.01
YCR034W	1.01	1.99
YCR036W	0.89	1.29
YCR037C	1.09	1.15
YCR043C	1.02	1.44
YCR044C	0.74	1.62
YCR045C	1.09	1.14
YCR046C	1.14	0.85
YCR047C	0.96	1.25
YCR048W	1.09	0.96
YCR049C	1.08	0.93
YCR050C	1.05	0.83
YCR051W	0.86	1.21
YCR053W	0.93	1.14
YCR059C	0.91	1.19
YCR060W	1.08	1.21
YCR061W	1.0133333333333334	1.23
YCR063W	0.83	0.95
YCR065W	0.84	0.99
YCR066W	0.89	0.94
YCR067C	1.09	1.16
YCR068W	0.72	1.11
YCR069W	0.99	1.27
YCR071C	0.59	1.27
YCR073C	1.07	1.05
YCR073W-A	0.87	1.05
YCR075C	1.08	1.05
YCR075W-A	1.16	0.81
YCR076C	0.99	0.93
YCR077C	0.83	1.49
YCR079W	0.96	1.24
YCR081W	0.8	1.29
YCR082W	1.3	1.18
YCR083W	1.06	1.13
YCR084C	0.93	0.31
YCR085W	1.27	1.27
YCR086W	1.2	1.35
YCR087C-A	1.06	0.88
YCR087W	1.08	0.88
YCR088W	1.13	1.09
YCR089W	1.2	1.01
YCR090C	1.05	0.79
YCR091W	1.04	0.9
YCR092C	1.04	0.92
YCR094W	0.83	0.84
YCR095C	1.28	1.07
YCR095W-A	1.06	1.15
YCR098C	1.13	0.91
YCR099C	1.08	0.94
YCR100C	1.17	1.11
YCR101C	1.22	1.05
YCR102C	1.19	1.02
YCR102W-A	1.06	1.29
YCR105W	1.15	1.02
YCR106W	0.91	0.93
YCR107W	1.11	1.21
YDL001W	0.93	0.92
YDL002C	0.93	0.87
YDL005C	1.06	0.9
YDL006W	0.95	1.06
YDL009C	0.92	1.17
YDL010W	0.91	1.12
YDL011C	0.97	1.13
YDL012C	0.95	1.3
YDL013W	1.04	1.16
YDL018C	0.91	1.28
YDL019C	0.84	1.32
YDL020C	0.87	1.07
YDL021W	0.88	1.1
YDL022W	0.92	1.2
YDL023C	0.87	0.94
YDL024C	0.91	0.97
YDL025C	1.2	1.09
YDL026W	0.87	1.3250000000000002
YDL027C	0.84	1.16
YDL032W	0.75	1.42
YDL033C	0.78	1.07
YDL034W	0.98	0.88
YDL035C	0.94	0.97
YDL036C	1.07	1.2
YDL037C	0.99	1.05
YDL039C	1.04	1.08
YDL040C	0.92	0.96
YDL041W	0.78	1.17
YDL042C	0.94	0.94
YDL044C	0.74	1.13
YDL045W-A	0.86	1.11
YDL046W	0.92	1.19
YDL047W	1.12	0.62
YDL048C	1.0	1.01
YDL049C	0.83	1.22
YDL050C	0.89	1.26
YDL051W	0.96	1.16
YDL052C	0.91	1.14
YDL053C	0.9	1.18
YDL054C	1.01	1.1
YDL056W	1.0	1.03
YDL057W	0.98	1.21
YDL059C	1.01	0.98
YDL061C	1.13	0.98
YDL062W	0.91	0.99
YDL063C	0.86	1.16
YDL065C	0.94	1.01
YDL066W	0.91	1.19
YDL067C	0.74	1.13
YDL068W	0.93	0.92
YDL069C	0.98	1.29
YDL070W	0.77	1.44
YDL071C	0.76	1.31
YDL072C	0.93	1.09
YDL073W	0.91	0.9
YDL074C	0.76	0.93
YDL075W	0.79	1.51
YDL076C	0.96	0.83
YDL077C	0.93	1.27
YDL078C	1.0	1.02
YDL079C	0.89	1.14
YDL080C	0.97	0.88
YDL081C	0.96	1.12
YDL082W	0.97	0.94
YDL083C	0.9	1.19
YDL085C-A	0.97	1.04
YDL085W	0.94	1.11
YDL086W	0.91	1.18
YDL088C	0.87	1.3
YDL089W	0.92	1.2
YDL090C	1.02	1.07
YDL091C	0.98	1.1
YDL093W	0.84	1.02
YDL094C	1.01	0.87
YDL095W	1.16	1.08
YDL096C	1.18	0.96
YDL099W	0.91	0.93
YDL100C	0.94	1.03
YDL101C	0.8	0.75
YDL104C	0.93	0.93
YDL106C	0.94	1.01
YDL107W	0.85	0.82
YDL109C	0.98	1.03
YDL110C	0.93	0.79
YDL112W	0.9	1.01
YDL113C	0.62	0.9
YDL114W	0.9	1.12
