ORF	hap a | growth (culture turbidity) | butan-1-ol [1% v/v] | Gonzalez~Daran JM, 2013
YDL142C	0.523
YDL168W	0.451
YDL180W	0.539
YOR306C	0.530
YJR050W	0.408
YJR063W	0.461
YDL114W	0.576
YDL128W	0.555
YDL144C	0.554
YDL169C	0.576
YDL181W	0.524
YOR309C	0.560
YJR051W	0.553
YDL096C	0.467
YDL116W	0.517
YDL129W	0.473
YDL146W	0.460
YDL170W	0.536
YDL182W	0.419
YOR325W	0.629
YJR052W	0.599
YDL099W	0.533
YDL117W	0.593
YDL130W	0.532
YDL149W	0.549
YDL171C	0.623
YDL183C	0.641
YOR333C	0.598
YDR026C	0.533
YDR043C	0.465
YBR283C	0.601
YBR300C	0.593
YCR036W	0.637
YCR071C	0.512
YJL016W	0.651
YJR010C-A	0.703
YDR027C	0.490
YDR046C	0.533
YBR284W	0.443
YCL001W-A	0.446
YCR037C	0.576
YCR073W-A	0.525
YJL017W	0.566
YDR028C	0.049
YAL064C-A	0.519
YBR285W	0.510
YCR043C	0.512
YCR076C	0.574
YJL020C	0.503
YJR010W	0.550
YDR029W	0.532
YBL091C-A	0.494
YBR286W	0.473
YCR020W-B	0.091
YCR045C	0.434
YCR077C	0.515
YJL021C	0.496
YJR011C	0.649
YDR030C	0.520
YBR269C	0.475
YBR290W	0.491
YCR024C	0.363
YCR049C	0.571
YCR079W	0.412
YJL022W	0.597
YJR014W	0.529
YDR031W	0.545
YBR271W	0.518
YBR291C	0.480
YCR024C-A	0.506
YCR050C	0.404
YCR081W	0.623
YJL023C	0.513
YJR015W	0.587
YDR032C	0.530
YBR273C	0.517
YBR292C	0.501
YCR025C	0.457
YCR051W	0.504
YCR082W	0.492
YJL024C	0.463
YJR018W	0.686
YDR033W	0.492
YBR274W	0.517
YBR293W	0.503
YCR026C	0.458
YCR059C	0.499
YCR085W	0.486
YJL029C	0.506
YJR019C	0.496
YDR034C	0.503
YBR277C	0.503
YBR295W	0.480
YCR027C	0.433
YCR061W	0.456
YCR086W	0.495
YJR001W	0.499
YJR020W	0.523
YDR035W	0.488
YBR278W	0.514
YBR296C	0.487
YCR028C	0.629
YCR065W	0.472
YCR087C-A	0.463
YJR005W	0.496
YJR021C	0.516
YDR036C	0.466
YBR281C	0.443
YBR297W	0.440
YCR031C	0.443
YCR066W	0.514
YCR087W	0.459
YJR008W	0.500
YJR024C	0.506
YDR042C	0.379
YBR282W	0.365
YBR298C	0.473
YCR034W	0.628
YCR068W	0.931
YJL007C	0.483
YJR009C	0.600
YJR025C	0.634
YJR100C	0.593
YJR122W	0.365
YJR148W	0.625
YDL206W	0.538
YDL225W	0.458
YDL239C	0.537
YDR010C	0.501
YJR104C	0.525
YJR124C	0.598
YJR150C	0.574
YDL210W	0.650
YDL226C	0.592
YDL240W	0.609
YJR106W	0.544
YJR125C	0.561
