orf	hap a | growth (colony size) | SDS [0.01-0.025%] | YPD | Zhao F~Han S, 2020	hap a | growth (colony size) | SDS [0.065-0.07%] | YPD | Zhao F~Han S, 2020
YBR181C	0.0	8.251579296450398
YBR224W	0.0	4.125789648225199
YBR271W	0.0	4.125789648225199
YBR273C	0.0	4.125789648225199
YCR047C	0.0	12.377368944675597
YDL062W	0.0	8.251579296450398
YDL063C	0.0	8.251579296450398
YDL082W	0.0	8.251579296450398
YDL083C	0.0	12.377368944675597
YDR156W	0.0	4.125789648225199
YDR382W	0.0	8.251579296450398
YDR417C	0.0	12.377368944675597
YDR450W	0.0	8.251579296450398
YER035W	0.0	8.251579296450398
YER101C	0.0	4.125789648225199
YGL004C	0.0	4.125789648225199
YGL066W	0.0	4.125789648225199
YGL088W	0.0	8.251579296450398
YGL246C	0.0	8.251579296450398
YGR027C	0.0	12.377368944675597
YGR034W	0.0	8.251579296450398
YGR064W	0.0	8.251579296450398
YGR085C	0.0	8.251579296450398
YGR162W	0.0	8.251579296450398
YGR214W	0.0	8.251579296450398
YGR222W	0.0	4.125789648225199
YGR271C-A	0.0	8.251579296450398
YGR285C	0.0	4.125789648225199
YHL033C	0.0	12.377368944675597
YHR203C	0.0	12.377368944675597
YIL017C	0.0	4.125789648225199
YIL032C	0.0	4.125789648225199
YIL042C	0.0	4.125789648225199
YIL050W	0.0	4.125789648225199
YIL069C	0.0	4.125789648225199
YIL073C	0.0	4.125789648225199
YIL112W	0.0	4.125789648225199
YIL133C	0.0	12.377368944675597
YJL177W	0.0	8.251579296450398
YJR039W	0.0	4.125789648225199
YJR063W	0.0	4.125789648225199
YJR106W	0.0	4.125789648225199
YJR110W	0.0	4.125789648225199
YJR129C	0.0	4.125789648225199
YKL009W	0.0	8.251579296450398
YKL032C	0.0	8.251579296450398
YKR096W	0.0	8.251579296450398
YLR055C	0.0	8.251579296450398
YLR061W	0.0	8.251579296450398
YLR062C	0.0	12.377368944675597
YLR074C	0.0	8.251579296450398
YML122C	0.0	4.125789648225199
YMR056C	0.0	8.251579296450398
YMR078C	0.0	4.125789648225199
YNL055C	0.0	4.125789648225199
YNL069C	0.0	8.251579296450398
YNL215W	0.0	4.125789648225199
YNR010W	0.0	8.251579296450398
YNR059W	0.0	4.125789648225199
YOL016C	0.0	4.125789648225199
YOL116W	0.0	4.125789648225199
YOL158C	0.0	4.125789648225199
YOR096W	0.0	8.251579296450398
YOR144C	0.0	4.125789648225199
YOR291W	0.0	4.125789648225199
YOR293W	0.0	8.251579296450398
YPL026C	0.0	4.125789648225199
YPL075W	0.0	12.377368944675597
YPL079W	0.0	12.377368944675597
YPL080C	0.0	12.377368944675597
YPL090C	0.0	4.125789648225199
YPL193W	0.0	12.377368944675597
YPL212C	0.0	8.251579296450398
YPL249C-A	0.0	12.377368944675597
YPR189W	0.0	8.251579296450398
YPR192W	0.0	4.125789648225199
