orf	het | growth (pooled culture, microarray) | risedronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | alendronate [5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | ibandronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009
YKL033W-A			-0.045402161434817574
YKL050C			0.0730926339741807
YKL059C	-0.2833767519571661	-2.0	-2.0
YKL068W	-2.0		
YKL071W			0.0430232546705938
YKL072W			0.0853099167607717
YKL077W	-0.2007346185822253	-2.0	-2.0
YKL095W			0.0670237340055195
YKL096W-A			-2.0
YKL105C	-0.14171800993904465	-2.0	-2.0
YKL107W			0.0405200897179749
YKL108W			0.0537199612909287
YKL112W			0.063435821964834
YKL119C	-2.0	-2.0	-2.0
YKL124W	-0.16712421789587534	-2.0	-2.0
YKL138C	-2.0	-2.0	-2.0
YKL141W			0.037534597585057
YKL142W	-2.0	-2.0	-2.0
YKL143W	-0.16943990451134422	-2.0	-2.0
YKL155C			0.0685337075489011
YKL157W			0.0481272834431832
YKL168C	-2.0	-2.0	-2.0
YKL191W			-0.3098966150451505
YKL197C			0.185113755414802
YKL217W			0.0643177786496397
YKR024C			0.0690122398123838
YKR026C			0.0582038114479507
YKR029C			0.0548437634041002
YKR057W	-2.0	-2.0	-2.0
YKR060W	-2.0		
YKR065C	-0.33743650863095964	-2.0	-2.0
YKR094C			0.0339672243511181
YLL004W		0.139463251512577	0.186255265681877
YLL009C			-0.4556407954533045
YLL025W		0.08455494020445872	0.165127583358197
YLL029W	-2.0	-2.0	
YLL052C			-0.060383234988332396
YLR012C			0.0601157227653315
YLR014C	-2.0	-2.0	-2.0
YLR022C			0.0780994064012908
YLR029C	-2.0	-2.0	-2.0
YLR048W			-0.28851394869878083
YLR060W	-2.0	-2.0	-2.0
YLR068W			-0.11185790960302998
YLR074C			-0.16137448047596542
YLR075W		-2.0	-2.0
YLR078C			-0.0664400720018744
YLR088W			-2.0
YLR094C			-0.10014941009205228
YLR104W			-0.09730377077708768
YLR118C	-2.0	-2.0	
YLR133W	-2.0	-2.0	-2.0
YLR150W			-0.08719965929117647
YLR153C			0.0590879830937496
YLR181C		0.09500789052640325	
YLR194C			-0.19657840314689837
YLR197W	-2.0	-2.0	-2.0
YLR228C			0.163995946756991
YLR234W			-2.0
YLR257W	-2.0	-2.0	-2.0
YLR272C			0.0852187342403697
YLR274W			0.116247715788434
YLR281C			-0.0849494694315795
YLR286C			-0.209802377598784
YLR287C-A			-0.1662912345917358
YLR295C			-2.0
YLR299W			-0.2936090096552932
YLR300W			-0.05723896951289439
YLR303W	-2.0	-2.0	-2.0
YLR307W	-2.0	-2.0	-2.0
YLR312C			-0.17173157592670296
YLR315W			-0.048695189638898566
YLR320W			-0.12340658522960207
YLR321C			-2.0
YLR325C			0.0320899090574902
YLR336C	-2.0	-2.0	-2.0
YLR342W			-0.05025743355107412
YLR347C			0.0539082646951864
YLR353W			-0.1150039321897485
YLR403W			-2.0
YLR406C			-0.22765932753369736
YLR413W			-0.09751601990740381
YLR418C			0.0390052401007292
YLR433C	-2.0	-2.0	-2.0
YLR454W		0.05246334834904886	
YML010W			-0.27019767876437983
YML015C			0.0321301148351072
YML035C	-2.0	-2.0	
YML081C-A		-2.0	-2.0
YML110C			-0.17687651854985478
YML115C		-2.0	-2.0
YML124C		-0.2779189922216996	
