orf	het | growth (pooled culture, microarray) | risedronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | alendronate [5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | ibandronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009
YPL222W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPL223C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPL225W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPL228W		-4.626684684055238	
YPL233W			-0.4625632206933015
YPL234C		-4.626684684055238	
YPL244C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPL245W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPL254W	-0.44842607968015025	-4.626684684055238	-4.480176754022081
YPL260W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPL263C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPL265W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPR010C			-0.1759364823480362
YPR017C	-5.172046592336727	-0.27600835404329027	-4.480176754022081
YPR021C			0.24775201117855364
YPR026W	-0.4348002906240887	-4.626684684055238	-4.480176754022081
YPR033C	-2.1178695315846925	-1.9804746868071792	-1.8727906538893115
YPR034W		-0.08846070744789916	-0.1318510046407843
YPR036W			-4.480176754022081
YPR040W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPR049C		-4.626684684055238	
YPR104C	-1.087955773002639	-1.1307844726311436	-4.480176754022081
YPR116W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPR117W			-0.17380962475316128
YPR133C			-4.480176754022081
YPR138C			-0.5701708159234975
YPR161C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPR181C	-5.172046592336727	-4.626684684055238	
YPR187W			-0.15572301637429156
YPR188C		0.17704334358899884	
YPR193C	-5.172046592336727	-4.626684684055238	-4.480176754022081
