ORF	hap a | growth (colony size) | streptomycin [40 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | neomycin [5.5 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | amitrole [22 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | cycloheximide [45 ng/ml] | Alamgir M~Golshani A, 2010
YDR283C	-11.093	-0.000	-9.407	-0.000
YDR421W	11.207	-12.471	-11.783	-9.106
YDR284C	2.977	-4.822	4.079	2.901
YDR422C	-2.859	1.699	-11.294	-14.895
YDR285W	5.638	4.411	-10.186	1.932
YDR423C	-6.222	6.947	30.057	-10.949
YDR286C	21.042	6.638	13.385	-5.243
YDR425W	5.514	-0.538	25.347	7.462
YDR287W	-5.577	6.968	23.004	-29.233
YDR426C	-10.827	2.017	-7.118	13.480
YDR289C	-13.451	23.212	-6.368	16.759
YDR428C	-0.651	16.662	12.513	4.882
YDR291W	-10.916	22.961	-27.520	-6.284
YDR430C	-20.660	41.023	1.211	2.009
YDR293C	-11.798	-19.272	1.390	-6.336
YGL051W	-4.849	-13.832	-17.917	-14.542
YER016W	0.088	6.689	16.075	-2.578
YGL053W	-10.212	-42.025	11.551	-1.970
YER017C	4.547	-0.000	-0.000	-0.000
YGL054C	-1.982	22.700	1.291	21.151
YER019W	-1.658	-1.642	2.069	-21.851
YGL056C	13.274	-19.192	5.766	-6.757
YER019C-A	14.306	5.932	-16.063	-0.711
YGL057C	-7.945	-11.205	9.916	-0.205
YER020W	4.473	-8.338	5.005	-9.730
YGL058W	-4.940	-16.634	1.870	1.310
YER024W	10.211	2.020	8.058	3.099
YGL059W	6.897	9.698	17.812	-25.547
YER028C	5.757	5.368	6.593	-1.951
YGL060W	1.937	16.931	-14.793	-6.378
YER030W	4.195	4.149	-16.853	-8.166
YGL062W	17.983	10.836	22.473	-13.658
YER032W	3.195	-0.290	-3.944	9.833
YGL066W	-2.902	-6.261	-31.877	-38.961
YER033C	4.294	8.449	-2.593	10.189
YGL067W	-10.501	-3.003	6.358	-3.239
YER034W	-22.728	12.620	-18.634	1.363
YGL070C	-27.490	18.166	15.640	14.243
YER035W	-13.625	22.273	-2.699	-8.286
YDR395W	12.011	-3.174	-5.533	19.217
YDR263C	-5.687	0.786	21.999	7.385
YDR399W	-10.216	-16.891	19.854	52.808
YDR264C	-14.819	-14.577	3.987	6.828
YDR400W	-2.880	8.912	-0.380	-9.033
YDR265W	7.033	-9.647	-0.103	27.361
YDR401W	5.605	10.473	3.128	4.198
YDR266C	2.826	-9.309	-5.920	5.257
YDR402C	-7.069	-15.026	10.576	12.076
YDR268W	15.049	-7.070	7.378	1.518
YDR403W	1.332	14.851	18.142	17.726
YDR270W	10.551	1.094	-3.284	-19.243
YDR405W	-1.139	-0.000	10.285	22.120
YDR272W	23.814	0.781	-1.498	5.262
YDR406W	6.368	10.611	-5.804	18.516
YDR273W	3.570	12.409	-0.042	-2.639
YDR408C	-5.577	-5.430	-4.300	-12.773
YDR274C	1.085	19.711	2.158	5.853
YDR409W	4.838	0.536	9.805	7.292
YDR275W	2.527	14.614	2.064	8.147
YDR410C	10.041	6.747	14.807	11.951
YDR276C	-77.074	-15.582	-17.252	-51.040
YDR411C	-23.771	20.414	-7.900	6.004
YDR277C	-13.711	3.848	-24.135	2.483
YGL031C	-9.211	-5.739	2.690	-14.383
YEL068C	6.485	-17.821	9.444	1.719
YGL032C	-11.609	2.140	13.230	18.675
YEL071W	-8.960	-12.900	-16.885	24.073
YGL033W	8.985	-8.452	-3.931	18.879
