orf	hom | growth (pooled culture, microarray) | standard | SC - Ade | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Arg | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Lys | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Met | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Trp | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | 16001701 | YPD + DMSO [2%] | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | CCCP [32 uM] | YPD + DMSO [2%] | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | cisplatin [200 uM] | YPD | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | FCCP [6 uM] | YPD + DMSO [2%] | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | YPG [3%] | Acton E~Giaever G, 2017
YBL068W	-0.127198293	0.071259623	0.067636078	0.066174949	-0.170797197	-0.266836388	-0.033367274	-0.115586439	0.006594531	-0.075071297
YBL069W	-0.024165803	-0.046585569	0.071211511	-0.088313045	-0.105691307	0.02651037	-0.000442677	0.051337562	-0.071658662	-0.004011397
YBL070C	-0.179540562	0.070228714	0.016773129	-0.403650631	0.156254498	-0.140608096	0.076215515	0.184349528	-0.118639008	0.168431909
YBL071C	-0.172534716	-0.077929165	-0.009169284	-0.252646053	-0.301427741	0.01411346	0.0033979	0.024835522	0.063596326	0.028623449
YBL071C-B										
YBL072C	-0.113933311	-0.117214616	-0.125320788	-0.053234461	0.031127092	0.006514646	-0.01553438	0.006526787	-0.007750903	-0.002855083
YBL075C	0.110358663	-0.030937866	0.039851054	0.123569959	0.152646725	-0.053697959	-0.05626254	-0.102923087	0.003836142	-0.155573653
YBL078C	-0.128713966	0.065553518	0.027423866	-0.195016822	-0.036121169	-0.014440509	-0.090045665	-0.210088357	-0.018717337	-0.138504773
YBL079W	-0.003645481	0.243970734	0.165563504	0.033594071	0.074696205	-0.005876875	0.003963841	-0.005893042	0.014946012	0.004196323
YBL080C										
YBL081W	-0.408418614	0.030011698	-0.230757961	-0.325746838	0.060267469	-0.04271782	-0.045664773	0.031813393	-0.021876391	-0.045251383
YBL082C	-0.346451629	0.278414356	0.047463525	0.672764409	0.153953237	0.21601329	0.253321802	-0.175467965	-0.100988713	0.02181566
YBL083C	-0.249651275	-0.072897174	-0.160981054	-0.257745236	-0.235440193	-0.082555179	-0.284070026	-0.631785054	-0.292954249	-0.311900761
YBL085W	0.095748834	0.160683016	0.040814202	0.139255106	-0.018831116	0.117991843	-0.243576068	0.094747633	-0.178591533	-0.106079806
YBL086C	-0.690752735	-0.19314784	-0.261363775	-0.039076863	-0.53411972	0.297378324	0.030883309	0.209934625	-0.126535678	0.037223003
YBL087C	-0.118126528	-0.041916022	-0.10722961	-0.07299467	-0.127307209	0.002415629	-0.018328564	-0.032885058	0.034657086	-0.011502926
YBL088C	0.201410702	0.353033896	0.304522702	0.275292063	0.442773764	0.039611052	0.109816931	-0.10218886	-0.127156983	0.166211023
YBL089W	-0.068233514	-0.158446156	-0.041337468	-0.1248911	-0.230259304	-0.106571937	0.45440195	0.169826219	0.281197282	-0.263674107
YBL090W										
YBL091C	-0.279300573	0.133488068	-0.171812835	-0.107145627	-0.087256118	0.03810259	0.157052597	-0.066123586	0.0023409	0.157100699
YBL091C-A	0.075652396	-0.210252515	0.039135736	-0.243487062	0.088415476	0.116916198	0.305462728	-0.059806485	0.174595603	-0.166365538
YBL094C	0.080114289	-0.018920778	-0.033233166	-0.00593343	0.070902841	0.023572575	-0.095514383	-0.126628459	-0.088936051	-0.032896412
YBL095W	-0.180022106	-0.241896018	-0.218903043	-0.212856038	-0.097860846	-0.065445309	-0.270152407	-0.082340374	-0.035135995	-0.261496714
YBL096C	-0.126664109	-0.032611005	-0.150221503	0.067356497	-0.151354659	0.029292834	-0.159993011	0.005577453	-0.05397234	-0.160858474
YBL098W	0.151291584	0.071791245	0.101345141	0.144896082	0.216996616	0.061768756	-0.013539066	-0.022638164	-0.027099525	-0.095069097
YBL099W	-0.133192619	-0.088720356	-0.193512705	-0.148254118	-0.075487878	-0.187667365	-1.390714757	-0.15418041	-1.131854281	-2.003848451
YBL100C	-0.362637768	0.03039377	-0.429966639	-0.220116641	-0.019397236	-0.537974188	-1.795941914	0.034412022	-1.210885376	-1.629657921
YBL100W-C										
YBL101C						0.009594883	-0.098042417	0.036165039	-0.069816262	-0.053358
YBL102W	-0.036180559	0.18993317	0.055508115	0.0336724	0.032975604	0.028494755	0.07486318	-0.211171126	-0.024918237	-0.0019617
YBL103C						-0.114590177	0.165168004	0.28217765	0.153463937	-0.061388474
YBL104C	0.089884278	-0.011584662	-0.111268246	0.030754238	0.080698275	0.031929851	0.044167514	-0.023425273	0.050177002	-0.0353075
YBL106C	-0.157879689	-0.088295717	-0.107682454	-0.149703892	0.005704435	-0.025478558	-0.110913471	-0.040244549	-0.111851279	-0.010277123
YBL107C	-0.092530893	-0.046845209	-0.061769023	-0.118480176	0.040484671	0.116059184	0.041169103	0.020727827	0.070155251	0.098434331
YBR001C	-0.027507051	-0.033392656	-0.130614432	-0.05207718	-0.080778577	0.035650604	0.020780628	-0.120448114	0.001609797	-0.008952235
YBR003W	-0.056240883	-0.037276361	0.056757445	0.055383417	0.027778701	-0.003268279	-1.51960683	-0.055060231	-0.680047046	-2.833595117
YBR005W	-0.184043452	-0.026214308	-0.162717805	-0.067681553	-0.20330969	-0.040637243	-0.03746865	-0.030561827	-0.036363526	-0.033058164
YBR006W	-0.08220763	-0.022753799	-0.035268301	-0.070762683	0.075596373	0.017879399	-0.092346153	0.011708733	0.053304107	7.88e-05
YBR007C	0.005738541	-0.015672502	0.055381596	0.051156853	0.101159064	-0.005937468	-0.037081728	-0.159314716	-0.039279999	-0.020873298
YBR008C	-0.109555997	-0.045283159	-0.056231243	-0.042813306	0.016132924	0.005672282	-0.026918045	-0.062566402	0.043480977	0.035886146
YBR009C	-0.113174946	-0.100280866	-0.117703996	-0.073775198	-0.043092872	0.002783634	-0.001591724	-0.030699479	0.027987189	0.009207769
YBR010W	-0.181414754	-0.12589692	-0.127228595	-0.161506924	-0.061316878	-0.044004402	-0.051210094	-0.029019002	-0.019418727	0.026431674
YBR012C	0.038072329	-0.036279024	0.006261113	0.044312023	0.092936468	0.035980948	-0.043465675	-0.027844965	0.091086313	-0.056340666
YBR013C	-0.070471392	-0.041092183	-0.058237527	-0.064501316	0.002062707	-0.087595965	-0.175486805	0.01544102	-0.006622543	-0.028110428
YBR014C	-0.10997042	-0.12894968	-0.097419793	-0.09751051	-0.10609713	0.096611911	-0.075129153	0.027715713	-0.00338808	0.097700954
YBR015C	-0.056990905	0.103132291	-0.088653225	-0.047906327	0.10133061	0.104694537	0.142740691	-0.01088625	0.070839376	0.06571484
YBR016W	-0.078061023	-0.08431837	-0.15886129	-0.117484917	-0.056160019	0.021382001	0.003061922	-0.05300089	-0.034085809	0.042995796
YBR018C	-0.100001102	-0.065047507	-0.162072754	-0.033185672	-0.057723193	0.056444886	-0.056321951	-0.028833682	-0.084828546	-0.005756117
YBR019C	0.0133647	0.041452557	0.136542894	0.088113694	0.27566665	-0.120229956	0.129287197	-0.089491771	-0.127085754	-0.104897924
YBR020W	-0.032492667	0.011564936	-0.093296311	0.023128528	0.033733445	0.033148641	-0.085760774	-0.014863559	-0.158372454	0.034781363
YBR021W						-0.047140655	-0.147655491	-0.019152697	-0.138491125	0.349094346
YBR022W	0.047683554	0.100464653	-0.014897949	0.007574961	0.103351482	-0.113902245	0.074592602	0.140998972	0.05987465	-0.025159177
YBR023C	0.074619284	-0.029864227	0.012726984	0.224843159	0.007988448	0.209063209	-0.029634788	0.359006713	-0.212402004	0.257502849
YBR024W	-0.140564741	0.000499081	-0.051967491	-0.224406083	-0.010479947	0.093710165	-0.176858621	0.098696574	-0.095308249	-0.024563948
YBR025C	-0.021417497	-0.008583314	-0.146033246	0.031057605	-0.023466852	-0.036401206	-0.009088936	-0.007769257	-0.004314443	-0.010686031
YBR026C	0.064091722	-0.521358277	-0.164053357	0.249532151	0.200189115	0.128282494	-0.994501707	0.078072351	-0.604131032	-1.934811137
YBR027C	-0.014981831	-0.021808839	-0.110252778	-0.029085933	-0.05094974	0.14383662	-0.218169616	-0.267798841	-0.116988386	-0.073278714
YBR028C	0.017843726	0.05032138	-0.086429326	-0.218944406	0.078567639	0.198994129	-0.177914338	-0.047246997	-0.069831524	-0.0189994
YBR030W	-0.008884291	0.02470236	0.009598451	0.092541783	-0.080301452	0.031124724	-0.156411051	0.035221821	-0.13962406	-0.03227794
YBR031W	-0.080255493	-0.09368784	-0.050668819	0.051602566	0.001851098	-0.029645476	-0.026884499	-0.005046371	-0.022950217	-0.014843974
