orf	hap alpha | growth (culture turbidity) | DiKU+Trp (DiKU+Trp [unknown]) | Cai H~Becker JM, 2006	hap alpha | growth (culture turbidity) | DiKU-Trp (DiKU-Trp [unknown]) | Cai H~Becker JM, 2006	hap alpha | growth (culture turbidity) | HLKU [unknown] | Cai H~Becker JM, 2006
YBR141C	1.641	2.713	1.125
YBR144C	1.633	1.794	1.196
YBR145W	0.885	0.292	1.1909999999999998
YBR146W	0.28300000000000003	-0.057999999999999996	0.696
YBR147W	0.9209999999999999	0.39399999999999996	1.088
YBR148W	0.8540000000000001	0.057999999999999996	1.097
YBR149W	0.976	0.685	1.082
YBR150C	1.252	1.419	1.01
YBR151W	1.0590000000000002	1.2690000000000001	1.1520000000000001
YBR156C	0.42100000000000004	0.102	0.752
YBR157C	1.094	1.036	1.1159999999999999
YBR158W	0.968	0.131	0.991
YBR159W	0.996	0.379	1.095
YBR161W	0.9129999999999999	0.452	1.0859999999999999
YBR162C	1.5390000000000001	4.288	1.192
YBR162W-A	0.8540000000000001	1.6340000000000001	0.9740000000000001
YBR163W	0.775	0.613	0.929
YBR164C	0.795	0.89	0.9279999999999999
YBR165W	0.6409999999999999	-0.073	1.041
YBR166C	0.0	0.08800000000000001	0.02
YBR168W	1.12	1.433	0.9309999999999999
YBR169C	1.005	1.2590000000000001	1.016
YBR170C	0.327	0.131	0.937
YBR171W	0.9129999999999999	0.904	0.86
YBR172C	0.531	0.08800000000000001	0.9840000000000001
YBR173C	0.973	0.376	1.2429999999999999
YBR174C	1.554	1.25	1.025
YBR175W	1.636	1.601	0.833
YBR176W	0.855	1.349	0.544
YBR177C	1.304	1.033	1.055
YBR178W	1.074	0.98	1.044
YBR179C	0.392	-0.065	0.8220000000000001
YBR180W	1.103	1.4369999999999998	1.0959999999999999
YBR181C	0.9	0.336	1.0859999999999999
YBR182C	1.0959999999999999	0.534	1.069
YBR183W	1.09	0.495	1.0270000000000001
YBR184W	0.988	1.252	1.0
YBR185C	1.054	0.466	1.025
YBR186W	1.084	0.604	1.107
YBR187W	1.198	0.502	1.043
YBR188C	1.281	0.62	1.119
YBR189W	0.2	0.326	0.855
YBR191W	0.162	0.516	0.9159999999999999
YBR194W	0.703	0.293	0.981
YBR195C	1.048	0.536	1.073
YBR197C	1.3780000000000001	1.839	0.971
YBR199W	1.147	0.711	0.988
YBR200W	0.8440000000000001	0.29600000000000004	0.732
YBR201W	1.113	0.7829999999999999	0.961
YBR203W	0.8079999999999999	0.275	1.006
YBR204C	0.893	0.353	0.966
YBR205W	1.271	0.823	1.004
YBR206W	1.386	0.479	0.997
YBR207W	0.9109999999999999	0.557	1.072
YBR208C	0.985	2.739	0.38299999999999995
YBR209W	1.474	2.312	0.525
YBR210W	1.145	1.115	0.883
YBR212W	1.12	1.14	1.079
YBR213W	0.062	0.245	0.008
YBR214W	0.98	1.088	0.993
YBR215W	0.684	0.693	1.016
YBR216C	1.058	3.202	1.01
YBR217W	1.143	0.731	0.9840000000000001
YBR218C	1.382	4.254	1.157
YBR219C	1.253	1.024	1.074
YBR220C	1.2309999999999999	0.728	1.008
YBR221C	0.09300000000000001	0.322	0.938
YBR222C	0.8290000000000001	0.7709999999999999	1.202
YBR223C	1.095	0.753	1.102
YBR224W	1.015	0.831	1.25
YBR225W	1.129	0.762	1.208
YBR226C	1.034	1.4480000000000002	1.205
YBR227C	1.054	0.39899999999999997	0.983
YBR228W	1.151	1.6580000000000001	1.192
YBR229C	1.541	1.262	1.194
YBR230C	1.088	0.8109999999999999	1.242
