ORF	hap a | mitotic recombination (frequency of Rad52 foci) | standard [standard] | Styles EB~Andrews BJ, 2016	hap a | mitotic recombination (frequency of Rad52 foci) | phleomycin [2.5 ng/uL] | Styles EB~Andrews BJ, 2016
YCL040W	-0.284	-0.008
YCL042W	0.445	-0.481
YCL044C	0.147	-0.275
YCL045C	0.251	-0.478
YCL046W	0.711	0.242
YCL047C	0.449	-0.853
YCL048W	0.217	0.709
YCL049C	0.281	1.077
YCL050C	0.587	-0.813
YCL051W	-0.589	-2.122
YCL055W	-0.528	-0.416
YCL056C	-0.532	-1.648
YCL057W	0.341	-0.268
YCL060C	7.280	4.718
YCL061C	7.057	5.507
YCL062W	-0.374	-0.505
YCL063W	-0.110	0.027
YCL064C	-0.316	-0.138
YCL069W	-0.587	-1.133
YCL074W	-1.467	-1.501
YCL075W	-0.713	0.221
YCL076W	-0.012	-1.071
YCR001W	0.123	0.756
YCR005C	0.051	-0.426
YCR006C	-0.765	-0.722
YCR007C	-0.070	0.501
YCR008W	1.241	2.107
YCR009C	0.484	2.470
YCR010C	0.073	1.069
YCR011C	-0.451	1.501
YCR014C	0.877	0.127
YCR015C	-0.016	-0.460
YCR016W	0.094	0.504
YCR017C	-0.496	-0.272
YCR019W	-0.754	-1.334
YCR020C	-0.717	-1.186
YCR020C-A	-0.450	-0.800
YCR021C	0.219	-0.537
YCR022C	-0.013	0.415
YCR023C	1.035	0.874
YCR024C-A	0.682	0.079
YCR025C	0.074	-0.550
YCR026C	-0.427	-0.180
YCR027C	-0.064	-0.611
YCR028C-A	1.386	0.840
YCR030C	-0.976	-0.452
YCR031C	-1.583	-1.426
YCR032W	0.651	0.829
YCR033W	1.222	1.936
YCR034W	0.341	1.437
YCR036W	0.841	0.683
YCR037C	0.192	0.689
YCR043C	-0.254	20.779
YCR044C	-0.272	-0.444
YCR045C	-0.061	1.081
YCR048W	-0.435	-0.858
YCR049C	-0.432	-1.290
YCR050C	0.236	-1.675
YCR051W	-0.386	-1.058
YCR053W	NaN	NaN
YCR059C	-0.112	-1.433
YCR060W	-0.784	-0.036
YCR061W	0.562	-0.182
YCR062W	-0.862	-0.034
YCR063W	-2.424	-4.853
YCR065W	-0.838	-0.478
YCR067C	0.597	0.968
YCR068W	-0.761	-2.147
YCR069W	-0.163	-0.146
YCR071C	1.403	2.394
YCR073C	0.640	0.649
YCR073W-A	-0.713	0.974
YCR075C	0.214	-0.323
YCR076C	-1.297	-0.749
YCR077C	1.460	-1.402
YCR079W	-0.158	-0.416
YCR081W	1.028	2.274
YCR082W	0.192	0.132
YCR083W	0.167	0.229
YCR085W	1.078	1.880
YCR086W	0.955	-0.093
YCR087C-A	0.184	1.797
YCR087W	-0.235	1.519
YCR088W	0.080	0.704
YCR089W	0.298	0.110
YCR090C	-0.506	0.135
YCR091W	0.661	0.665
YCR092C	0.605	0.963
YCR095C	0.508	0.969
YCR098C	0.399	1.508
YCR099C	-0.355	-0.915
YCR100C	-0.169	0.322
YCR101C	-0.660	-1.409
YCR102C	-0.160	-0.783
YCR102W-A	1.225	1.950
YCR105W	0.154	-0.386
YCR106W	-0.437	-0.326
YCR107W	-0.407	-2.068
YDL001W	-1.175	-1.615
YDL002C	0.460	0.453
YDL006W	3.546	4.174
YDL010W	-0.081	-0.318
YDL011C	0.431	1.338
YDL012C	-0.943	-1.231
YDL013W	2.451	4.710
YDL018C	-1.057	-1.439
YDL019C	-0.156	-0.979
YDL020C	1.351	2.852
YDL023C	-0.360	-0.238
YDL024C	0.342	0.426
YDL025C	-1.438	-1.762
YDL026W	-1.099	-1.375
YDL027C	0.400	-0.275
YDL033C	-0.153	1.891
YDL034W	-0.317	-0.373
YDL035C	-1.348	-0.695
YDL036C	-0.150	-0.037
YDL037C	0.473	-0.195
YDL038C	0.611	-0.366
YDL039C	-0.658	-0.372
YDL040C	-0.376	-0.420
YDL041W	0.139	-3.296
YDL042C	-0.638	NaN
YDL046W	-0.706	-0.324
YDL048C	-0.600	0.229
YDL050C	-0.901	-0.696
YDL051W	-1.065	-1.718
YDL052C	0.538	0.434
YDL053C	-0.712	0.675
YDL054C	-0.585	-0.740
YDL056W	-1.058	-1.862
YDL059C	3.732	1.444
YDL061C	0.214	-0.523
YDL062W	-0.446	-0.287
YDL065C	0.329	0.702
YDL066W	-0.098	-0.429
YDL070W	-0.630	0.050
YDL071C	-0.528	1.934
YDL074C	4.477	3.314
YDL076C	0.414	0.602
YDL077C	-0.095	2.862
YDL078C	0.023	-0.429
YDL079C	0.098	-1.167
YDL080C	-0.754	-0.114
YDL081C	-0.531	0.281
YDL082W	0.496	0.734
YDL083C	-1.915	-0.442
YDL085W	-0.038	-0.189
YDL086W	0.490	0.892
YDL088C	0.142	1.361
YDL089W	0.390	-0.439
YDL090C	-3.277	NaN
YDL091C	-0.620	-0.904
YDL093W	0.786	2.851
YDL094C	-0.097	-0.222
YDL095W	-0.843	-0.707
YDL096C	0.154	0.803
YDL099W	-1.230	-0.791
YDL100C	1.489	3.573
YDL104C	-1.468	-0.931
YDL106C	0.995	0.256
YDL109C	-0.257	0.193
YDL110C	0.391	0.835
YDL112W	-0.916	0.634
YDL113C	0.703	-0.423
YDL114W	0.242	0.646
YDL117W	-1.425	-2.735
YDL118W	0.958	1.518
YDL119C	1.078	0.109
YDL121C	-0.241	0.846
YDL122W	-0.483	-0.561
YDL123W	0.282	-1.018
YDL124W	-0.378	-1.469
YDL125C	-0.125	-0.099
YDL127W	-0.299	0.567
YDL128W	-0.288	1.484
YDL129W	0.399	0.507
YDL130W	0.654	1.050
YDL130W-A	0.147	1.078
YDL131W	0.336	0.966
YDL133C-A	-0.715	-0.271
YDL133W	-0.391	0.722
YDL134C	0.234	0.899
YDL134C-A	-0.861	-1.186
YDL135C	-0.945	0.458
YDL136W	-0.157	0.274
YDL137W	-1.352	1.644
YDL138W	-0.245	0.605
YDL142C	1.290	0.468
YDL144C	0.062	0.861
YDL146W	-1.213	-0.780
YDL149W	-0.458	-1.109
