ORF	chronological life span;standard
YDL022W	0.997
YEL037C	0.997
YER186C	0.997
YJL112W	0.997
YHL002W	0.997
YJR115W	0.997
YDR036C	0.997
YHR146W	0.997
YDR135C	0.997
YLR199C	0.997
YGR196C	0.997
YIR032C	0.997
YMR273C	0.997
YMR171C	0.997
YKR080W	0.997
YFR021W	0.997
YMR179W	0.997
YJL047C	0.997
YIL136W	0.997
YLR080W	0.997
YMR065W	0.997
YNL035C	0.997
YNL013C	0.997
YJR099W	0.997
YBL008W	0.997
YBR210W	0.997
YJR031C	0.997
YJR110W	0.997
YAL028W	0.997
YNL299W	0.997
YOL020W	0.997
YOL079W	0.997
YMR258C	0.997
YML096W	0.997
YOR047C	0.997
YPL216W	0.997
YAR031W	0.997
YAL037W	0.997
YPR118W	0.997
YJR153W	0.997
YGR266W	0.997
YDL149W	0.997
YPL186C	0.997
YKL008C	0.997
YMR224C	0.997
YKR082W	0.997
YDR252W	0.997
YHL037C	0.997
YGR001C	0.997
YLL014W	0.997
YOR172W	0.997
YKR065C	0.997
YPR106W	0.997
YPR028W	0.997
YGR136W	0.997
YKL068W	0.997
YGR033C	0.997
YPR155C	0.997
YOR220W	0.997
YGR096W	0.997
YGL012W	0.997
YHR139C	0.997
YLL015W	0.997
YOR170W	0.997
YLR120C	0.997
YGR007W	0.997
YMR017W	0.997
YJL171C	0.997
YOR365C	0.997
YOR339C	0.997
YGR121C	0.997
YCR005C	0.997
YBR164C	0.997
YLR122C	0.997
YGL140C	0.997
YDR210W	0.997
YPR014C	0.997
YLR016C	0.997
YKR085C	0.997
YGL153W	0.997
YBR195C	0.997
YHR138C	0.997
YCL064C	0.997
YNL020C	0.997
YOR124C	0.997
YOL057W	0.997
YNL318C	0.997
YPL058C	0.997
YDR074W	0.997
YKR014C	0.997
YJL211C	0.997
YOL107W	0.997
YML131W	0.997
YGL181W	0.997
YOR293W	0.997
YBL059W	0.997
YOR088W	0.997
YNR034W	0.997
YLR444C	0.997
YGL147C	0.997
YJR075W	0.997
YOR360C	0.997
YDR399W	0.997
YPL133C	0.997
YOR099W	0.997
YDL177C	0.997
YJL218W	0.997
YMR056C	0.997
YKL044W	0.997
YLR034C	0.997
YDL106C	0.997
YER045C	0.997
YKL155C	0.997
YLR404W	0.997
YPR138C	0.997
YER096W	0.997
YKR034W	0.997
YIR035C	0.997
YMR163C	0.997
YJL020C	0.997
YJL151C	0.997
YMR233W	0.997
YGL051W	0.997
YFL032W	0.997
YKR021W	0.997
YFR035C	0.997
YPL009C	0.997
YJR001W	0.997
YGR193C	0.997
YPR078C	0.997
YDR223W	0.997
YLR392C	0.997
YPR154W	0.997
YPR031W	0.997
YCR021C	0.997
YOR243C	0.997
YPR124W	0.997
YBR034C	0.997
YJL068C	0.997
YAL061W	0.997
YOR140W	0.997
YMR164C	0.997
YOR093C	0.997
YPR153W	0.997
YMR073C	0.998
YGR268C	0.998
YML035C	0.998
YBR283C	0.998
YLR460C	0.998
YGR080W	0.998
YBR242W	0.998
YER162C	0.998
YDR380W	0.998
YDR059C	0.998
YMR082C	0.998
YNR072W	0.998
YMR202W	0.998
YMR178W	0.998
YPR117W	0.998
YLR024C	0.998
YJR058C	0.998
YER039C	0.998
YFR015C	0.998
YJR033C	0.998
YGR019W	0.998
YPL224C	0.998
YGL136C	0.998
YPL092W	0.998
YAL020C	0.998
YDR476C	0.998
YCR011C	0.998
YGR067C	0.998
YHR110W	0.998
YPL199C	0.998
YDL243C	0.998
YPL116W	0.998
YDL038C	0.998
YDL202W	0.998
YDR400W	0.998
YPR026W	0.998
YIL120W	0.998
YGR287C	0.998
YJR150C	0.998
YBR183W	0.998
YIL100W	0.998
YOR307C	0.998
YPL014W	0.998
YJR091C	0.998
YCR077C	0.998
YPL052W	0.998
YLR322W	0.998
YOL147C	0.998
YER066C-A	0.998
YLR408C	0.998
YIL134W	0.998
YDR318W	0.998
YLR177W	0.998
YKL212W	0.998
YNL212W	0.998
YJL117W	0.998
YOL082W	0.998
YOL162W	0.998
YOR192C	0.998
YOR112W	0.998
YBR016W	0.998
YJL084C	0.998
YER135C	0.998
YBL003C	0.998
YPL039W	0.998
YMR196W	0.998
YMR250W	0.998
YBR052C	0.998
YNL223W	0.998
YKL091C	0.998
YDR003W	0.998
YPL265W	0.998
YGR134W	0.998
YJL164C	0.998
YDL219W	0.998
YJL100W	0.998
YBR275C	0.998
YDL059C	0.998
YLR354C	0.998
YMR302C	0.998
YKR067W	0.998
YNL175C	0.998
YPL115C	0.998
YMR275C	0.998
YDR026C	0.998
YER113C	0.998
YNR029C	0.998
YML018C	0.998
YJL055W	0.998
YER170W	0.998
YMR305C	0.998
YMR092C	0.998
YDL218W	0.998
YAL062W	0.998
YLR427W	0.998
YIL006W	0.998
YGL114W	0.998
YAR002W	0.998
YKL076C	0.998
YDR245W	0.998
YDR402C	0.998
YLR455W	0.998
YDR269C	0.998
YHL042W	0.998
YDR031W	0.998
YAR030C	0.998
YIL098C	0.998
YHR162W	0.998
YNL164C	0.998
YDL186W	0.998
YPR075C	0.998
YMR317W	0.998
YMR009W	0.998
YLR092W	0.998
YDR094W	0.998
YBR151W	0.998
YOR368W	0.998
YDR121W	0.998
YHL021C	0.998
YGR035C	0.998
YOR239W	0.998
YNL125C	0.998
YLR098C	0.998
YHR195W	0.998
YDR264C	0.998
YDR061W	0.998
YLR296W	0.998
YNL281W	0.998
YOR363C	0.998
YPR121W	0.998
YGR106C	0.998
YJL067W	0.998
YGR086C	0.998
YAR023C	0.998
YDR266C	0.998
YOR238W	0.998
YBL089W	0.998
YPR174C	0.998
YKR028W	0.998
YJL215C	0.998
YDL077C	0.998
YDL162C	0.998
YJR079W	0.998
YOR283W	0.998
YDR058C	0.998
YGR122C-A	0.998
YJR100C	0.998
YDL121C	0.998
YGR072W	0.998
YER039C-A	0.998
YDR133C	0.998
YBL013W	0.998
YMR272C	0.998
YFL047W	0.998
YLR151C	0.998
YKR070W	0.998
YBR281C	0.998
YFR057W	0.998
YDR119W	0.998
YFR011C	0.998
YBL019W	0.998
YOR087W	0.998
YNL031C	0.998
YOR324C	0.998
YHR047C	0.998
YLL055W	0.998
YDR344C	0.998
YER064C	0.998
YJR131W	0.998
YLR084C	0.998
YDL168W	0.998
YHL039W	0.998
YOR153W	0.998
YLL040C	0.998
YJL199C	0.998
YPR192W	0.998
YJR054W	0.998
YPR157W	0.998
YGL135W	0.998
YGR070W	0.998
YOR299W	0.998
YDR446W	0.998
YDL124W	0.998
YGR228W	0.998
YDR090C	0.998
YMR271C	0.998
YHR151C	0.998
YLR073C	0.998
YGL221C	0.998
YPR115W	0.998
YAL009W	0.998
YLR248W	0.998
YGL053W	0.998
YKL092C	0.998
YOR354C	0.998
YMR158C-B	0.998
YIR014W	0.998
YIL067C	0.998
YCL006C	0.998
YGR173W	0.998
YGR276C	0.998
YOL011W	0.999
YPL264C	0.999
YKR066C	0.999
YHR017W	0.999
YPR006C	0.999
YCR099C	0.999
YNL194C	0.999
YBR053C	0.999
YDL137W	0.999
YDR247W	0.999
YKL050C	0.999
YNL140C	0.999
YOL061W	0.999
YNL330C	0.999
YNR061C	0.999
YER056C	0.999
YCR102W-A	0.999
YOR320C	0.999
YLR431C	0.999
YDR076W	0.999
YIL014W	0.999
YIL160C	0.999
YOR173W	0.999
YLR407W	0.999
YGR077C	0.999
YPL033C	0.999
YDR275W	0.999
YPR156C	0.999
YDL161W	0.999
YMR159C	0.999
YDR540C	0.999
YDR251W	0.999
YHR137W	0.999
YBR233W	0.999
YMR326C	0.999
YDR358W	0.999
YKL164C	0.999
YGR043C	0.999
YGR285C	0.999
YJR098C	0.999
YNL219C	0.999
YJR015W	0.999
YJR040W	0.999
YER038W-A	0.999
YOR179C	0.999
YGL013C	0.999
YIL157C	0.999
YGR088W	0.999
YER067C-A	0.999
YGR241C	0.999
YMR162C	0.999
YBR072W	0.999
YKL188C	0.999
YAL060W	0.999
YER011W	0.999
YPL185W	0.999
YCR020C	0.999
YNL021W	0.999
YGR226C	0.999
YHR209W	0.999
YNL301C	0.999
YDR198C	0.999
YNL325C	0.999
YER180C	0.999
YGR194C	0.999
YGR107W	0.999
YER183C	0.999
YJR124C	0.999
YHR131C	0.999
YDR206W	0.999
YBR224W	0.999
YKR039W	0.999
YJL197W	0.999
YGL229C	0.999
YPR077C	0.999
YMR252C	0.999
YFR041C	0.999
YPL223C	0.999
YDR249C	0.999
YBR165W	0.999
YJL172W	0.999
YIL086C	0.999
YHR039C	0.999
YJL013C	0.999
YMR054W	0.999
YDR146C	0.999
YLR401C	0.999
YDL239C	0.999
YNR060W	0.999
YML071C	0.999
YOR155C	0.999
YPR030W	0.999
YMR081C	0.999
YNL128W	0.999
YDR291W	0.999
YMR026C	0.999
YJR128W	0.999
YNL202W	0.999
YDL057W	0.999
YOR013W	0.999
YLR364W	0.999
YER032W	0.999
YGR166W	0.999
YMR306C-A	0.999
YLR267W	0.999
YKR104W	0.999
YGR290W	0.999
YHL016C	0.999
YGL205W	0.999
YPR152C	0.999
YPL171C	0.999
YLR192C	0.999
YDL024C	0.999
YGR235C	0.999
YMR291W	0.999
YDL184C	0.999
YJL216C	0.999
YGR256W	0.999
YMR068W	0.999
YER097W	0.999
YCR101C	0.999
YDR406W	0.999
YOR054C	0.999
YKL150W	0.999
YHR157W	0.999
YOR105W	0.999
YLL023C	0.999
YCR059C	0.999
YGR227W	0.999
YFR024C	0.999
YIL167W	0.999
YOL048C	0.999
YJL012C	0.999
YAR044W	0.999
YCR105W	0.999
YFR049W	0.999
YOL019W	0.999
YER115C	0.999
YOR222W	0.999
YOR304C-A	0.999
YPL135W	0.999
YDL180W	0.999
YHR156C	0.999
YBR030W	0.999
YHR113W	0.999
YFL046W	0.999
YHR179W	0.999
YGL016W	0.999
YOL153C	0.999
YIR004W	0.999
YDR254W	0.999
YDR368W	0.999
YOL083W	0.999
YAR027W	0.999
YBR169C	0.999
YGR015C	0.999
YOL095C	0.999
YML110C	0.999
YPL269W	0.999
YOR154W	0.999
YDL088C	0.999
YDL231C	0.999
YLL048C	0.999
YIL030C	0.999
YFR056C	0.999
YGR248W	0.999
YGR068C	0.999
YBR040W	0.999
YBR065C	0.999
YBR146W	0.999
YPL141C	0.999
YGR027C	0.999
YGL220W	0.999
YKL162C	0.999
YBR007C	0.999
YOR045W	0.999
YCR067C	0.999
YCL014W	0.999
YPL155C	0.999
YNL058C	0.999
YDR035W	0.999
YBL002W	0.999
YJR047C	0.999
YML057W	0.999
YDL066W	0.999
YMR232W	0.999
YOR292C	0.999
YPL123C	0.999
YAL043C-A	0.999
YKL065C	0.999
YGR271W	0.999
YEL003W	0.999
YJL212C	0.999
YPR172W	0.999
YOR011W	0.999
YLR231C	0.999
YPR009W	0.999
YKL001C	0.999
YMR090W	0.999
YJL129C	0.999
YDR436W	0.999
YBL029W	1.000
YPR122W	1.000
YKL026C	1.000
YAR043C	1.000
YCR087C-A	1.000
YKR087C	1.000
YOR081C	1.000
YGR219W	1.000
YDR205W	1.000
YJL163C	1.000
YDR310C	1.000
YDR351W	1.000
YHR204W	1.000
YHR210C	1.000
YPL110C	1.000
YPL102C	1.000
YBR201W	1.000
YCR061W	1.000
YDR070C	1.000
YGR025W	1.000
YIL170W	1.000
YDR017C	1.000
YBR098W	1.000
YGL251C	1.000
YIL024C	1.000
YOR356W	1.000
YLL005C	1.000
YOR264W	1.000
YGL156W	1.000
YCR102C	1.000
YER088C	1.000
YOR121C	1.000
YNL303W	1.000
YIR020W-B	1.000
YJR103W	1.000
YGR189C	1.000
YOL158C	1.000
YBR111C	1.000
YNR019W	1.000
YFL019C	1.000
YDR523C	1.000
YMR048W	1.000
YGR270W	1.000
YGR239C	1.000
YBR246W	1.000
YPR042C	1.000
YPR083W	1.000
YLR363C	1.000
YBR076W	1.000
YMR245W	1.000
YOR185C	1.000
YIL162W	1.000
YGL243W	1.000
YEL068C	1.000
YDR514C	1.000
YFR046C	1.000
YCL069W	1.000
YLR437C	1.000
YOR171C	1.000
YOR089C	1.000
YML034W	1.000
YNL165W	1.000
YBL098W	1.000
YKL097C	1.000
YOR219C	1.000
YGL261C	1.000
YDR272W	1.000
YLR200W	1.000
YLR179C	1.000
YLR280C	1.000
YML070W	1.000
YOR005C	1.000
YPR058W	1.000
YOR015W	1.000
YMR116C	1.000
YNL226W	1.000
YDL110C	1.000
YML058W	1.000
YMR040W	1.000
YGR152C	1.000
YBR063C	1.000
YER158C	1.000
YOL136C	1.000
YMR124W	1.000
YIL108W	1.000
YBL052C	1.000
YKL038W	1.000
YKL199C	1.000
YGL259W	1.000
YJR010W	1.000
YLR450W	1.000
YER079W	1.000
YPR128C	1.000
YLR329W	1.000
YLR095C	1.000
YNL332W	1.000
YNL092W	1.000
YBL028C	1.000
YBR062C	1.000
YOR374W	1.000
YDL035C	1.000
YKR099W	1.000
YJR026W	1.000
YOR255W	1.000
YFL035C-B	1.000
YMR253C	1.000
YBR104W	1.000
YIL056W	1.000
YKL220C	1.000
YGR291C	1.000
YML003W	1.000
YDL023C	1.000
YMR241W	1.000
YPL046C	1.000
YLR014C	1.000
YDR289C	1.000
YPL245W	1.000
YMR297W	1.000
YOR317W	1.000
YLL061W	1.000
YOR050C	1.000
YBR228W	1.000
YGR197C	1.000
YCL029C	1.000
YGR059W	1.000
YOR263C	1.000
YJL132W	1.000
YBL071C	1.000
YGL089C	1.000
YNL168C	1.000
YIL015W	1.000
YDR102C	1.000
YER179W	1.000
YDL230W	1.000
YNL049C	1.000
YKR095W	1.000
YDL085W	1.000
YER175C	1.000
YBR078W	1.000
YGL095C	1.000
YJL185C	1.000
YMR115W	1.000
YMR219W	1.000
YPL222W	1.000
YCL075W	1.000
YAR047C	1.000
YGL242C	1.000
YMR020W	1.000
YLL017W	1.000
YKR046C	1.000
YFR030W	1.000
YNL160W	1.000
YJL022W	1.000
YJR084W	1.000
YOR348C	1.000
YOL001W	1.000
YBL064C	1.000
YER184C	1.000
YIL137C	1.000
YCL023C	1.000
YPL001W	1.000
YER001W	1.000
YGR010W	1.000
YLR152C	1.000
YPL162C	1.000
YDR333C	1.000
YJL021C	1.000
YMR279C	1.000
YGL132W	1.000
YPL048W	1.000
YNR070W	1.000
YER024W	1.000
YLR173W	1.000
YGR269W	1.000
YDR191W	1.000
YBL001C	1.000
YER046W-A	1.000
YDR253C	1.000
YGR209C	1.000
YLR130C	1.000
YDR314C	1.000
YJL098W	1.000
YMR261C	1.000
YDL049C	1.000
YOR214C	1.000
YLR390W	1.000
YGL224C	1.000
YPL212C	1.000
YGL002W	1.000
YJL126W	1.000
YDR270W	1.000
YBL088C	1.000
YIL117C	1.000
YIR025W	1.000
YGL258W	1.000
YOR114W	1.000
YCL028W	1.000
YIR043C	1.000
YOR382W	1.000
YDL072C	1.000
YPL246C	1.000
YOR377W	1.000
YOR177C	1.000
YML118W	1.000
YLR012C	1.000
YDR421W	1.000
YJL206C	1.000
YDR073W	1.000
YOR053W	1.000
YBR162W-A	1.000
YKL072W	1.000
YLR361C	1.000
YLR124W	1.000
YKR040C	1.000
YHR136C	1.000
YER033C	1.000
YMR319C	1.000
YJL122W	1.000
YLL062C	1.000
YOL033W	1.000
YMR320W	1.000
YOL092W	1.000
YML060W	1.000
YBR207W	1.000
YHR003C	1.000
YBR125C	1.000
YDL157C	1.000
YDR296W	1.000
YLR426W	1.000
YIR018W	1.000
YLR334C	1.000
YOR265W	1.000
YOR309C	1.000
YBR264C	1.000
YML019W	1.000
YAL042W	1.000
YBL095W	1.000
YLR070C	1.000
YOR352W	1.000
YPL034W	1.000
YFR047C	1.000
YJL155C	1.000
YDL025C	1.000
YDR385W	1.000
YHR022C	1.000
YGL004C	1.000
YKL126W	1.000
YPL200W	1.000
YHR038W	1.000
YGL038C	1.000
YDR354W	1.000
YJR020W	1.000
YPR201W	1.000
YDL133C-A	1.001
YNL311C	1.001
YLR389C	1.001
YMR194W	1.001
YPR027C	1.001
YLR174W	1.001
YBR009C	1.001
YDR063W	1.001
YKR089C	1.001
YJL030W	1.001
YGL158W	1.001
YER042W	1.001
YOR188W	1.001
YBR010W	1.001
YMR251W-A	1.001
YCL035C	1.001
YJL162C	1.001
YNL234W	1.001
YPL156C	1.001
YBR019C	1.001
YKL084W	1.001
YPR065W	1.001
YMR140W	1.001
YER124C	1.001
YDR506C	1.001
YCL074W	1.001
YLR443W	1.001
YPL230W	1.001
YOR055W	1.001
YDR340W	1.001
YMR019W	1.001
YCR027C	1.001
YMR161W	1.001
YDL234C	1.001
YAR050W	1.001
YMR222C	1.001
YDR154C	1.001
YHR150W	1.001
YNL321W	1.001
YIL124W	1.001
YNR051C	1.001
YOR141C	1.001
YKR036C	1.001
YOR038C	1.001
YHR132C	1.001
YPR017C	1.001
YGR249W	1.001
YCL002C	1.001
YBR147W	1.001
YJL152W	1.001
YFR038W	1.001
YHL013C	1.001
YDR444W	1.001
YBR218C	1.001
YBR101C	1.001
YMR204C	1.001
YGL165C	1.001
YFR007W	1.001
YOL137W	1.001
YNL214W	1.001
YLR104W	1.001
YMR137C	1.001
YOR280C	1.001
YIL072W	1.001
YGR289C	1.001
YLR096W	1.001
YJL184W	1.001
YHR206W	1.001
YMR174C	1.001
YDR214W	1.001
YBR203W	1.001
YGR137W	1.001
YNL295W	1.001
YBR018C	1.001
YBL036C	1.001
YAL008W	1.001
YAL029C	1.001
YDL052C	1.001
YGL079W	1.001
YIL009W	1.001
YJR034W	1.001
YOR225W	1.001
YPL197C	1.001
YPL267W	1.001
YLR099C	1.001
YFL020C	1.001
YOR233W	1.001
YLR114C	1.001
YJL073W	1.001
YNL146W	1.001
YGR021W	1.001
YMR175W	1.001
YBL067C	1.001
YHR130C	1.001
YPL136W	1.001
YDR155C	1.001
YHR035W	1.001
YBR094W	1.001
YDL174C	1.001
YBR145W	1.001
YER017C	1.001
YNR032C-A	1.001
YJL135W	1.001
YKR058W	1.001
YAR037W	1.001
YER182W	1.001
YGR243W	1.001
YLR453C	1.001
YGR192C	1.001
YGR011W	1.001
YOR108W	1.001
YDL200C	1.001
YBL075C	1.001
YDL093W	1.001
YHR133C	1.001
YPL187W	1.001
YGR049W	1.001
YMR041C	1.001
YMR012W	1.001
YML117W-A	1.001
YGR213C	1.001
YAL030W	1.001
YAL046C	1.001
YLL052C	1.001
YOR314W	1.001
YOL024W	1.001
YOR215C	1.001
YKL096W-A	1.001
YLL029W	1.001
YER122C	1.001
YDR107C	1.001
YKL107W	1.001
YJL092W	1.001
YOR191W	1.001
YPL071C	1.001
YNL029C	1.001
YMR153W	1.001
YML002W	1.001
YML124C	1.001
YJL083W	1.001
YLL038C	1.001
YHR155W	1.001
YHR176W	1.001
YER188W	1.001
YDR140W	1.001
YNL314W	1.001
YPL234C	1.001
YCL025C	1.001
YER087C-A	1.001
YDR430C	1.001
YOR230W	1.001
YOL043C	1.001
YLR376C	1.001
YBR229C	1.001
YMR312W	1.001
YGL138C	1.001
YNR039C	1.001
YLR333C	1.001
YPR109W	1.001
YMR316W	1.001
YOR271C	1.001
YIL007C	1.001
YLR135W	1.001
YJL133W	1.001
YNL279W	1.001
YNL156C	1.001
YLR445W	1.001
YGR126W	1.001
YML033W	1.001
YPL201C	1.001
YER117W	1.001
YNL253W	1.001
YMR031C	1.001
YBR119W	1.001
YMR215W	1.001
YER085C	1.001
YNR065C	1.001
YAL048C	1.001
YGL195W	1.001
YGL041C	1.001
YPL253C	1.001
YER067W	1.001
YAL031C	1.001
YNL091W	1.001
YOR126C	1.001
YJR038C	1.001
YHR009C	1.001
YDR179C	1.001
YBR215W	1.001
YJL170C	1.001
YJR035W	1.001
YGR018C	1.001
YMR189W	1.001
YPR145W	1.001
YNL298W	1.001
YLR053C	1.001
YDR455C	1.001
YBR073W	1.001
YLL025W	1.001
YMR087W	1.001
YJL214W	1.001
YIL012W	1.001
YMR018W	1.001
YNL319W	1.001
YJR061W	1.001
YPL191C	1.001
YMR237W	1.001
YER174C	1.001
YFL053W	1.001
YDR459C	1.001
YNL320W	1.001
YGR237C	1.002
YDL160C	1.002
YDR511W	1.002
YPL026C	1.002
YPL087W	1.002
YDR057W	1.002
YLR348C	1.002
YJL160C	1.002
YMR194C-A	1.002
YKL098W	1.002
YOR009W	1.002
YBL104C	1.002
YOL054W	1.002
YOR003W	1.002
YNL170W	1.002
YPL004C	1.002
YKR084C	1.002
YOR029W	1.002
YPL161C	1.002
YLR082C	1.002
YFR016C	1.002
YIR038C	1.002
YHL045W	1.002
YDR171W	1.002
YKL131W	1.002
YGR177C	1.002
YLR297W	1.002
YGR273C	1.002
YNL105W	1.002
YDL065C	1.002
YMR120C	1.002
YMR173W	1.002
YDR422C	1.002
YLL024C	1.002
YNL328C	1.002
YOR042W	1.002
YER010C	1.002
YJL144W	1.002
YOR137C	1.002
YBR092C	1.002
YFL030W	1.002
YBL005W	1.002
YOL085C	1.002
YLR266C	1.002
YLR285W	1.002
YOL029C	1.002
YLR001C	1.002
YIL111W	1.002
YCR090C	1.002
YOL114C	1.002
YGL081W	1.002
YLR273C	1.002
YGL083W	1.002
YFL014W	1.002
YNL010W	1.002
YDR225W	1.002
YJL137C	1.002
YPR091C	1.002
YPR166C	1.002
YHR105W	1.002
YLR421C	1.002
YHR049C-A	1.002
YGL161C	1.002
YBR045C	1.002
YKR049C	1.002
YGL146C	1.002
YLR390W-A	1.002
YGR233C	1.002
YDR192C	1.002
YHR153C	1.002
YER098W	1.002
YPR003C	1.002
YOR012W	1.002
YJL190C	1.002
YMR085W	1.002
YBR012C	1.002
YDR482C	1.002
YKL039W	1.002
YPR001W	1.002
YNR014W	1.002
YOL112W	1.002
YNL193W	1.002
YBR205W	1.002
YML076C	1.002
YNL145W	1.002
YGR187C	1.002
YMR107W	1.002
YDL046W	1.002
YOR190W	1.002
YCL047C	1.002
YER066W	1.002
YNL157W	1.002
YCL026C-A	1.002
YMR176W	1.002
YDL018C	1.002
YBR212W	1.002
YNL166C	1.002
YNL224C	1.002
YOR386W	1.002
YPL273W	1.002
YFR020W	1.002
YPL111W	1.002
YML006C	1.002
YOR316C	1.002
YFL027C	1.002
YKL183W	1.002
YPL018W	1.002
YGR141W	1.002
YPL260W	1.002
YHR087W	1.002
YMR138W	1.002
YKL115C	1.002
YHR014W	1.002
YBL070C	1.002
YIL018W	1.002
YPL035C	1.002
YFL010C	1.002
YDR284C	1.002
YLR356W	1.002
YPL214C	1.002
YFR054C	1.002
YOR152C	1.002
YPL229W	1.002
YGR146C	1.002
YGR014W	1.002
YIL145C	1.002
YCR001W	1.002
YDR417C	1.002
YGR110W	1.002
YMR025W	1.002
YJR149W	1.002
YNL024C	1.002
YKR096W	1.002
YGR288W	1.002
YDR321W	1.002
YJL116C	1.002
YDL155W	1.002
YDR387C	1.002
YOR228C	1.002
YDL074C	1.002
YNL237W	1.002
YDR068W	1.002
YDR104C	1.002
YPR146C	1.002
YOR315W	1.002
YMR069W	1.002
YNL333W	1.002
YGR221C	1.002
YJL058C	1.002
YNR021W	1.002
YJL107C	1.002
YGR108W	1.002
YIR017C	1.002
YPL140C	1.002
YJL052W	1.002
YER185W	1.002
YOL013W-A	1.002
YMR310C	1.002
YNL121C	1.002
YOR115C	1.002
YBR230C	1.002
YHL019C	1.002
YNR062C	1.002
YMR152W	1.002
YGR097W	1.002
YAL049C	1.002
YPL257W	1.002
YKL069W	1.002
YKR044W	1.002
YBL085W	1.002
YPR005C	1.002
YER041W	1.002
YFR043C	1.002
YJL157C	1.002
YOL152W	1.002
YGL196W	1.002
YMR216C	1.002
YBL065W	1.002
YHL027W	1.002
YLR413W	1.002
YKL057C	1.002
YLR283W	1.002
YHR163W	1.002
YDR317W	1.002
YOL060C	1.002
YPL206C	1.002
YBR277C	1.002
YOR002W	1.002
YHL026C	1.002
YOR253W	1.002
YDR258C	1.002
YML122C	1.002
YLR254C	1.002
YHR159W	1.002
YOR091W	1.002
YOL091W	1.002
YDR383C	1.002
YBL056W	1.002
YNR057C	1.002
YLR187W	1.002
YGR295C	1.002
YBR180W	1.003
YML004C	1.003
YER002W	1.003
YBR284W	1.003
YDR056C	1.003
YDR370C	1.003
YHR044C	1.003
YLR300W	1.003
YOR313C	1.003
YLR037C	1.003
YOR266W	1.003
YOL014W	1.003
YML059C	1.003
YMR078C	1.003
YJL213W	1.003
YDR428C	1.003
YDL114W	1.003
YIL002C	1.003
YMR295C	1.003
YOL065C	1.003
YKL102C	1.003
YMR130W	1.003
YDL138W	1.003
YPR068C	1.003
YKL185W	1.003
YKL161C	1.003
YGR012W	1.003
YLR083C	1.003
YDL079C	1.003
YOR343C	1.003
YEL071W	1.003
YGL087C	1.003
YLR265C	1.003
YIR005W	1.003
YGR153W	1.003
YFR006W	1.003
YJL038C	1.003
YIL039W	1.003
YFR045W	1.003
YLR400W	1.003
YPL240C	1.003
YJR049C	1.003
YBR066C	1.003
YNL155W	1.003
YOL013C	1.003
YDL242W	1.003
YML011C	1.003
YHR097C	1.003
YBL048W	1.003
YIR001C	1.003
YPL189W	1.003
YLR189C	1.003
YMR084W	1.003
YOR300W	1.003
YOR034C	1.003
YPR114W	1.003
YAL005C	1.003
YNR049C	1.003
YMR029C	1.003
YER090W	1.003
YPR127W	1.003
YAL045C	1.003
YOR018W	1.003
YMR027W	1.003
YPR015C	1.003
YOR297C	1.003
YGR026W	1.003
YHR006W	1.003
YMR251W	1.003
YDR033W	1.003
YBL069W	1.003
YNR028W	1.003
YPR126C	1.003
YCR091W	1.003
YJL182C	1.003
YMR121C	1.003
YCR083W	1.003
YOL076W	1.003
YDL127W	1.003
YGR230W	1.003
YJL159W	1.003
YGR163W	1.003
YDL156W	1.003
YMR180C	1.003
YHR029C	1.003
YLR030W	1.003
YNL057W	1.003
YKL201C	1.003
YHR185C	1.003
YIL005W	1.003
YMR322C	1.003
YBL053W	1.003
YIL119C	1.003
YHR116W	1.003
YMR231W	1.003
YOR049C	1.003
YER091C	1.003
YMR210W	1.003
YKL090W	1.003
YML020W	1.003
YKL133C	1.003
YNL215W	1.003
YGR258C	1.003
YCR062W	1.003
YNL173C	1.003
YHR092C	1.003
YDR274C	1.003
YOL044W	1.003
YFL050C	1.003
YFL018C	1.003
YDR525W	1.003
YDR513W	1.003
YNL293W	1.003
YDR257C	1.003
YIL047C	1.003
YPR147C	1.003
YDR009W	1.003
YDL201W	1.003
YPR199C	1.003
YDR282C	1.003
YKL132C	1.003
YLR181C	1.003
YLR252W	1.003
YMR226C	1.003
YHR073W	1.003
YDR215C	1.003
YAL064C-A	1.003
YDR174W	1.003
YNR066C	1.003
YER053C	1.003
YIL095W	1.003
YIL023C	1.003
YDR020C	1.003
YCL034W	1.003
YDR319C	1.003
YBL091C-A	1.003
YGR111W	1.003
YDR095C	1.003
YOL132W	1.003
YNL134C	1.003
YCR036W	1.003
YJR106W	1.003
YPL070W	1.003
YGR109C	1.003
YCR100C	1.003
YDL128W	1.003
YOL042W	1.003
YLR251W	1.003
YLR375W	1.003
YDR279W	1.003
YJL206C-A	1.003
YMR304C-A	1.003
YCR051W	1.003
YOR040W	1.003
YBR286W	1.003
YDR295C	1.003
YJL118W	1.003
YHR080C	1.003
YLR036C	1.003
YMR095C	1.003
YDL039C	1.003
YER176W	1.003
YIL001W	1.003
YIL013C	1.003
YAL054C	1.003
YGL059W	1.003
YGL219C	1.003
YDL073W	1.003
YEL006W	1.003
YHL028W	1.003
YNL195C	1.003
YKL147C	1.003
YIL057C	1.003
YMR157C	1.003
YOR270C	1.003
YBR138C	1.003
YLR247C	1.003
YJR050W	1.003
YOR197W	1.003
YNL184C	1.003
YGL199C	1.004
YOL037C	1.004
YLR433C	1.004
YBR300C	1.004
YNL227C	1.004
YNL040W	1.004
YPL017C	1.004
YMR259C	1.004
YLR089C	1.004
