ORF	hom | growth (culture turbidity) | dessication [unknown] | Shima J~Takagi H, 2008
YDL026W	1.016
YDL027C	1.015
YDL032W	NaN
YDL033C	0.882
YDL034W	1.013
YDL035C	0.978
YDL036C	1.024
YDL037C	0.970
YDL038C	1.040
YDL039C	0.945
YDL040C	0.949
YDL041W	0.776
YDL042C	1.024
YDL044C	NaN
YDL045W-A	NaN
YDL046W	1.013
YDL047W	0.288
YDL048C	0.973
YDL049C	1.020
YDL050C	0.992
YDL051W	1.002
YDL052C	0.922
YDL053C	1.029
YDL054C	0.970
YDL056W	NaN
YDL057W	1.004
YDL059C	0.924
YDL061C	0.835
YDL062W	0.996
YDL063C	0.994
YDL065C	0.952
YDL066W	0.912
YDL067C	NaN
YDL068W	NaN
YDL069C	NaN
YDL070W	1.023
YDL071C	1.018
YDL072C	1.027
YDL073W	1.009
YDL074C	0.822
YDL075W	NaN
YDL076C	0.934
YDL077C	0.982
YDL078C	1.013
YDL079C	1.015
YDL080C	1.015
YDL081C	0.728
YDL082W	0.858
YDL083C	0.872
YDL085W	1.024
YDL086W	1.025
YDL088C	1.018
YDL089W	0.980
YDL090C	1.000
YDL091C	1.015
YDL093W	1.013
YDL094C	1.013
YDL095W	1.004
YDL096C	0.987
YDL099W	1.005
YDL100C	0.964
YDL101C	0.945
YDL104C	0.944
YDL106C	0.579
YDL107W	NaN
YDL109C	1.006
YDL110C	0.994
YDL112W	1.004
YDL113C	1.009
YDL114W	0.996
YDL115C	0.273
YDL116W	NaN
YDL117W	0.704
YDL118W	0.959
YDL119C	0.975
YDL121C	1.009
YDL122W	1.007
YDL123W	1.006
YDL124W	1.005
YDL125C	1.000
YDL127W	0.981
YDL128W	0.983
YDL129W	0.976
YDL130W	0.902
YDL130W-A	0.962
YDL131W	0.988
YDL133C-A	1.007
YDL133W	0.962
YDL134C	0.981
YDL134C-A	1.002
YDL135C	1.035
YDL136W	0.934
YDL137W	1.003
YDL138W	1.014
YDL142C	0.941
YDL144C	1.024
YDL146W	0.993
YDL149W	1.001
YDL151C	0.242
YDL154W	0.991
YDL155W	1.028
YDL156W	1.013
YDL157C	0.998
YDL160C	0.733
YDL161W	1.000
YDL162C	0.971
YDL167C	0.995
YDL168W	1.013
YDL169C	1.015
YDL170W	1.002
YDL171C	0.989
YDL172C	0.966
YDL173W	0.959
YDL174C	1.002
YDL175C	0.997
YDL176W	0.986
YDL177C	0.982
YDL178W	0.996
YDL179W	1.038
YDL180W	1.011
YDL182W	1.012
YDL183C	0.986
YDL184C	1.012
YDL185W	0.736
YDL186W	0.999
YDL187C	1.001
YDL188C	0.989
YDL189W	0.998
YDL190C	0.991
YDL191W	0.528
YDL192W	0.875
YDL194W	1.041
YDL197C	1.001
YDL198C	NaN
YDL199C	0.991
YDL200C	1.015
YDL201W	1.013
YDL202W	NaN
YDL203C	1.001
YDL204W	1.005
YDL206W	0.993
YDL210W	0.996
YDL211C	0.997
YDL213C	0.955
YDL214C	1.001
YDL215C	1.013
YDL216C	1.011
YDL218W	1.002
YDL219W	1.005
YDL222C	1.006
YDL223C	1.009
YDL224C	1.008
YDL225W	0.960
YDL226C	0.973
YDL227C	1.007
YDL229W	0.999
YDL230W	1.003
YDL231C	1.004
YDL232W	1.005
YDL233W	1.015
YDL234C	1.024
YDL236W	0.986
YDL237W	1.017
YDL238C	1.001
YDL239C	1.005
YDL240W	1.039
YDL241W	1.007
YDL242W	1.000
YDL243C	1.002
YDR001C	1.002
YDR003W	1.020
YDR004W	0.870
YDR005C	0.990
YDR006C	0.985
YDR007W	0.732
YDR008C	0.799
YDR009W	1.017
YDR010C	1.006
YDR011W	1.014
YDR014W	0.978
YDR015C	1.007
YDR017C	NaN
YDR018C	1.011
YDR019C	1.003
YDR020C	0.924
YDR022C	1.021
YDR024W	0.788
YDR025W	0.820
