ORF	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [30°C] | McClellan AJ~Frydman J, 2007	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [37ºC] | McClellan AJ~Frydman J, 2007
YDR352W	1.162	1.163
YDR354W	1.164	0.931
YDR358W	1.094	1.157
YDR360W	NaN	1.373
YDR363W-A	NaN	0.658
YDR368W	1.070	1.557
YDR370C	1.040	0.976
YDR371W	1.338	1.680
YDR372C	NaN	2.969
YDR374C	1.014	0.874
YDR375C	1.404	1.458
YDR379W	1.264	1.206
YDR380W	1.460	0.890
YDR383C	0.972	1.008
YDR384C	1.412	0.827
YDR385W	NaN	1.848
YDR386W	1.442	1.391
YDR387C	1.326	0.995
YDR389W	0.732	0.573
YDR391C	1.204	0.899
YDR393W	1.504	1.705
YDR395W	1.366	2.192
YDR400W	1.052	1.219
YDR402C	1.024	1.149
YDR403W	1.026	1.305
YDR405W	NaN	3.678
YDR406W	1.128	1.186
YDR409W	1.342	1.332
YDR411C	1.186	1.023
YDR414C	1.542	2.251
YDR415C	0.670	0.566
YDR417C	NaN	3.790
YDR419W	1.128	1.162
YDR420W	1.134	0.948
YDR421W	1.118	1.044
YDR422C	1.288	0.908
YDR423C	1.202	1.371
YDR424C	1.198	1.020
YDR425W	1.060	1.190
YDR426C	1.266	1.115
YDR428C	NaN	1.159
YDR430C	1.170	1.476
YDR431W	1.232	1.323
YDR435C	1.422	NaN
YDR436W	1.384	1.109
YDR438W	1.320	1.523
YDR439W	0.766	1.349
YDR440W	1.230	1.396
YDR441C	1.446	1.367
YDR443C	0.344	0.804
YDR444W	0.836	0.703
YDR445C	0.872	0.687
YDR446W	1.234	0.818
YDR447C	1.516	2.183
YDR450W	NaN	4.199
YDR451C	0.876	0.659
YDR452W	1.562	1.365
YDR453C	1.300	1.200
YDR455C	0.918	1.110
YDR456W	0.964	1.377
YDR457W	0.952	NaN
YDR458C	1.176	1.258
YDR459C	1.276	1.238
YDR461W	1.112	1.145
YDR462W	2.080	2.010
YDR465C	1.240	1.611
YDR466W	0.936	0.678
YDR467C	0.942	0.876
YDR469W	1.346	0.973
YDR471W	NaN	1.302
YDR475C	1.139	0.962
YDR476C	1.320	1.085
YDR479C	1.292	1.620
YDR480W	1.124	1.078
YDR481C	1.160	1.266
YDR482C	1.254	0.875
YDR483W	1.212	1.256
YDR485C	NaN	1.756
YDR486C	0.784	0.740
YDR488C	0.926	1.030
YDR490C	0.850	0.554
YDR491C	1.040	0.912
YDR492W	1.004	1.020
YDR493W	1.176	1.036
YDR494W	1.192	1.681
YDR496C	0.940	4.794
YDR497C	1.142	1.037
YDR501W	1.096	0.955
YDR502C	1.216	0.969
YDR503C	1.382	1.161
YDR504C	1.262	1.095
YDR505C	1.280	1.082
YDR506C	1.102	1.115
YDR508C	1.062	1.084
YDR509W	NaN	4.175
YDR511W	1.300	0.743
