ORF	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [30°C] | McClellan AJ~Frydman J, 2007	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [37ºC] | McClellan AJ~Frydman J, 2007
YMR086W	1.098	0.969
YMR087W	1.204	1.035
YMR089C	NaN	6.835
YMR090W	1.088	1.446
YMR092C	1.028	1.006
YMR095C	0.604	0.451
YMR096W	0.968	0.833
YMR098C	2.062	4.296
YMR099C	0.906	0.615
YMR100W	1.384	1.906
YMR101C	1.014	0.886
YMR102C	1.004	0.665
YMR103C	1.084	1.025
YMR104C	1.104	0.920
YMR105C	1.034	0.836
YMR106C	1.208	0.949
YMR107W	1.096	0.779
YMR109W	1.014	0.696
YMR110C	1.094	1.248
YMR111C	0.872	0.964
YMR114C	1.068	1.141
YMR115W	0.832	0.798
YMR116C	0.840	2.876
YMR118C	0.884	1.038
YMR119W	0.866	NaN
YMR119W-A	0.842	1.124
YMR120C	1.032	1.038
YMR121C	1.300	0.823
YMR122C	1.156	1.080
YMR123W	NaN	0.798
YMR124W	1.056	0.940
YMR126C	1.214	1.401
YMR127C	1.316	2.350
YMR129W	1.180	0.893
YMR130W	1.152	1.044
YMR132C	1.082	1.101
YMR133W	1.056	1.084
YMR135C	1.126	1.338
YMR135W-A	1.026	0.912
YMR136W	1.130	1.142
YMR137C	1.106	0.939
YMR138W	1.466	1.085
YMR139W	1.132	1.060
YMR140W	1.276	1.131
YMR141C	1.118	1.174
YMR143W	NaN	9.321
YMR144W	1.212	1.235
YMR145C	1.146	0.879
YMR147W	0.998	1.058
YMR148W	1.126	0.858
YMR150C	1.282	1.280
YMR151W	1.288	1.169
YMR152W	0.928	0.694
YMR153C-A	1.134	1.184
YMR153W	1.206	1.074
YMR154C	0.526	0.449
YMR155W	0.970	1.160
YMR156C	1.186	2.789
YMR157C	0.984	1.154
YMR158C-A	1.164	0.974
YMR158W-B	1.130	0.976
YMR159C	1.152	1.033
YMR161W	0.928	0.654
YMR162C	1.184	1.932
YMR163C	1.142	1.165
YMR164C	1.192	1.720
YMR166C	1.398	1.258
YMR167W	0.910	0.703
YMR169C	1.164	1.141
YMR170C	0.922	0.929
YMR171C	1.026	0.878
YMR172C-A	1.104	1.132
YMR172W	1.190	0.955
YMR173W-A	1.196	1.117
YMR174C	1.227	1.075
YMR175W	1.204	1.007
YMR176W	1.104	0.964
YMR177W	1.358	1.456
YMR178W	1.054	0.882
YMR180C	1.050	0.958
YMR181C	1.134	0.943
YMR182C	1.162	1.545
YMR183C	1.018	0.841
YMR184W	1.070	1.036
YMR186W	1.552	2.099
YMR187C	1.088	0.868
YMR189W	1.190	1.024
YMR192W	1.106	0.904
YMR193C-A	NaN	1.432
YMR193W	NaN	4.983
YMR194C-A	1.218	0.794
YMR194W	1.440	1.137
YMR195W	1.102	0.831
YMR196W	0.966	0.783
YMR199W	1.046	0.971
YMR201C	1.268	1.005
YMR204C	1.166	1.020
YMR206W	1.118	0.957
YMR207C	1.406	1.084
YMR209C	1.258	1.200
YMR210W	1.102	1.004
YMR214W	1.058	0.481
YMR215W	0.986	1.072
YMR216C	NaN	1.453
YMR218C	NaN	0.810
YMR219W	NaN	3.217
YMR221C	1.106	0.935
YMR222C	1.024	0.972
YMR223W	1.422	1.134
YMR225C	1.006	0.866
YMR226C	1.094	0.943
YMR228W	NaN	6.392
YMR232W	0.950	0.998
YMR233W	1.364	0.827
YMR234W	1.270	1.086
YMR237W	0.976	0.862
YMR238W	0.864	1.034
YMR241W	1.182	1.145
YMR242C	NaN	0.649
YMR243C	1.322	0.825
YMR244C-A	1.156	1.288
YMR244W	0.910	0.936
YMR245W	NaN	0.811
YMR246W	1.030	1.078
YMR247C	0.986	0.721
YMR250W	1.214	0.949
YMR251W	1.082	1.149
YMR251W-A	0.958	1.170
YMR252C	1.026	0.891
YMR253C	1.080	0.766
YMR254C	1.170	1.042
YMR255W	0.972	1.036
YMR256C	1.338	1.119
YMR258C	1.198	0.893
YMR259C	1.132	0.884
YMR261C	1.034	1.192
YMR262W	1.040	0.984
YMR263W	NaN	0.848
YMR264W	0.780	0.408
YMR265C	0.984	1.299
YMR267W	NaN	3.947
YMR269W	NaN	5.123
YMR271C	0.934	0.838
YMR272C	1.006	1.398
YMR273C	1.150	1.244
YMR274C	0.826	0.825
YMR275C	1.030	1.464
YMR276W	1.098	1.894
YMR278W	1.014	1.143
YMR279C	0.880	0.865
YMR280C	1.004	1.385
YMR282C	NaN	4.302
YMR283C	0.952	0.789
YMR284W	0.964	1.028
YMR285C	1.164	1.357
YMR286W	1.724	2.209
YMR287C	NaN	8.216
YMR289W	0.988	0.920
YMR291W	0.886	1.142
YMR292W	1.092	0.977
YMR294W	0.648	0.450
YMR294W-A	1.044	1.148
YMR295C	0.990	0.964
YMR297W	0.904	1.156
YMR299C	0.928	0.812
YMR300C	0.628	0.849
YMR302C	0.974	1.054
YMR303C	0.926	1.129
YMR304C-A	0.990	1.029
YMR304W	NaN	1.567
YMR305C	1.276	1.774
YMR306C-A	1.134	0.995
YMR306W	1.032	1.577
YMR310C	1.182	1.053
YMR311C	0.402	0.438
YMR312W	NaN	1.771
YMR313C	1.194	1.070
YMR315W	NaN	1.469
YMR316C-A	1.302	1.048
YMR316C-B	1.034	1.262
YMR316W	1.094	0.648
YMR317W	1.240	0.999
YMR318C	1.090	1.056
YMR319C	0.904	0.784
YMR320W	1.166	1.021
YMR322C	1.168	1.039
YMR326C	1.112	0.964
YNL001W	1.128	0.888
YNL004W	1.128	1.119
YNL005C	NaN	3.652
YNL009W	1.034	0.966
YNL010W	1.076	0.986
YNL012W	1.062	1.027
YNL013C	1.316	0.990
YNL016W	1.126	2.104
YNL020C	1.098	1.365
YNL022C	1.038	0.608
YNL023C	1.322	0.892
YNL024C	1.406	1.426
YNL027W	1.374	0.813
YNL031C	1.184	1.303
YNL032W	1.180	0.832
YNL034W	1.150	0.874
YNL035C	1.166	1.098
YNL041C	0.210	2.518
YNL042W	1.196	0.799
YNL043C	1.214	0.992
YNL044W	1.238	0.997
YNL045W	1.148	0.990
YNL046W	1.176	1.042
YNL047C	1.194	1.168
YNL049C	1.090	1.047
YNL050C	1.242	1.131
YNL051W	0.164	NaN
YNL052W	1.154	0.910
YNL053W	1.202	0.844
YNL056W	1.008	0.810
YNL057W	1.076	1.074
YNL058C	1.190	0.574
YNL063W	1.164	1.011
YNL066W	1.140	1.224
YNL067W	1.318	2.534
YNL068C	1.328	2.456
YNL070W	0.946	0.666
YNL071W	1.586	1.314
YNL072W	NaN	2.920
YNL073W	NaN	7.161
YNL074C	1.424	1.577
YNL076W	1.238	1.007
YNL077W	1.192	2.284
YNL078W	1.216	1.261
YNL081C	NaN	3.577
YNL082W	1.822	2.614
YNL083W	1.150	1.201
YNL085W	1.258	1.317
YNL086W	1.310	0.885
YNL087W	1.296	1.282
YNL090W	1.168	1.178
YNL091W	1.170	2.148
YNL092W	1.066	0.951
YNL093W	1.196	1.183
YNL094W	1.526	2.839
YNL095C	1.212	1.089
YNL096C	NaN	2.796
YNL097C	NaN	1.635
YNL098C	0.504	0.435
YNL099C	NaN	0.868
YNL101W	1.158	1.154
YNL102W	NaN	1.178
YNL104C	1.258	1.084
YNL105W	0.954	0.855
YNL106C	1.076	0.797
YNL107W	NaN	1.264
YNL108C	1.028	1.071
YNL109W	1.336	1.406
YNL111C	0.710	0.789
YNL115C	1.118	1.238
YNL116W	1.240	0.897
YNL117W	1.248	1.142
YNL119W	1.510	2.589
YNL121C	NaN	2.438
YNL122C	1.098	0.993
YNL123W	1.128	1.722
YNL125C	1.064	1.033
YNL127W	1.302	1.209
YNL128W	0.976	0.936
YNL129W	1.054	0.980
YNL130C	1.110	0.960
YNL134C	1.216	0.848
YNL135C	1.198	1.155
YNL136W	NaN	0.795
YNL137C	NaN	1.638
YNL140C	0.634	NaN
YNL141W	1.100	1.234
YNL142W	1.240	1.162
YNL143C	1.158	1.087
YNL144C	1.182	1.435
YNL145W	1.118	1.063
YNL146W	1.006	1.253
YNL154C	1.072	0.748
YNL155W	1.170	1.182
YNL157W	1.104	1.090
YNL159C	1.108	0.889
YNL160W	1.136	1.402
YNL166C	1.090	0.917
YNL168C	1.256	1.005
YNL170W	1.368	0.821
YNL173C	1.108	1.101
YNL175C	0.976	1.278
YNL176C	1.206	1.164
YNL177C	NaN	5.151
YNL179C	1.034	1.405
YNL180C	1.392	0.869
YNL183C	0.950	1.150
YNL187W	1.210	1.196
YNL190W	0.996	0.893
YNL191W	1.034	1.194
YNL192W	1.440	1.032
YNL193W	1.084	0.964
YNL194C	1.152	1.024
YNL195C	1.114	1.153
YNL196C	0.880	1.473
YNL197C	0.684	0.456
YNL198C	1.498	1.643
YNL200C	1.044	1.058
YNL201C	1.154	0.775
YNL202W	1.148	0.983
YNL203C	1.148	0.969
YNL204C	1.194	1.547
YNL205C	0.966	1.273
YNL206C	1.000	0.835
YNL211C	1.074	1.392
YNL212W	1.200	1.130
YNL213C	1.366	2.702
YNL214W	1.198	1.283
YNL215W	1.556	2.124
YNL217W	1.010	1.012
YNL218W	1.412	1.145
YNL219C	1.160	1.471
YNL223W	NaN	1.169
YNL224C	1.286	1.369
YNL226W	NaN	2.137
YNL227C	NaN	1.470
YNL229C	NaN	0.649
YNL230C	1.156	1.069
YNL231C	1.214	1.955
YNL232W	NaN	1.678
YNL233W	1.202	0.850
YNL235C	0.458	0.255
YNL237W	1.088	0.875
YNL239W	0.824	0.536
YNL241C	1.426	1.702
YNL242W	1.142	1.008
YNL248C	NaN	5.679
YNL249C	1.234	0.964
YNL250W	NaN	4.362
YNL252C	2.204	2.528
YNL253W	1.096	0.885
YNL254C	1.060	1.188
YNL255C	1.390	1.502
YNL257C	1.014	0.767
YNL259C	0.896	0.712
YNL264C	1.076	1.367
YNL265C	0.978	1.005
YNL266W	1.160	0.981
YNL269W	1.100	1.043
YNL270C	0.996	1.016
YNL273W	1.400	1.946
YNL274C	1.100	0.989
YNL275W	1.184	1.129
YNL276C	1.086	0.900
YNL278W	0.990	1.091
YNL279W	1.048	0.933
YNL281W	1.386	1.560
YNL283C	1.030	0.565
YNL284C	NaN	3.345
YNL285W	1.042	1.139
YNL286W	0.924	1.048
YNL288W	0.908	0.758
YNL289W	1.132	0.908
YNL291C	1.222	1.411
YNL292W	1.068	1.080
YNL293W	1.142	1.201
YNL294C	0.628	0.394
YNL295W	1.028	1.042
YNL298W	1.002	0.342
YNL299W	1.016	0.521
YNL300W	1.282	1.365
YNL301C	1.026	0.962
YNL303W	1.032	0.949
YNL304W	1.352	1.481
YNL305C	1.152	1.017
YNL307C	0.886	0.657
YNL311C	1.134	0.923
YNL314W	NaN	0.627
YNL315C	NaN	3.735
YNL316C	1.200	0.851
YNL318C	1.004	0.976
YNL319W	1.102	1.422
YNL321W	1.156	1.079
YNL322C	0.850	0.499
YNL325C	1.038	0.406
YNL326C	1.296	1.572
YNL327W	1.262	0.974
YNL328C	1.448	1.009
YNL329C	1.000	1.153
YNL332W	1.136	0.994
YNL333W	1.168	1.011
YNL334C	1.348	1.290
YNL335W	1.118	1.209
YNL336W	1.124	0.982
YNL338W	1.018	0.995
YNL339C	1.006	1.014
YNR001C	0.820	0.864
YNR002C	1.196	1.151
YNR004W	1.646	1.170
YNR005C	0.700	0.536
YNR006W	0.594	0.353
YNR007C	0.954	0.581
YNR008W	1.274	1.147
YNR009W	1.150	1.351
YNR012W	1.402	1.080
YNR013C	1.052	1.063
YNR014W	1.070	0.969
YNR015W	1.154	0.870
YNR018W	1.156	1.702
YNR019W	1.008	1.043
YNR020C	1.208	1.731
YNR021W	1.100	1.170
YNR024W	0.980	1.088
YNR025C	1.246	1.690
YNR027W	1.420	0.889
YNR028W	1.026	1.056
YNR029C	1.158	1.849
YNR030W	1.140	0.954
YNR031C	1.224	1.126
YNR032C-A	1.414	2.132
YNR032W	1.512	1.413
YNR034W	1.070	1.104
YNR036C	NaN	4.059
YNR037C	2.440	4.268
YNR039C	1.150	1.032
YNR040W	0.844	0.560
YNR041C	1.340	1.409
YNR042W	1.072	1.061
YNR044W	1.240	1.091
YNR045W	1.444	1.406
YNR048W	1.276	1.858
YNR049C	1.106	0.927
YNR050C	1.274	0.815
YNR051C	0.746	0.309
YNR055C	1.340	0.938
YNR056C	1.280	1.048
YNR057C	1.338	1.168
YNR058W	1.416	0.961
YNR059W	1.080	0.897
YNR060W	1.206	1.162
YNR061C	1.196	1.234
YNR062C	1.092	0.958
YNR063W	1.136	0.907
YNR064C	0.996	1.283
YNR065C	1.116	0.913
YNR066C	1.270	1.478
YNR067C	1.004	1.211
YNR068C	1.108	1.213
YNR069C	1.116	0.890
YNR070W	1.002	1.048
YNR071C	1.082	0.980
YNR072W	1.354	1.308
YNR074C	1.306	3.558
YNR075W	0.888	0.773
YOL001W	NaN	0.846
YOL002C	1.230	1.049
YOL003C	0.984	0.849
YOL006C	NaN	1.464
YOL007C	1.086	1.055
YOL008W	NaN	3.038
YOL011W	1.110	0.918
YOL013C	1.186	1.186
YOL013W-B	1.098	1.029
YOL014W	1.188	1.011
YOL015W	1.280	1.114
YOL016C	4.106	0.886
YOL017W	1.066	0.809
YOL019W	2.618	1.045
YOL020W	NaN	1.541
YOL024W	1.252	1.073
YOL025W	1.416	0.836
YOL027C	1.726	1.319
YOL028C	1.186	0.965
YOL029C	1.210	0.861
YOL030W	1.156	1.284
YOL031C	1.136	1.041
YOL032W	1.164	1.558
YOL033W	1.376	1.003
YOL035C	1.134	1.303
YOL036W	1.246	1.379
YOL037C	1.340	0.966
YOL039W	1.458	1.519
YOL041C	NaN	1.909
YOL042W	1.170	1.106
YOL043C	1.234	1.127
YOL044W	1.070	1.518
YOL045W	1.268	1.933
YOL046C	1.344	1.670
YOL047C	1.134	1.017
YOL048C	1.134	0.901
YOL049W	1.130	0.980
YOL050C	NaN	0.275
YOL052C	1.144	1.318
YOL052C-A	1.062	1.131
YOL053W	1.074	0.811
YOL054W	1.080	0.725
YOL055C	1.122	0.876
YOL056W	0.998	0.908
YOL057W	1.096	0.833
YOL058W	1.106	0.993
YOL059W	0.924	0.815
YOL061W	0.670	0.432
YOL062C	1.110	0.841
YOL063C	1.082	0.960
YOL064C	NaN	2.310
YOL065C	1.208	0.967
YOL068C	1.052	0.740
YOL070C	1.188	1.273
YOL071W	1.376	0.984
YOL075C	1.274	1.150
YOL079W	1.004	2.147
YOL080C	1.024	2.473
YOL081W	NaN	0.690
YOL082W	0.916	0.968
YOL083W	1.266	1.053
YOL084W	1.056	1.007
YOL085C	1.158	1.022
YOL088C	1.374	1.560
YOL089C	0.664	0.487
YOL090W	0.876	0.924
YOL091W	0.994	0.835
YOL092W	1.092	0.983
YOL093W	1.282	1.000
YOL095C	NaN	4.990
YOL096C	1.796	1.601
YOL098C	1.404	1.037
YOL099C	1.258	1.017
YOL100W	1.220	1.372
YOL101C	1.018	1.331
YOL103W	1.232	1.213
YOL104C	0.996	1.048
YOL105C	1.094	0.970
YOL106W	1.100	0.917
YOL107W	1.190	1.213
YOL108C	0.972	0.985
YOL109W	1.198	1.029
YOL110W	1.244	1.243
YOL111C	0.838	0.558
YOL112W	1.272	0.970
YOL113W	1.188	0.864
YOL114C	NaN	1.198
YOL116W	1.210	0.873
YOL117W	1.230	0.998
YOL119C	1.294	0.972
YOL122C	1.350	1.157
YOL124C	1.150	1.038
YOL125W	1.118	0.955
YOL126C	1.326	0.934
YOL128C	1.050	1.235
YOL129W	1.090	0.804
YOL131W	1.200	1.159
YOL132W	1.356	1.041
YOL133W	1.020	0.943
YOL136C	1.450	1.249
YOL137W	1.226	1.001
YOL138C	1.164	1.390
YOL141W	1.140	1.056
YOL147C	0.990	0.963
YOL150C	1.342	1.145
YOL151W	1.002	1.000
YOL152W	1.214	1.351
YOL153C	0.988	1.229
YOL155C	1.046	1.065
YOL158C	1.078	1.090
YOL159C	0.988	0.983
YOL160W	1.076	1.060
YOL162W	1.072	0.817
YOL163W	1.038	1.060
YOR002W	1.270	0.858
YOR003W	1.000	1.034
YOR005C	1.102	0.955
YOR006C	1.288	1.083
YOR007C	1.178	0.613
YOR009W	1.326	1.056
YOR010C	1.204	0.912
YOR011W	1.108	1.140
YOR012W	1.226	1.138
YOR013W	1.304	0.971
YOR015W	1.032	1.072
YOR016C	1.108	1.071
YOR017W	1.084	1.130
YOR018W	1.264	1.194
YOR019W	1.038	0.974
YOR021C	1.220	1.265
YOR022C	1.160	1.064
YOR023C	0.972	0.921
YOR024W	1.396	1.188
YOR025W	1.668	0.953
YOR027W	0.108	0.305
YOR028C	1.066	0.764
YOR029W	1.162	0.674
YOR030W	0.648	0.660
YOR032C	1.098	0.944
YOR033C	1.188	1.411
YOR034C	1.120	1.132
YOR037W	1.210	1.062
YOR038C	0.750	1.007
YOR039W	0.884	1.310
YOR040W	1.162	0.938
YOR041C	0.982	0.990
YOR042W	1.062	1.022
YOR043W	1.032	0.657
YOR044W	1.120	1.167
YOR045W	1.366	1.930
YOR047C	1.226	1.029
YOR049C	1.082	1.272
YOR050C	1.048	0.972
YOR051C	1.490	0.924
YOR052C	1.088	1.093
YOR053W	1.140	0.985
YOR054C	1.154	1.109
YOR055W	1.042	0.927
YOR058C	1.144	0.929
YOR059C	1.064	0.917
YOR060C	NaN	0.895
YOR061W	0.254	0.664
YOR062C	1.086	1.027
YOR064C	1.056	1.112
YOR065W	1.540	1.280
YOR066W	1.038	0.883
YOR067C	1.184	1.077
YOR068C	0.692	1.052
YOR069W	0.710	0.993
YOR070C	1.170	0.873
YOR071C	1.188	0.977
YOR072W	1.116	1.032
YOR076C	1.622	0.632
YOR078W	NaN	3.094
YOR079C	1.086	1.118
YOR081C	1.102	1.039
YOR082C	1.202	1.188
YOR083W	0.902	1.060
YOR084W	0.996	0.862
YOR085W	1.112	1.196
YOR086C	0.914	0.960
YOR087W	1.070	0.949
YOR089C	0.480	0.793
YOR090C	1.292	1.047
YOR091W	1.256	0.741
YOR092W	1.160	1.037
YOR093C	1.134	0.957
YOR094W	1.236	0.908
YOR097C	1.292	0.949
YOR099W	1.318	1.103
YOR100C	1.066	1.031
YOR101W	1.166	1.170
YOR104W	NaN	3.554
YOR105W	1.306	1.258
YOR107W	1.342	1.161
YOR108W	1.118	1.086
YOR109W	0.910	0.748
YOR111W	1.186	1.038
YOR112W	1.134	1.089
YOR113W	1.354	1.146
YOR114W	1.190	1.230
YOR115C	1.162	0.595
YOR118W	1.114	0.949
YOR120W	1.112	1.112
YOR121C	1.188	1.268
YOR123C	1.188	1.193
YOR124C	1.116	1.002
YOR125C	1.354	1.338
YOR126C	1.094	0.979
YOR127W	1.110	0.887
YOR129C	1.136	0.987
YOR130C	1.232	1.019
YOR131C	1.238	1.087
YOR132W	0.886	1.267
YOR133W	1.174	1.097
YOR134W	1.124	0.845
YOR135C	0.910	1.058
YOR137C	1.034	1.035
YOR138C	1.142	1.175
YOR139C	0.768	0.626
YOR140W	0.686	0.693
YOR141C	NaN	1.902
YOR142W	1.130	1.020
YOR147W	1.154	1.356
YOR152C	1.186	1.049
YOR154W	1.202	1.152
YOR155C	1.256	1.079
YOR156C	1.230	1.385
YOR158W	2.024	0.943
YOR161C	1.272	1.048
YOR162C	1.166	0.892
YOR163W	1.164	0.970
YOR164C	0.888	0.583
YOR165W	1.174	1.052
YOR166C	1.158	1.051
YOR167C	1.360	1.240
YOR170W	0.758	0.990
YOR171C	0.928	0.969
YOR172W	1.018	1.061
YOR173W	0.982	0.818
YOR175C	1.080	0.960
YOR177C	1.078	0.883
YOR178C	1.068	0.992
YOR179C	0.984	1.502
YOR180C	1.164	1.058
YOR182C	NaN	2.898
YOR183W	NaN	2.506
YOR184W	1.096	1.118
YOR185C	1.098	1.060
YOR186W	1.064	0.864
YOR188W	1.048	0.929
YOR189W	1.402	2.610
YOR190W	1.198	0.988
YOR191W	1.072	1.998
YOR192C	1.076	1.139
YOR193W	1.274	1.066
YOR195W	1.202	1.207
YOR197W	1.156	0.976
YOR198C	NaN	0.609
YOR200W	NaN	4.592
YOR201C	NaN	8.561
YOR202W	1.162	0.999
YOR205C	NaN	3.668
YOR208W	1.308	1.004
YOR211C	NaN	2.501
YOR213C	1.358	1.349
YOR214C	1.310	1.066
YOR215C	1.174	1.272
YOR216C	0.556	1.084
YOR219C	1.128	1.191
YOR220W	1.240	1.005
YOR222W	1.094	1.025
YOR223W	1.016	0.785
YOR225W	1.144	0.957
YOR226C	1.152	0.956
YOR227W	1.416	0.934
YOR228C	1.270	1.233
YOR229W	1.272	1.003
YOR230W	1.054	0.947
YOR231W	1.222	1.405
YOR233W	1.138	0.991
YOR234C	NaN	1.626
YOR235W	1.222	2.704
YOR237W	1.156	0.824
YOR238W	1.294	1.045
YOR239W	1.215	1.149
YOR242C	1.190	0.974
YOR243C	0.886	0.662
YOR245C	1.330	1.217
YOR246C	1.174	0.933
YOR247W	1.470	1.003
YOR248W	1.366	1.188
YOR251C	1.518	1.502
YOR252W	1.324	1.057
YOR253W	1.398	1.272
YOR255W	1.376	1.043
YOR263C	1.262	0.999
YOR264W	1.192	0.930
YOR266W	1.166	1.028
YOR267C	1.252	0.800
YOR268C	1.042	0.980
YOR269W	1.184	0.793
YOR271C	1.240	0.888
YOR273C	1.178	1.098
YOR274W	0.684	0.510
YOR275C	0.562	0.412
YOR276W	1.292	1.259
YOR277C	1.364	1.163
YOR279C	1.108	0.848
YOR280C	1.282	1.290
YOR283W	1.188	0.973
YOR284W	1.214	1.080
YOR285W	1.202	0.967
YOR286W	1.180	1.198
YOR288C	1.144	0.938
YOR289W	1.164	0.990
YOR292C	1.030	1.137
YOR295W	NaN	3.970
YOR296W	1.260	1.210
YOR297C	0.858	0.591
YOR298C-A	1.128	0.783
YOR298W	1.108	0.951
YOR299W	1.148	1.066
YOR300W	1.292	1.064
YOR304C-A	1.090	1.175
YOR304W	1.084	0.951
YOR305W	NaN	7.456
YOR306C	1.122	0.896
YOR307C	0.966	0.831
YOR308C	1.520	2.153
YOR309C	NaN	4.538
YOR311C	1.152	1.218
YOR313C	0.964	1.036
YOR314W	0.942	0.894
YOR315W	0.854	0.925
YOR316C	0.936	0.848
YOR317W	0.992	1.160
YOR318C	1.336	1.196
YOR320C	1.074	1.423
YOR321W	1.082	0.967
YOR323C	0.860	1.052
YOR324C	1.124	1.171
YOR325W	0.924	0.866
YOR327C	0.442	0.624
YOR328W	1.176	1.072
YOR330C	1.396	1.289
YOR332W	NaN	0.860
YOR333C	0.930	0.640
YOR334W	1.064	1.357
YOR337W	1.142	1.307
YOR338W	0.966	1.156
YOR339C	1.012	1.100
YOR342C	1.076	0.964
YOR343C	1.158	1.174
YOR344C	1.218	1.051
YOR345C	1.086	1.016
YOR346W	1.074	1.018
YOR347C	1.080	0.971
YOR348C	1.198	0.978
YOR349W	0.718	1.263
YOR350C	1.302	1.482
YOR351C	1.068	1.255
YOR352W	0.868	1.516
YOR354C	1.228	1.738
YOR355W	1.254	2.458
YOR356W	1.120	1.174
YOR357C	1.002	0.993
YOR358W	1.148	1.199
YOR359W	0.866	0.999
YOR360C	NaN	0.528
YOR363C	1.246	1.175
YOR364W	1.078	0.943
YOR365C	1.062	0.924
YOR366W	NaN	1.080
YOR367W	1.178	1.071
YOR368W	1.100	1.013
YOR369C	1.522	1.957
YOR374W	0.900	1.064
YOR375C	1.010	1.123
YOR376W	1.078	1.077
YOR377W	1.266	1.436
YOR378W	1.198	0.894
YOR379C	1.042	0.885
YOR380W	1.070	1.341
YOR381W	1.048	0.917
YOR382W	1.092	1.012
YOR384W	1.102	0.947
YOR385W	1.132	1.163
YOR386W	1.250	1.026
YPL001W	1.200	1.256
YPL002C	NaN	0.222
YPL003W	0.978	0.861
YPL004C	1.364	1.141
YPL005W	NaN	6.893
YPL006W	1.146	1.096
YPL008W	NaN	2.233
YPL009C	1.162	0.898
YPL013C	1.380	1.579
YPL014W	1.256	1.340
YPL015C	1.154	1.111
YPL019C	1.268	0.942
YPL021W	1.248	1.227
YPL022W	1.170	1.341
YPL023C	1.142	1.079
YPL025C	1.406	1.525
YPL026C	1.066	1.133
YPL027W	1.198	1.018
YPL029W	NaN	3.663
YPL030W	1.012	1.311
YPL032C	0.966	0.833
YPL033C	0.934	1.065
YPL034W	1.012	1.056
YPL035C	1.128	1.806
YPL036W	1.010	1.010
YPL037C	0.902	0.860
YPL038W	1.014	1.215
YPL039W	1.022	1.166
YPL046C	1.134	1.015
YPL047W	1.426	1.061
YPL048W	1.086	0.934
YPL049C	0.834	0.584
YPL051W	0.348	0.557
YPL052W	1.254	1.525
YPL053C	1.276	0.914
YPL054W	1.080	1.113
YPL055C	1.044	1.451
YPL056C	1.400	2.014
YPL057C	1.290	1.499
YPL058C	1.220	1.215
YPL060W	1.050	0.984
YPL061W	NaN	1.355
YPL062W	NaN	2.126
YPL064C	1.174	1.014
YPL065W	0.190	0.218
YPL066W	1.094	1.177
YPL067C	1.144	1.118
YPL068C	NaN	1.702
YPL070W	1.094	0.928
YPL071C	1.086	0.855
YPL072W	1.002	1.161
YPL073C	1.138	1.059
YPL074W	1.158	0.990
YPL077C	1.110	1.165
YPL079W	1.196	2.145
YPL080C	1.192	2.326
YPL081W	1.144	1.310
YPL084W	0.642	0.411
YPL086C	NaN	1.996
YPL087W	1.212	1.018
YPL088W	1.278	1.390
YPL089C	1.226	1.860
YPL091W	1.080	1.009
YPL092W	1.162	1.273
YPL095C	0.980	1.020
YPL096W	1.114	1.586
YPL098C	NaN	1.254
YPL099C	1.082	0.933
YPL100W	0.974	0.882
YPL102C	NaN	2.103
YPL103C	1.204	0.867
YPL105C	1.112	0.859
YPL107W	1.344	0.983
YPL108W	1.246	1.205
YPL109C	1.128	1.295
YPL110C	1.192	1.245
YPL111W	1.140	1.474
YPL112C	1.202	1.014
YPL113C	1.050	0.997
YPL114W	1.058	0.891
YPL115C	0.832	0.642
YPL116W	1.084	1.068
YPL118W	NaN	4.825
YPL119C	1.114	1.086
YPL120W	0.826	0.526
YPL121C	1.166	1.044
YPL123C	1.128	1.198
YPL125W	NaN	4.658
YPL127C	1.156	1.050
YPL130W	1.032	1.289
YPL132W	1.254	1.202
YPL133C	1.124	0.953
YPL134C	1.164	1.353
YPL135W	0.960	0.697
YPL136W	1.308	1.201
YPL137C	1.180	1.041
YPL138C	1.124	0.818
YPL139C	1.572	0.876
YPL140C	1.134	1.135
YPL141C	1.092	0.977
YPL144W	1.636	2.558
YPL145C	0.880	0.736
YPL147W	1.338	1.115
YPL148C	NaN	3.142
YPL149W	1.118	1.241
YPL150W	1.128	1.055
YPL152W	1.018	0.731
YPL154C	1.154	0.816
YPL155C	1.174	1.116
YPL156C	1.032	1.075
YPL159C	1.474	1.847
YPL160W	NaN	1.835
YPL162C	1.140	1.458
YPL163C	1.366	1.207
YPL164C	1.210	0.940
YPL165C	1.390	0.979
YPL166W	1.124	1.094
YPL167C	1.260	0.981
YPL168W	1.136	1.134
YPL170W	1.170	0.858
YPL171C	1.170	1.023
YPL172C	1.310	0.901
YPL174C	NaN	0.941
YPL176C	1.030	0.868
YPL177C	1.264	1.126
YPL178W	NaN	0.722
YPL179W	1.224	1.025
YPL181W	1.350	2.056
YPL182C	1.354	1.801
YPL183C	0.896	0.674
YPL183W-A	NaN	2.571
YPL184C	1.160	1.408
YPL185W	1.164	1.139
YPL186C	1.218	1.321
YPL187W	1.196	1.728
YPL191C	1.048	1.092
YPL192C	0.956	1.400
YPL196W	1.226	1.120
YPL197C	1.008	1.436
YPL198W	0.940	1.550
YPL199C	1.068	1.193
YPL200W	0.950	1.296
YPL201C	0.964	0.929
YPL202C	1.092	3.388
YPL203W	1.156	2.276
YPL204W	NaN	1.215
YPL205C	NaN	2.126
