orf	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [30 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [37 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007
YDL002C	1.444	1.3441
YDL009C	1.378	1.4862
YDL010W	1.208	1.1223
YDL011C	1.174	1.2505
YDL012C	1.228	0.94483
YDL018C	1.376	1.3579
YDL019C	1.362	1.2737
YDL021W	0.97	0.53671
YDL022W	1.176	1.3117
YDL023C	1.058	0.50168
YDL024C	1.43	0.99477
YDL025C	1.046	1.9318
YDL026W	1.298	1.0852
YDL027C	1.304	1.3439
YDL034W	1.466	1.3068
YDL035C	0.834	1.5859
YDL036C	1.5	1.4007
YDL039C	1.374	1.3275
YDL046W	1.246	1.2731
YDL048C	1.628	2.4205
YDL049C	1.394	1.1383
YDL050C	1.396	1.1569
YDL051W	1.554	1.3942
YDL052C	1.328	1.0769
YDL053C	1.186	1.0956
YDL054C	1.346	1.4056
YDL057W	1.378	1.0849
YDL059C	1.568	2.2112
YDL065C	1.184	1.187
YDL067C	1.338	1.5178
YDL069C	1.602	1.1106
YDL070W	1.084	1.2143
YDL071C	1.236	1.1773
YDL072C	1.076	1.0587
YDL073W	1.186	0.71837
YDL076C	1.57	0.98149
YDL077C	0.346	
YDL078C	1.106	1.1189
YDL079C	1.176	1.0021
YDL080C	1.504	0.93821
YDL085W	1.064	0.98098
YDL086W	1.168	0.77051
YDL091C	1.046	0.74867
YDL093W	1.096	1.1354
YDL094C	1.226	1.5608
YDL095W	0.96	0.94456
YDL096C	0.96	0.57821
YDL099W	1.238	1.1291
YDL104C	1.508	1.6882
YDL109C	1.41	1.2441
YDL110C	1.286	1.3954
YDL112W	1.66	1.3499
YDL113C	1.5	1.2126
YDL114W	1.476	1.1921
YDL117W	0.164	1.0708
YDL121C	1.252	1.2911
YDL122W	1.232	1.187
YDL123W	1.286	1.1738
YDL124W	1.236	1.1495
YDL125C	1.308	1.9351
YDL127W	1.11	1.3024
YDL128W	1.226	1.0236
YDL129W	1.254	1.0744
YDL130W-A	1.352	1.1267
YDL131W	1.278	1.1758
YDL133C-A	1.341	1.25325
YDL133W	1.162	0.66173
YDL134C	1.098	1.0105
YDL135C	1.232	1.4804
YDL137W	1.326	1.0098
YDL138W	1.044	1.1004
YDL144C	1.308	0.84241
YDL146W	0.984	0.73771
YDL149W	1.07	1.1938
YDL154W	1.278	1.1307
YDL155W	1.152	1.003
YDL156W	1.28	1.2073
YDL157C	1.244	1.0592
YDL161W	1.016	1.0778
YDL162C	1.44	1.7862
YDL167C	1.388	0.83576
YDL168W	1.296	1.2256
YDL169C	1.224	1.3424
YDL170W	1.238	1.0273
YDL171C	1.084	1.0125
YDL172C	1.048	2.7924
YDL173W	0.94	1.9272
YDL174C	1.186	1.0154
YDL175C	0.972	0.80523
YDL176W	1.224	1.1174
YDL177C	1.222	1.2636
YDL178W	1.282	1.1185
YDL179W	1.216	1.0205
YDL180W	1.148	1.2919
YDL182W	0.966	1.181
YDL183C	1.152	0.8679
YDL184C	1.346	1.2784
YDL186W	1.226	1.2098
YDL187C	1.288	1.1487
YDL188C	1.326	1.2249
YDL189W	1.358	1.2383
YDL190C	1.148	0.82274
YDL194W	1.374	2.5855
YDL197C	1.25	1.105
YDL199C	1.126	1.1003
YDL200C	1.09	0.9923
YDL201W	1.196	0.94626
YDL203C	1.018	1.2839
YDL204W	1.102	1.0452
YDL210W	1.032	1.2269
YDL211C	1.078	1.0826
YDL213C	1.55	0.61119
YDL214C	1.366	1.0648
YDL215C	1.224	1.155
YDL216C	1.374	0.83827
YDL218W	1.224	1.0839
YDL219W	1.198	1.4186
YDL222C	1.126	1.0962
YDL223C	1.372	1.239
YDL224C	1.174	0.95602
YDL225W	1.224	0.99056
YDL226C	1.484	2.7857
YDL229W	1.214	0.85677
YDL230W	1.274	1.2557
YDL231C	1.194	1.2357
YDL233W	1.168	0.85878
YDL234C	1.29	1.1652
YDL236W	1.1	0.8278
YDL237W	1.126	0.89331
YDL238C	1.396	1.2385
YDL239C	1.188	1.0595
YDL240W	0.948	0.883
