ORF	hap alpha | utilization of fatty acids (formation of clear zone on agar) | oleic acid [0.1%] | Smith JJ~Aitchison JD, 2006	hap alpha | utilization of fatty acids (formation of clear zone on agar) | tetradecanoic acid [0.125%] | Smith JJ~Aitchison JD, 2006	hap alpha | growth (colony size) | acetate [2%] | Smith JJ~Aitchison JD, 2006
YLR083C	3.000	3.000	3.000
YOL158C	3.000	3.000	3.000
YNL084C	1.000	1.000	1.000
YGR254W	3.000	3.000	3.000
YDL161W	3.000	3.000	3.000
YLR206W	3.000	3.000	3.000
YJR125C	3.000	3.000	3.000
YLL038C	3.000	3.000	3.000
YDR153C	3.000	3.000	3.000
YIL005W	3.000	3.000	3.000
YHR123W	3.000	3.000	3.000
YDR414C	3.000	3.000	3.000
YLR246W	3.000	3.000	3.000
YMR202W	1.000	2.000	2.000
YNL280C	1.000	1.000	1.000
YER044C	1.000	1.000	1.000
YLR056W	3.000	2.000	3.000
YGL012W	2.000	1.000	1.000
YMR015C	1.000	1.000	2.000
YML008C	2.000	3.000	3.000
YFR041C	3.000	3.000	3.000
YAR002C-A	3.000	3.000	3.000
YAL007C	3.000	3.000	3.000
YDL018C	3.000	3.000	3.000
YOR016C	3.000	3.000	3.000
YHR110W	3.000	3.000	3.000
YGL002W	3.000	3.000	3.000
YCR075C	3.000	3.000	3.000
YGL054C	3.000	3.000	3.000
YBR210W	3.000	3.000	3.000
YPR037C	3.000	3.000	3.000
YML012W	3.000	3.000	3.000
YGR284C	3.000	3.000	3.000
YML067C	3.000	3.000	3.000
YAL042W	3.000	3.000	3.000
YNL125C	3.000	3.000	3.000
YMR219W	3.000	3.000	3.000
YDR363W	3.000	3.000	3.000
YOL017W	3.000	3.000	3.000
YLR233C	3.000	3.000	3.000
YLR318W	1.000	1.000	1.000
YIL009C-A	1.000	1.000	1.000
YBR026C	1.000	1.000	2.000
YDR518W	1.000	1.000	1.000
YLR300W	3.000	3.000	3.000
YDR261C	3.000	3.000	3.000
YOR033C	3.000	3.000	3.000
YOR317W	3.000	3.000	3.000
YIL009W	3.000	3.000	3.000
YMR246W	3.000	3.000	3.000
YFR019W	1.000	2.000	3.000
YNL023C	3.000	3.000	3.000
YJL157C	3.000	3.000	3.000
YLR238W	3.000	3.000	3.000
YNL127W	3.000	3.000	3.000
YMR052W	3.000	3.000	3.000
YFR008W	3.000	3.000	3.000
YMR029C	3.000	3.000	3.000
YBR041W	2.000	2.000	3.000
YER183C	3.000	3.000	3.000
YLR377C	1.000	1.000	2.000
YJL155C	3.000	3.000	3.000
YPR062W	3.000	3.000	3.000
YER056C	3.000	3.000	3.000
YER060W	3.000	3.000	3.000
YER060W-A	3.000	3.000	3.000
YCR034W	1.000	2.000	3.000
YCR028C	3.000	3.000	3.000
YBR101C	3.000	3.000	3.000
YMR058W	3.000	2.000	2.500
YMR319C	3.000	3.000	3.000
YFL041W	3.000	3.000	3.000
YBR040W	3.000	3.000	3.000
YCR089W	3.000	3.000	3.000
YNL325C	3.000	2.000	3.000
YDR130C	3.000	3.000	3.000
YER032W	3.000	3.000	3.000
YIL065C	3.000	3.000	3.000
YDR534C	3.000	3.000	3.000
YOR382W	3.000	3.000	3.000
YOR383C	3.000	3.000	3.000
YIL131C	3.000	3.000	3.000
YNL068C	3.000	3.000	3.000
YLR342W	3.000	3.000	3.000
YMR306W	3.000	3.000	3.000
YAR050W	3.000	3.000	3.000
YKR102W	3.000	3.000	3.000
YER108C	3.000	3.000	3.000
YBR008C	3.000	3.000	3.000
YIL134W	3.000	3.000	3.000
YIL098C	3.000	3.000	3.000
YHR176W	3.000	3.000	3.000
YER182W	3.000	3.000	3.000
YHL021C	3.000	3.000	3.000
YKR016W	3.000	2.000	3.000
YPL099C	3.000	3.000	3.000
YDR070C	3.000	3.000	3.000
YKR065C	3.000	3.000	3.000
YBR269C	3.000	3.000	2.000
YHR198C	3.000	3.000	3.000
YBR047W	3.000	3.000	3.000
YMR115W	3.000	3.000	3.000
YLR077W	3.000	3.000	3.000
YJR080C	3.000	3.000	3.000
YLR454W	3.000	3.000	3.000
YER080W	3.000	3.000	3.000
YPL103C	3.000	3.000	3.000
YOR286W	3.000	3.000	3.000
YFL046W	3.000	3.000	3.000
YJL161W	3.000	3.000	3.000
YHR199C	3.000	3.000	3.000
YIL157C	1.000	1.000	2.000
YDR493W	3.000	3.000	2.500
YGL080W	3.000	3.000	3.000
YOR205C	1.000	1.000	1.000
YMR157C	3.000	3.000	3.000
YPL222W	3.000	3.000	3.000
YNL168C	3.000	3.000	3.000
YMR221C	3.000	3.000	3.000
YGR243W	1.000	1.000	1.000
YDL222C	3.000	3.000	3.000
YKR049C	3.000	3.000	3.000
YGR052W	3.000	3.000	3.000
YER038W-A	1.000	3.000	2.500
YKR027W	3.000	3.000	3.000
YBR262C	3.000	3.000	3.000
YER004W	3.000	3.000	3.000
YLR201C	1.000	1.000	2.000
YMR020W	3.000	3.000	3.000
YBL013W	3.000	2.000	3.000
YDR110W	3.000	3.000	3.000
YKR009C	1.000	1.000	3.000
YNL135C	3.000	3.000	3.000
YDR519W	3.000	3.000	3.000
YML074C	3.000	3.000	3.000
YLR449W	3.000	3.000	3.000
YLL043W	3.000	3.000	3.000
YLR214W	3.000	3.000	3.000
YKL220C	3.000	3.000	3.000
YOR381W	3.000	3.000	3.000
YNR060W	3.000	3.000	3.000
YOR384W	3.000	3.000	3.000
YLL051C	3.000	3.000	3.000
YOL152W	3.000	3.000	3.000
YCL026C-A	3.000	3.000	3.000
YOR324C	3.000	3.000	3.000
YAL028W	3.000	3.000	3.000
YHR049W	3.000	3.000	3.000
YMR222C	3.000	3.000	3.000
YOR280C	3.000	3.000	3.000
YBR207W	3.000	3.000	3.000
YER145C	1.000	1.000	1.000
YBL042C	3.000	2.000	2.500
YPL262W	1.000	1.000	2.000
YAL035W	3.000	3.000	3.000
YAL008W	3.000	3.000	3.000
YAL034C	3.000	3.000	3.000
YAL022C	3.000	3.000	3.000
YAL019W	3.000	3.000	3.000
YNR002C	3.000	3.000	3.000
YBR021W	3.000	1.000	2.500
YCL027W	3.000	3.000	3.000
YMR232W	3.000	3.000	3.000
YBL016W	3.000	3.000	3.000
YDR024W	3.000	3.000	3.000
YIL097W	3.000	3.000	3.000
YOR183W	3.000	3.000	3.000
YGR160W	3.000	3.000	3.000
YIL054W	3.000	3.000	3.000
YHR059W	3.000	2.000	2.500
YCL058C	3.000	3.000	3.000
YNL133C	1.000	2.000	3.000
YLR068W	3.000	3.000	3.000
YGR196C	3.000	3.000	3.000
YGL254W	3.000	3.000	3.000
YBR179C	1.000	1.000	2.000
YOR178C	3.000	3.000	3.000
YMR250W	3.000	3.000	3.000
YBR020W	3.000	3.000	3.000
YBR019C	3.000	3.000	3.000
YOL051W	3.000	3.000	2.000
YLR081W	3.000	3.000	3.000
YDR009W	3.000	3.000	3.000
YPL248C	3.000	3.000	3.000
YBR018C	3.000	3.000	3.000
YML051W	3.000	3.000	3.000
YER027C	3.000	3.000	3.000
YKR039W	3.000	3.000	3.000
YMR307W	3.000	3.000	3.000
YLR343W	3.000	3.000	2.000
YMR215W	3.000	3.000	3.000
YOL132W	3.000	3.000	3.000
YOL030W	3.000	3.000	3.000
YFL021W	3.000	3.000	3.000
YMR136W	3.000	3.000	3.000
YLR013W	3.000	3.000	3.000
YIR013C	3.000	3.000	3.000
YCL011C	3.000	3.000	3.000
YGL195W	3.000	3.000	3.000
YDR283C	3.000	3.000	3.000
YFR009W	3.000	3.000	3.000
YKR026C	3.000	3.000	3.000
YEL009C	3.000	3.000	3.000
YGR252W	3.000	1.000	2.500
YNL199C	3.000	3.000	3.000
YDL226C	3.000	2.000	2.500
YDR019C	3.000	3.000	3.000
YMR189W	3.000	3.000	3.000
YAL044C	1.000	1.000	2.000
YOR120W	3.000	3.000	3.000
YEL042W	3.000	3.000	3.000
YPR184W	3.000	3.000	3.000
YPL110C	3.000	3.000	3.000
YOR375C	1.000	1.000	2.000
YDL215C	3.000	3.000	1.000
YAL062W	3.000	3.000	3.000
YOR355W	3.000	3.000	3.000
YJR031C	3.000	3.000	3.000
YJR040W	3.000	3.000	2.000
YAL048C	3.000	3.000	3.000
YMR255W	3.000	3.000	3.000
YCL036W	3.000	3.000	3.000
YDR358W	3.000	3.000	3.000
YHR108W	3.000	3.000	3.000
YDL198C	3.000	3.000	3.000
YHR061C	3.000	3.000	3.000
YDR309C	3.000	3.000	3.000
YCL039W	3.000	3.000	3.000
YMR135C	3.000	3.000	3.000
YIR024C	3.000	3.000	3.000
YEL003W	3.000	3.000	3.000
YML094W	1.000	2.000	2.500
YDR507C	1.000	1.000	1.000
YBR045C	3.000	3.000	3.000
YER054C	3.000	3.000	3.000
YPL137C	3.000	3.000	3.000
YAL031C	3.000	3.000	3.000
YDR152W	3.000	3.000	3.000
YDR096W	3.000	3.000	3.000
YNL255C	3.000	3.000	3.000
YLR094C	3.000	3.000	3.000
YML006C	3.000	3.000	3.000
YCR098C	3.000	3.000	3.000
YEL011W	3.000	3.000	3.000
YMR311C	3.000	3.000	2.500
YKR058W	3.000	3.000	3.000
YJL137C	3.000	3.000	3.000
YCL040W	3.000	3.000	3.000
YER040W	3.000	3.000	3.000
YML004C	3.000	3.000	3.000
YDR272W	3.000	3.000	3.000
YER122C	1.000	1.000	1.000
YOR040W	3.000	3.000	3.000
YPL091W	3.000	3.000	3.000
YDL171C	3.000	3.000	3.000
YEL046C	3.000	3.000	3.000
YKR030W	3.000	3.000	3.000
YHR183W	3.000	3.000	3.000
YGR256W	3.000	3.000	3.000
YDR508C	3.000	3.000	3.000
YOR320C	3.000	3.000	3.000
YJL184W	1.000	1.000	2.000
YHL031C	3.000	3.000	3.000
YMR292W	3.000	3.000	3.000
YHR005C	3.000	3.000	3.000
YER020W	3.000	3.000	3.000
YOR371C	3.000	3.000	3.000
YAL056W	3.000	3.000	3.000
YDL022W	3.000	3.000	3.000
YOL059W	3.000	3.000	3.000
YGL121C	3.000	3.000	3.000
YPR160W	3.000	3.000	3.000
YDL021W	3.000	3.000	3.000
YOL056W	3.000	3.000	3.000
YDL035C	3.000	3.000	3.000
YKR067W	3.000	3.000	3.000
YKL026C	3.000	3.000	3.000
YBR244W	3.000	3.000	3.000
YOR357C	3.000	3.000	3.000
YPL223C	3.000	3.000	3.000
YOL151W	3.000	3.000	3.000
YHR104W	3.000	3.000	3.000
YDR517W	3.000	3.000	3.000
YJR090C	3.000	3.000	3.000
YCL035C	3.000	3.000	3.000
YDR098C	3.000	3.000	3.000
YER174C	3.000	3.000	3.000
YPL059W	1.000	1.000	1.000
YGR032W	3.000	3.000	3.000
YML048W	3.000	3.000	3.000
YDR108W	3.000	3.000	3.000
YJL101C	2.000	2.000	2.500
YOL049W	3.000	3.000	3.000
YOR185C	3.000	3.000	3.000
YFR015C	3.000	3.000	3.000
YLR258W	3.000	3.000	3.000
YGR154C	3.000	3.000	3.000
YMR251W	3.000	3.000	3.000
YML121W	3.000	3.000	3.000
YGR163W	3.000	3.000	3.000
YGL181W	3.000	3.000	3.000
YIR038C	3.000	3.000	3.000
YLL060C	3.000	3.000	3.000
YEL017W	3.000	3.000	3.000
YDL238C	3.000	3.000	3.000
YLR289W	3.000	3.000	3.000
YGL084C	3.000	1.000	3.000
YPL189W	3.000	3.000	3.000
YHL032C	3.000	3.000	3.000
YIL155C	3.000	3.000	3.000
YIL041W	3.000	3.000	3.000
YMR192W	3.000	3.000	3.000
YOR070C	3.000	3.000	3.000
YPL249C	3.000	3.000	3.000
YJL044C	3.000	3.000	3.000
YDL234C	3.000	3.000	3.000
YFL027C	3.000	3.000	3.000
YJL110C	3.000	3.000	3.000
YPR008W	3.000	3.000	3.000
YFL031W	3.000	3.000	3.000
YPR005C	3.000	3.000	3.000
YJL165C	3.000	3.000	3.000
YOL089C	3.000	3.000	3.000
YJR069C	1.000	1.000	1.000
YGL237C	1.000	1.000	2.000
YBL021C	1.000	1.000	1.000
YKL109W	3.000	2.000	2.000
YOR358W	3.000	2.000	2.000
YPL001W	3.000	3.000	3.000
YEL056W	3.000	3.000	3.000
YKR084C	3.000	3.000	3.000
YDL223C	3.000	3.000	3.000
YNL281W	3.000	3.000	3.000
YCR065W	3.000	3.000	3.000
YLR192C	3.000	3.000	3.000
YKL017C	3.000	3.000	3.000
YNL021W	3.000	3.000	3.000
YDR295C	3.000	2.000	3.000
YPR179C	3.000	3.000	3.000
YBR138C	3.000	3.000	3.000
YNL014W	3.000	3.000	3.000
YBL032W	1.000	1.000	1.000
YOR237W	3.000	3.000	3.000
YDL013W	3.000	3.000	3.000
YMR207C	3.000	3.000	3.000
YPL254W	1.000	1.000	1.000
YGL251C	2.000	3.000	2.500
YGR187C	3.000	3.000	3.000
YBR009C	3.000	3.000	3.000
YNL030W	3.000	3.000	3.000
YPL127C	3.000	3.000	3.000
YBR010W	3.000	3.000	3.000
YNL031C	3.000	3.000	3.000
YDR317W	3.000	3.000	3.000
YBL008W	3.000	3.000	3.000
YOR038C	3.000	2.000	3.000
YJR140C	3.000	3.000	3.000
YER055C	3.000	3.000	3.000
YFR025C	3.000	3.000	3.000
YOR202W	3.000	3.000	3.000
YCL030C	3.000	3.000	3.000
YIL116W	3.000	3.000	3.000
YIL020C	3.000	3.000	3.000
YBR248C	3.000	3.000	3.000
YJR055W	3.000	3.000	3.000
YDR420W	3.000	3.000	3.000
YMR161W	3.000	3.000	3.000
YDR528W	3.000	3.000	3.000
YER057C	2.000	3.000	3.000
YML075C	3.000	3.000	3.000
YLR450W	3.000	3.000	3.000
YOL095C	1.000	1.000	1.000
YDR174W	3.000	3.000	3.000
YOR032C	3.000	3.000	3.000
YJR147W	3.000	3.000	3.000
YBR034C	3.000	3.000	3.000
YLR205C	3.000	3.000	3.000
YGL077C	3.000	3.000	3.000
YDL125C	3.000	2.000	3.000
YDR305C	3.000	3.000	3.000
YOR258W	2.000	2.000	3.000
YDL227C	3.000	3.000	3.000
YJR075W	3.000	3.000	3.000
YMR032W	1.000	1.000	2.000
YLR113W	3.000	3.000	3.000
YNR055C	3.000	3.000	3.000
YDR158W	3.000	3.000	3.000
YER052C	3.000	3.000	3.000
YJR139C	3.000	3.000	3.000
YIL072W	3.000	3.000	3.000
YGL033W	3.000	3.000	3.000
YER062C	3.000	3.000	3.000
YMR251W-A	3.000	3.000	3.000
YPR068C	3.000	3.000	3.000
YGL194C	3.000	3.000	3.000
YPL116W	3.000	3.000	3.000
YIL112W	3.000	3.000	3.000
YMR172W	3.000	3.000	3.000
YKL084W	3.000	2.000	3.000
YPR193C	3.000	3.000	3.000
YEL066W	3.000	3.000	3.000
YBR215W	3.000	3.000	3.000
YDR138W	1.000	2.000	2.500
YJL092W	3.000	3.000	3.000
YDR399W	3.000	3.000	3.000
YNL004W	3.000	3.000	3.000
YOL013C	3.000	3.000	3.000
YLR207W	3.000	3.000	3.000
YOR267C	3.000	3.000	3.000
YMR027W	3.000	3.000	3.000
YLR097C	3.000	3.000	3.000
YMR186W	3.000	3.000	3.000
YOR311C	3.000	3.000	3.000
YHL002W	3.000	3.000	3.000
YKL101W	3.000	3.000	3.000
YBR133C	3.000	3.000	3.000
YBR272C	3.000	3.000	3.000
YHR127W	3.000	3.000	3.000
YLL026W	3.000	3.000	3.000
YFL014W	3.000	3.000	3.000
YJL159W	3.000	3.000	3.000
YBR072W	3.000	3.000	3.000
YCR021C	3.000	3.000	3.000
YDR533C	3.000	2.000	3.000
YDR171W	3.000	3.000	3.000
YDR258C	3.000	3.000	3.000
YPL240C	3.000	3.000	3.000
YOL068C	3.000	3.000	3.000
YPL015C	3.000	3.000	3.000
YOR025W	3.000	3.000	3.000
YDR191W	3.000	3.000	3.000
YGR223C	3.000	3.000	3.000
YDR225W	1.000	2.000	2.500
YBL003C	3.000	3.000	3.000
YBL002W	3.000	3.000	3.000
YHR067W	1.000	1.000	2.000
YCR020W-B	3.000	3.000	3.000
YOL012C	3.000	2.000	3.000
YGR268C	3.000	3.000	3.000
YOR284W	3.000	3.000	3.000
YNR032C-A	3.000	3.000	3.000
YOR300W	3.000	3.000	3.000
YJR036C	3.000	3.000	3.000
YGL141W	3.000	3.000	3.000
YGL168W	3.000	3.000	2.500
YOL063C	3.000	3.000	3.000
YPL244C	3.000	3.000	3.000
YER039C	3.000	3.000	3.000
YFR053C	3.000	3.000	3.000
YGL253W	3.000	3.000	3.000
YHR094C	3.000	3.000	3.000
YFL011W	3.000	3.000	3.000
YIL170W	3.000	3.000	3.000
YNL318C	3.000	3.000	3.000
YNR072W	3.000	3.000	3.000
YMR011W	3.000	3.000	3.000
YDR345C	3.000	3.000	3.000
YHR092C	3.000	3.000	3.000
YHR096W	3.000	3.000	3.000
YJL214W	3.000	3.000	3.000
YIR037W	3.000	3.000	3.000
YOR126C	3.000	3.000	3.000
YIL090W	1.000	1.000	1.000
YER065C	3.000	1.000	3.000
YPR006C	3.000	3.000	3.000
YBR157C	3.000	3.000	3.000
YJL077C	3.000	3.000	3.000
YLR099C	3.000	3.000	3.000
YMR195W	3.000	3.000	3.000
YPL250C	3.000	3.000	3.000
YNL037C	3.000	3.000	2.000
YOR136W	3.000	3.000	2.000
YDL066W	3.000	3.000	3.000
YLR174W	3.000	3.000	3.000
YNL009W	3.000	3.000	3.000
YJL146W	3.000	3.000	3.000
YFL013C	3.000	3.000	3.000
YNL215W	3.000	3.000	3.000
YLR052W	3.000	3.000	3.000
YOR189W	3.000	3.000	3.000
YER092W	3.000	3.000	3.000
YEL044W	3.000	3.000	3.000
YOL023W	1.000	1.000	2.000
YLR384C	3.000	3.000	3.000
YJL057C	3.000	3.000	3.000
YJR118C	3.000	3.000	3.000
YER086W	3.000	3.000	3.000
YCL009C	3.000	3.000	3.000
YLR432W	3.000	3.000	3.000
YML056C	3.000	3.000	3.000
YJR094C	3.000	3.000	3.000
YJL106W	3.000	3.000	3.000
YCR046C	1.000	1.000	2.000
YCR071C	1.000	1.000	1.000
YLR309C	3.000	3.000	3.000
YJL082W	3.000	3.000	3.000
YBR107C	3.000	3.000	3.000
YMR150C	1.000	1.000	2.000
YMR035W	1.000	1.000	2.000
YIL154C	3.000	3.000	3.000
YDL181W	3.000	3.000	3.000
YHR046C	3.000	3.000	3.000
YJL153C	3.000	3.000	3.000
YDR123C	3.000	3.000	3.000
YOL108C	3.000	3.000	3.000
YMR204C	3.000	3.000	3.000
YIL002C	3.000	3.000	3.000
YNL106C	3.000	3.000	3.000
YOR109W	3.000	3.000	3.000
YOL065C	3.000	3.000	3.000
YLR095C	3.000	3.000	3.000
YFR013W	3.000	3.000	3.000
YMR044W	3.000	3.000	3.000
YDR315C	3.000	3.000	3.000
YDR072C	3.000	3.000	3.000
YOL081W	1.000	1.000	1.000
YHR079C	3.000	3.000	3.000
YKR019C	3.000	3.000	3.000
YLL027W	1.000	1.000	2.000
YPR067W	1.000	1.000	2.000
YER019W	3.000	3.000	3.000
YER180C	3.000	3.000	3.000
YMR081C	3.000	3.000	3.000
YPL040C	1.000	1.000	1.000
YOR155C	1.000	1.000	2.000
YPR106W	3.000	3.000	3.000
YNL265C	3.000	3.000	3.000
YIR005W	3.000	3.000	3.000
YPL135W	3.000	3.000	3.000
YOR226C	3.000	3.000	3.000
YBR245C	3.000	3.000	3.000
YOR304W	3.000	3.000	2.500
YJR050W	3.000	3.000	3.000
YGL133W	3.000	3.000	3.000
YDR497C	3.000	3.000	3.000
YOL103W	3.000	3.000	3.000
YML068W	3.000	3.000	3.000
YDR229W	3.000	3.000	3.000
YDL115C	3.000	3.000	3.000
YKL032C	3.000	2.000	3.000
YDR492W	3.000	3.000	3.000
YOL002C	3.000	3.000	3.000
YLR023C	3.000	3.000	3.000
YOL101C	3.000	3.000	3.000
YJL073W	3.000	3.000	3.000
YKL217W	3.000	3.000	3.000
YPR061C	3.000	3.000	3.000
YLR331C	3.000	3.000	3.000
YNL227C	3.000	3.000	3.000
YJL162C	3.000	3.000	3.000
YJR097W	3.000	3.000	3.000
YLL057C	3.000	3.000	3.000
YMR132C	3.000	3.000	3.000
YMR294W	3.000	3.000	3.000
YJR091C	3.000	3.000	3.000
YGL241W	3.000	3.000	3.000
YPL125W	3.000	3.000	2.500
YGL016W	3.000	3.000	3.000
YER110C	1.000	1.000	1.000
YPR141C	3.000	3.000	3.000
YCL055W	3.000	3.000	3.000
YMR065W	3.000	3.000	3.000
YPL269W	3.000	3.000	3.000
YCL024W	3.000	3.000	3.000
YDR017C	1.000	1.000	1.000
YHR158C	3.000	3.000	3.000
YGR238C	3.000	3.000	3.000
YPL263C	3.000	3.000	3.000
YGL173C	3.000	1.000	2.000
YPL145C	3.000	3.000	3.000
YGL203C	2.000	2.000	3.000
YIL125W	1.000	1.000	2.000
YDR148C	1.000	1.000	2.000
YJL094C	3.000	3.000	2.500
YOR008C-A	3.000	3.000	3.000
YDR122W	3.000	3.000	3.000
YLR096W	3.000	3.000	3.000
YAR018C	3.000	3.000	3.000
YOR233W	3.000	3.000	3.000
YCR091W	3.000	3.000	3.000
YBL063W	3.000	3.000	3.000
YPL155C	3.000	3.000	3.000
YGL216W	3.000	3.000	3.000
YKL168C	3.000	3.000	3.000
YDL049C	3.000	3.000	3.000
YLL019C	2.000	1.000	3.000
YNL322C	3.000	3.000	3.000
YGR166W	3.000	3.000	3.000
YDR483W	3.000	3.000	3.000
YAL056C-A	3.000	3.000	3.000
YLR338W	3.000	3.000	3.000
YDR433W	2.000	1.000	2.500
YAL042C-A	3.000	3.000	3.000
YPL102C	3.000	3.000	3.000
YNL296W	3.000	3.000	3.000
YDL041W	3.000	3.000	3.000
YIL027C	3.000	3.000	3.000
YDR532C	3.000	2.000	3.000
YPR159W	3.000	2.000	3.000
YHR082C	3.000	3.000	3.000
YGR040W	3.000	3.000	3.000
YKL110C	3.000	2.000	3.000
YOR099W	3.000	3.000	3.000
YKR061W	3.000	3.000	3.000
YBR205W	3.000	3.000	3.000
YBR199W	3.000	3.000	3.000
YNL029C	3.000	3.000	3.000
YPL053C	3.000	3.000	3.000
YIL085C	3.000	3.000	3.000
YKL008C	3.000	3.000	3.000
YHL003C	3.000	3.000	3.000
YOL025W	3.000	3.000	3.000
YNL239W	3.000	3.000	3.000
YKL103C	3.000	3.000	3.000
YJL062W	3.000	3.000	3.000
YNL071W	3.000	3.000	3.000
YJL134W	3.000	3.000	3.000
YOR171C	3.000	3.000	3.000
YLR260W	1.000	1.000	1.000
YBL006C	3.000	2.000	3.000
YPL213W	2.000	2.000	3.000
YPL054W	3.000	3.000	3.000
YNL323W	3.000	3.000	3.000
YOR123C	3.000	3.000	2.500
YLR451W	3.000	3.000	3.000
YNL104C	3.000	3.000	3.000
YOR108W	3.000	3.000	3.000
YPL055C	2.000	2.000	2.500
YDL051W	3.000	3.000	3.000
YKL073W	3.000	3.000	3.000
YJR070C	3.000	3.000	3.000
YGL090W	3.000	3.000	3.000
YHR156C	3.000	3.000	3.000
YLR239C	1.000	1.000	2.000
YOR196C	1.000	1.000	2.000
YFR001W	3.000	3.000	3.000
YKL205W	3.000	3.000	3.000
YKL183W	3.000	3.000	3.000
YLR011W	3.000	3.000	3.000
YFL018C	3.000	3.000	3.000
YPL060W	1.000	1.000	3.000
YDR503C	3.000	3.000	3.000
YCL051W	3.000	3.000	3.000
YDL240W	3.000	3.000	3.000
YNR008W	3.000	3.000	3.000
YHR081W	3.000	3.000	3.000
YDR439W	3.000	3.000	3.000
YGR136W	3.000	3.000	3.000
YFR024C-A	3.000	3.000	3.000
YCL034W	3.000	3.000	3.000
YJL100W	3.000	3.000	3.000
YOR142W	3.000	3.000	3.000
YGR244C	1.000	1.000	3.000
YJL124C	1.000	1.000	2.000
YHR121W	3.000	3.000	3.000
YDR378C	3.000	2.000	3.000
YNL147W	3.000	2.000	3.000
YPL004C	3.000	3.000	3.000
YKL176C	3.000	3.000	3.000
YGR057C	3.000	3.000	3.000
YAL024C	3.000	3.000	2.500
YPR073C	3.000	3.000	3.000
YKL143W	3.000	3.000	3.000
YNL268W	3.000	3.000	3.000
YIR034C	3.000	3.000	3.000
YIL094C	3.000	3.000	3.000
YDR034C	3.000	3.000	3.000
YBR115C	3.000	3.000	3.000
YDL182W	3.000	3.000	3.000
YDL131W	3.000	3.000	3.000
YDR234W	1.000	2.000	3.000
YGL154C	3.000	3.000	3.000
YNR050C	3.000	3.000	3.000
YMR021C	2.000	3.000	2.000
YGL086W	3.000	3.000	3.000
YJL030W	3.000	3.000	3.000
YJL013C	3.000	3.000	3.000
YKL029C	3.000	3.000	3.000
YDR005C	3.000	3.000	3.000
YER142C	3.000	3.000	3.000
YLR427W	3.000	3.000	3.000
YEL053C	3.000	3.000	3.000
YPR051W	3.000	3.000	3.000
YCR020C-A	3.000	3.000	3.000
YCR019W	3.000	3.000	3.000
YGR289C	3.000	3.000	3.000
YGR292W	3.000	3.000	3.000
YGR288W	3.000	3.000	3.000
YBR298C	3.000	3.000	3.000
YBR299W	3.000	3.000	3.000
YBR297W	3.000	3.000	3.000
YER106W	3.000	3.000	3.000
YOL060C	3.000	3.000	3.000
YIL070C	3.000	3.000	3.000
YLR244C	1.000	1.000	2.000
YBL091C	3.000	3.000	3.000
YBR185C	3.000	3.000	3.000
YJL199C	3.000	3.000	3.000
YOR298C-A	3.000	3.000	3.000
YDL056W	1.000	1.000	1.000
YKL093W	3.000	3.000	3.000
YOR197W	3.000	3.000	3.000
YDL054C	3.000	3.000	3.000
YKL221W	3.000	3.000	3.000
YOL119C	3.000	3.000	3.000
YOR306C	3.000	3.000	3.000
YNL307C	3.000	3.000	3.000
YPR046W	3.000	3.000	3.000
YDR318W	3.000	3.000	3.000
YJR135C	3.000	3.000	3.000
YKL150W	3.000	3.000	3.000
YOR221C	1.000	1.000	2.000
YBR227C	3.000	3.000	3.000
YNL173C	3.000	3.000	3.000
YKL085W	3.000	1.000	2.000
YOL126C	1.000	2.000	3.000
YDL078C	1.000	2.000	3.000
YFL016C	1.000	1.000	2.000
YNL328C	3.000	3.000	3.000
YLR188W	3.000	3.000	3.000
YPL270W	2.000	1.000	2.000
YML104C	3.000	3.000	3.000
YAL010C	1.000	1.000	1.000
YOL009C	1.000	1.000	2.000
YOL076W	2.000	2.000	3.000
YLR368W	1.000	1.000	1.000
YHR194W	1.000	3.000	2.000
YOR147W	3.000	3.000	3.000
YGL219C	3.000	3.000	3.000
YKL053C-A	3.000	3.000	3.000
YPR083W	3.000	3.000	3.000
YOL027C	2.000	3.000	2.500
YGL020C	2.000	1.000	1.000
YGR100W	3.000	3.000	3.000
YGL197W	3.000	2.000	2.500
YJL112W	3.000	3.000	3.000
YLR288C	3.000	3.000	3.000
YPR070W	3.000	3.000	3.000
YDL005C	3.000	2.000	2.000
YLR069C	1.000	1.000	2.000
YJL102W	1.000	1.000	1.000
YKR007W	3.000	3.000	3.000
YER044C-A	3.000	3.000	3.000
YPL121C	3.000	3.000	3.000
YOR351C	3.000	3.000	3.000
YGR121C	3.000	3.000	3.000
YNL142W	3.000	3.000	3.000
YPR138C	3.000	3.000	3.000
YNL210W	3.000	3.000	3.000
YKR069W	3.000	3.000	3.000
YFR030W	3.000	3.000	3.000
YPL023C	3.000	3.000	3.000
YKL001C	3.000	2.000	3.000
YPR167C	3.000	3.000	3.000
YLR303W	3.000	3.000	3.000
YIL128W	3.000	3.000	2.500
YOL064C	3.000	3.000	3.000
YIR017C	3.000	3.000	3.000
YJR010W	3.000	3.000	3.000
YPL038W	3.000	3.000	3.000
YDR253C	3.000	3.000	3.000
YER091C	3.000	3.000	3.000
YOR241W	1.000	1.000	2.000
YBR213W	3.000	3.000	3.000
YLR017W	3.000	3.000	3.000
YPL187W	3.000	3.000	3.000
YGL089C	3.000	3.000	3.000
YDR461W	3.000	3.000	3.000
YNL145W	3.000	3.000	3.000
