orf	hap a | growth (pooled culture, barseq) | ethanol [24.5%], time [2 min] | SC | Yang J~Tavazoie S, 2020
YBR099C	-0.47325443597239597
YBR104W	0.343304770112313
YBR105C	0.9994883149612931
YBR106W	-0.580585320500741
YBR107C	0.26020380383433
YBR113W	-4.89682242859535
YBR114W	-1.6495390931421798
YBR116C	0.9975991260944241
YBR119W	-0.29941332187081
YBR120C	0.6214217610935071
YBR125C	2.09468454039215
YBR126C	0.46288674693644893
YBR127C	-0.177645207151227
YBR128C	-0.196745753823923
YBR129C	-0.41632534811163596
YBR130C	-2.7936298043007404
YBR132C	0.541255137959152
YBR133C	0.051440690479028356
YBR134W	-3.5619602681280695
YBR137W	-0.0753060410131317
YBR138C	0.5267798659443089
YBR141C	0.350291888598527
YBR145W	-2.11795692139748
YBR147W	-3.0234585674115
YBR148W	-0.313399970397318
YBR151W	-3.83890207036178
YBR157C	0.39219144405254797
YBR158W	0.130573310328291
YBR161W	1.02847665148167
YBR162C	0.0108201895653168
YBR162W-A	0.923688727272453
YBR164C	0.164184677622001
YBR165W	-0.378670006619742
YBR166C	0.17742793545840396
YBR168W	0.439407595797965
YBR169C	0.43229961285581103
YBR170C	-0.0834778628869733
YBR171W	-0.0535264647537654
YBR172C	-4.81435193966362
YBR173C	-0.618592329274296
YBR174C	-4.55833564139061
YBR175W	0.584175182882421
YBR176W	-0.855066651144039
YBR177C	-0.735068405978777
YBR179C	0.104920887229693
YBR180W	-0.315846625895439
YBR181C	1.1243326397776598
YBR182C	0.0538040048054817
YBR182C-A	-0.70865398816001
YBR183W	-0.580207718044138
YBR184W	-1.62409689244428
YBR185C	0.49830647982991705
YBR186W	0.20974415737851299
YBR188C	-2.35031626812495
YBR189W	0.45374643987080104
YBR191W	0.315897786227333
YBR196C-A	-4.8612113370522
YBR197C	0.24122145090707
YBR199W	0.0306482240144417
YBR200W	1.14387365483432
YBR200W-A	-1.0537922183286599
YBR203W	-2.95321201907898
YBR204C	0.22139159183218698
YBR205W	-0.121143418604532
YBR206W	-0.23918118273481
YBR207W	0.9651203262492901
YBR208C	-0.432025413434289
YBR210W	-0.14017106727709802
YBR212W	-0.00698236115868481
YBR214W	-0.229352241987097
YBR215W	0.09056674266367301
YBR216C	-2.14912756060283
YBR217W	0.475063921295511
YBR218C	-0.14211938947216798
YBR220C	-1.13266787736075
YBR223C	0.0459700185570386
YBR224W	0.44107067478706
YBR225W	-0.16880887440301
YBR226C	-0.0543944517050898
YBR229C	0.0214162745652769
YBR230C	-0.16004560421959801
YBR231C	0.3504725935067511
YBR232C	0.19480912307011802
YBR235W	0.609607014835058
YBR239C	0.9820573945440508
YBR240C	-0.826223935146879
YBR241C	-2.07079244970368
YBR244W	-0.444985516963558
YBR245C	0.43396395713050107
YBR246W	-1.2998615358463201
YBR250W	0.319878320350669
YBR251W	0.765422258946284
YBR255W	-1.7761214021891
YBR258C	-0.28680421696634
YBR259W	-0.044907564999525994
YBR260C	0.43774856465169
YBR261C	-0.542261615690377
YBR262C	-0.18760979297446304
YBR263W	0.0671895273161673
YBR266C	-0.23934696767329
YBR267W	0.130260706238616
YBR269C	-0.35699374185436605
YBR270C	-0.23578015394948101
YBR271W	-1.0254998303802398
YBR273C	-0.477131801017801
YBR275C	0.0992791047823047
YBR276C	-0.7494181810528959
YBR277C	0.680801193966961
YBR280C	-0.39001436279926704
YBR281C	0.0957439094198487
YBR283C	-0.912432749681136
YBR284W	0.808673905579917
YBR285W	0.125156021152043
YBR286W	0.469599272244923
YBR287W	-0.9571556725130451
YBR289W	-0.43624720849059095
YBR290W	0.0903304523357807
YBR291C	0.22174582795557
YBR292C	1.09841442550684
YBR293W	-1.85184365912658
YBR294W	0.304259964273703
YBR295W	0.30833563500133504
YBR296C	0.48578572850265705
YBR297W	-2.43965898102633
YBR299W	0.741031172753559
YBR301W	0.839956404519981
YCL001W	0.979037619102146
YCL001W-B	-3.4468324823383902
YCL002C	-0.534013384914812
YCL005W	-0.14383904437098902
YCL008C	-2.63750494667656
YCL009C	0.522150621697742
YCL010C	0.0744921419889585
YCL014W	-1.3253940114870741
YCL021W-A	-0.4739193356233
YCL022C	-2.48145875895587
YCL023C	-0.48758627765385204
YCL024W	-2.46817178917539
YCL026C-A	-0.38350171487511703
YCL026C-B	0.0520155254467517
YCL028W	-1.8870665618081697
YCL029C	-0.33682288680935696
YCL035C	1.42763058720757
YCL038C	-4.57933576910648
YCL039W	-0.656236637162967
YCL046W	-3.51286201096247
YCL048W	-0.332820040567585
YCL049C	-0.175897971935565
YCL050C	-0.17017708109528798
YCL051W	-0.6981816963517671
YCL057C-A	0.376895298128323
YCL057W	-0.313009004464402
YCL058C	0.501072489146721
YCL061C	0.431479453025048
YCL063W	-1.4063598952081595
YCL069W	-0.174627436319871
YCL076W	-3.53315148002918
YCR001W	-0.12747296429027802
YCR003W	0.901823124408164
YCR004C	1.4205615630347699
YCR005C	-0.0882713339838872
YCR006C	-4.35734747075654
YCR007C	0.12466588835445501
YCR008W	-0.37016226849274503
YCR009C	0.437870962043324
YCR010C	-3.9158240155096298
YCR011C	-0.0956428517091076
YCR015C	-0.122383526801554
YCR016W	0.0768223695663477
YCR017C	-0.0226433684745766
YCR019W	0.5273641462512171
YCR020W-B	-0.0426905445351602
YCR021C	0.9639042978280871
YCR022C	0.27421487284860996
YCR023C	-0.158161525859466
YCR024C-A	-0.398378401374298
YCR025C	-3.0143161590541805
YCR028C	0.0321441341434761
YCR028C-A	0.568151197034949
YCR030C	-0.9057986253619091
YCR031C	1.24462087808757
YCR032W	-0.3644051835492171
YCR033W	7.71443686010184
YCR034W	1.42540655720534
YCR036W	-3.54205651838017
YCR037C	-0.27223264485761495
YCR043C	1.80770160023866
YCR044C	0.5803100734118499
YCR045C	-0.0787559539714054
YCR046C	0.181325504417868
YCR048W	-0.286827413220508
YCR049C	0.12137682924957001
YCR050C	0.127783309207892
YCR051W	-0.32753359391047804
YCR053W	0.5819125885658629
YCR059C	-0.497484466991748
YCR060W	-3.27917817279374
YCR061W	0.2761212067387949
YCR063W	0.322296699854201
YCR065W	0.0822136899306847
YCR066W	0.828751014744014
YCR068W	0.6211149537857691
YCR069W	-0.205526549309481
YCR071C	0.509286191225257
YCR073C	-0.0603793510330014
YCR073W-A	0.14059792180737102
YCR075C	0.193214703613195
YCR075W-A	-0.0714506471055188
YCR076C	-3.78456836481417
YCR079W	-3.09534367427916
YCR081W	-0.0955405898396148
YCR082W	-1.4045559491565702
YCR085W	0.274131281837469
YCR086W	1.09117852796661
YCR087C-A	0.0524076224747063
YCR087W	0.20203011572758303
YCR088W	-0.37995669405103794
YCR090C	0.247662108341151
YCR091W	-0.661851892741422
YCR092C	0.0185539411230115
YCR094W	0.45010345081132896
YCR095C	0.10569193660193302
YCR098C	0.0167383368866908
YCR099C	-0.17906591762967103
YCR100C	0.14459347150293
YCR101C	-3.0368380606477703
YCR102C	-2.02015253606586
YCR102W-A	0.477408836747258
YCR105W	1.2343999209613898
YCR106W	2.2346869620783503
YCR107W	-0.331258721445211
YDL001W	0.7156715451169191
YDL002C	-0.0998400816676678
YDL006W	0.689310414340065
