orf	hom | chronological lifespan | time [1 week] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [2 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [5 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [7 weeks] | Powers RW 3rd~Fields S, 2006
YBR014C	2.249095006	3.315740033	3.364971816	0.710562534
YBR015C	1.780093301	2.441829556	7.318580528	0.764219714
YBR016W	1.662317011	1.615292719	6.603044412	1.508972799
YBR018C	1.650005697	2.765582188	7.26900483	1.135490606
YBR019C	1.310617979	3.604911474	6.302785531	4.877674508
YBR020W	1.011110007	0.9178287060000001	2.4656357470000003	0.6596951105
YBR022W	1.022214084	1.176355138	5.364009354	0.185557944
YBR023C	0.853233233	0.756769992	2.189726132	0.081148663
YBR024W	0.731464403	1.053103232	2.230305255	0.218212151
YBR025C	0.59608666	0.817358014	0.449214084	-0.314191696
YBR026C	0.339668013	0.104381067	0.021175186	0.092058866
YBR027C	2.154646425	1.631478617	3.973904968	-0.111545964
YBR028C	1.71996224	5.689495405	8.042103131	-2.174498536
YBR030W	1.660926108	4.928496583	7.986261637	1.33769441
YBR031W	0.916841574	1.963758758	4.109685208	0.544904785
YBR032W	0.946674107	2.187853521	3.540409564	0.049610569
YBR033W	0.931772385	1.36682891	3.736326899	0.315081533
YBR034C	1.042771382	0.726600368	0.456596883	-0.073473678
YBR035C	0.980970728	0.419228212	0.008835017	-0.284761124
YBR036C	0.457228421	0.63865645	0.172485801	-0.030509864
YBR037C	0.587791423	1.312183811	1.340901464	-0.0585125
YBR038W	0.47076929	1.41445393	0.935587496	0.094620071
YBR040W	1.116398331	5.475908002	2.926402694	0.856533606
YBR041W	0.357410376	0.013746798	-0.00076898	-0.53807321
YBR042C	1.67298682	1.709582925	0.981086403	-0.30598767
YBR043C	1.056225374	3.095060765	2.997742379	0.487628887
YBR044C	1.387100316	1.049016733	0.937757133	-0.295374048
YBR045C	1.253998533	2.456788239	2.319065863	0.283935094
YBR046C	0.89390346	3.160858217	1.099698975	-0.007163239
YBR047W	1.090010082	3.591252608	2.181939991	0.228528462
YBR048W	0.354544155	0.468460022	0.298060313	0.284020228
YBR050C	0.91242498	2.94601336	1.69599425	-0.231213923
YBR051W	0.774331979	2.508716483	2.335587748	0.010548068
YBR052C	0.621467083	4.270869134	2.0417342	-0.357708647
YBR053C	1.354337652	2.394921983	1.786619869	-0.389631937
YBR054W	1.883418281	2.274151107	2.235524534	-0.090000467
YBR056W	1.22767872	0.035937506	0.005481491	0.016106704
YBR057C	1.907726884	2.555808049	5.558182621	0.038948213
YBR058C	1.020379015	0.190448183	0.00449511	-0.201318626
YBR059C	0.807929271	0.858683866	1.507658901	0.233682851
YBR062C	1.353415754	1.968973714	4.410616529	0.910353467
YBR063C	1.680982451	1.690143612	3.761330558	0.350952564
YBR064W	1.05807874	1.59825212	3.552240309	0.072812848
YBR065C	1.42383888	1.010254399	0.245065264	-0.305371997
YBR066C	1.080213844	1.801351079	0.731641546	-0.162356994
YBR067C	0.65035685	2.0181037	1.812430228	0.133561289
YBR068C	0.288220545	1.517775	5.749787681	-0.325507641
YBR069C	2.092442774	1.629775083	0.014546565	-0.123483376
YBR071W	1.835140045	2.741522353	5.931749212	1.691278529
YBR072W	2.18804043	2.483050392	5.463300637	3.219508772
YBR073W	2.314326799	3.059386165	1.708994738	-0.031777934
YBR074W	1.6165355563333332	1.6197947973333333	2.6300828816666666	0.4420205993333333
YBR076W	1.224784694	1.605563864	3.405517981	0.052235266
YBR077C	0.901459981	2.995574666	3.745261521	22.82981171
YBR078W	0.106278578	0.019011443	-0.000104679	-0.311598154
YBR081C	0.007580416	0.017704371	0.011732967	1.311363727
YBR083W	0.40265936	1.744213849	0.344836677	-0.215517444
YBR084C-A	1.867415065	2.142402184	1.489385579	-0.129046012
YBR084W	0.502681675	0.525184665	2.053472038	1.908463151
YBR089C-A	1.354164126	0.90316488	0.535020345	0.173852538
YBR090C	1.907339671	1.799193175	1.475355408	0.389278462
YBR092C	1.920169711	2.086709012	2.440838568	0.39985138
YBR093C	1.211684138	1.083595737	1.843952486	0.620962093
YBR094W	1.778388046	1.519558915	0.499114562	0.068174697
YBR098W	1.3914921046666666	0.9398069693333334	1.738890185	1.8556619130000003
YBR099C	0.927182582	0.415862053	0.227851663	-0.109681034
YBR101C	1.247368136	1.113811213	0.613998804	-0.307303074
YBR103W	0.528847003	0.092762064	0.010271664	-0.272531153
YBR104W	0.798967172	0.751934805	0.773377251	0.184627665
YBR105C	0.31854263	0.045111434	0.011615008	-0.665455634
YBR106W	0.029190338	0.01707821	0.007319474	-0.029509979
YBR107C	1.655268945	1.05377605	2.935026694	0.796914485
YBR108W	1.747635795	1.288054716	2.593363405	1.157296059
YBR112C	0.113067871	0.015058477	0.03111817	-0.006765801
YBR113W	1.812004407	1.569812653	2.892011387	1.894390301
YBR114W	1.739083736	1.68450361	4.571872985	4.102767844
YBR116C	1.637473464	1.349848647	4.689800148	3.434487561
YBR119W	0.396742816	0.059951725	0.07849886	0.012846753
YBR120C	1.440103334	1.046219378	1.588053433	0.273255322
YBR125C	1.747989347	0.8446024	0.23856626	0.40978458
YBR126C	0.126700225	0.095983875	0.027066451	-0.154017409
YBR127C	0.003531054	-0.000752662	0.001932011	-0.404494922
YBR128C	0.415922438	0.094312113	0.053430169	-0.575393931
YBR129C	1.435279419	0.952065454	3.934683542	0.52579815
YBR130C	2.154661734	2.439193385	2.954638902	0.573333357
YBR131W	1.578792817	0.040371626	0.012631204	0.338289081
YBR133C	1.704924837	1.087454678	3.922802898	2.509647427
YBR134W	2.273200292	2.77361261	3.345477863	0.633830618
YBR137W	2.287577951	1.975271489	1.492310675	0.4447858
YBR138C	1.806103441	1.362919634	0.782573234	1.13480987
YBR139W	1.584336473	0.936598088	2.135268232	0.576864692
YBR141C	1.485912847	0.898637818	1.146045932	0.129523532
YBR144C	1.469324369	1.071412449	2.845828781	0.331168543
YBR145W	1.338148399	1.222360411	2.610774516	0.287389305
YBR146W	0.731657677	1.072486633	0.510024141	-0.505083136
YBR147W	1.532672957	1.057446399	4.127367305	0.727210913
YBR148W	2.067150675	1.82873448	1.203440998	0.411475866
YBR149W	2.147845896	2.211681359	2.170120949	0.327821205
YBR150C	1.425997387	0.888719261	1.193434037	0.425619316
YBR151W	1.977922071	1.13412835	2.912327409	0.669880258
YBR156C	1.720978147	1.023313335	0.681765506	0.276195268
YBR157C	1.965602853	1.63486797	1.196651565	0.451080398
YBR158W	1.889291716	1.170659589	2.877452882	0.502924394
YBR159W	1.553616403	0.858069874	1.07154404	0.199594333
YBR161W	1.586142404	1.105117531	0.949833062	-0.050804131
YBR162C	0.007581846	0.119294324	0.016519122	-0.226938352
YBR162W-A	1.253783487	0.549893618	0.146686734	-0.136302118
YBR163W	0.002626964	0.090221524	-0.011735332	-0.799901781
YBR164C	0.746755926	0.168213495	0.010958543	0.004676887
YBR168W	0.856452382	0.371534817	0.176677333	0.2477475
YBR169C	0.936496011	1.08297606	1.458523771	0.197544147
YBR170C	1.89862422	1.893659412	2.415293698	0.529575325
YBR171W	0.299713499	0.183885668	0.013760747	0.269155969
YBR172C	1.316134648	0.633393332	0.186433155	0.484042754
YBR173C	0.097564068	0.01053226	0.028218643	0.020877311
YBR174C	0.679714242	0.209637556	0.017008457	-0.179563546
YBR175W	0.63579086	0.617350907	0.023921539	0.386576972
YBR176W	1.818612245	3.061187972	0.614638225	1.133889052
YBR177C	0.533893084	1.606089103	2.094241455	0.8009394
YBR178W	0.990195331	1.782186723	1.040215256	0.509419749
YBR179C	0.002283094	0.020942115	0.01657824	0.23970482
YBR180W	1.005872646	1.38691573	0.846991775	0.288325922
YBR181C	0.123449984	0.213800712	0.236101066	0.453034214
YBR182C	0.887006094	1.455890366	2.014225261	1.474832449
YBR183W	0.667144999	0.736868873	1.567344842	0.18766766
YBR184W	0.562907751	0.325309378	1.167389153	0.310177649
YBR185C	0.615831747	1.408717412	0.077530931	0.731731886
YBR186W	1.894870148	0.887045616	0.984350856	0.490175285
YBR187W	1.428774743	1.148054964	0.286074861	-0.075759908
YBR188C	1.566154475	0.693299814	0.096399022	0.137091182
YBR189W	0.302511544	0.140133381	0.037251397	-0.157400985
YBR191W	0.207252696	0.266511906	0.071870824	-0.213284617
YBR194W	0.592218734	0.26288385	0.058436889	-0.190227403
YBR195C	0.742156789	0.335197274	0.010203734	-0.166035408
YBR197C	0.421327254	0.634159019	0.407939874	0.426967954
YBR199W	1.144047098	1.685999375	0.80634726	1.294936462
YBR200W	0.009463012	0.006426532	-0.005278974	-0.361448578
YBR201W	0.657401794	1.080565773	0.387973293	-0.08156601
YBR203W	0.859724468	1.99341079	0.066500945	-0.136389053
YBR204C	0.199703245	1.147792211	0.025341647	-0.363057569
YBR205W	1.480811096	0.508333356	0.341215034	-0.136286621
YBR206W	2.112903348	1.492720598	2.332196332	0.46363934
YBR207W	0.00691218	0.022717271	0.01113712	0.285734515
YBR208C	2.342937741	2.029545257	0.213501758	0.617597703
YBR210W	1.730416909	1.19533358	0.213735587	0.57882031
YBR212W	1.971390528	1.417295503	0.163999876	0.391004515
YBR213W	0.004234324	0.034320161	0.057476527	0.518651824
YBR214W	1.217245976	0.746358154	0.266938857	1.173456645
YBR215W	1.128179142	0.77002725	0.265819039	0.605233996
YBR216C	1.659090157	0.980885972	0.375375036	-0.033373644
YBR217W	1.184611408	0.011289036	0.008597614	-0.029817964
YBR218C	0.543129189	0.14265168	0.12731855	-0.24727231
YBR219C	1.665241161	0.851567398	0.366657795	-0.123299739
YBR220C	2.326699325	4.589464459	5.623261602	1.096473843
YBR221C	2.056986071	0.69840244	0.024151462	1.019500207
YBR222C	2.397762805	2.748667953	2.925402992	1.687728335
YBR223C	2.401030146	1.750416051	1.27457809	0.812638752
YBR224W	1.955401677	2.535607709	0.798600775	0.580220045
YBR225W	1.980462286	2.543897762	0.909310477	2.205747498
YBR226C	1.502028969	2.338532231	1.033627418	2.3409032
YBR227C	1.516781881	0.790601217	0.172654374	0.23003379
YBR228W	1.253686212	0.82892902	0.221621476	0.138408877
YBR229C	0.71220082	0.646837247	0.707420136	2.504450538
YBR230C	2.02666064	0.512281055	0.074846325	0.271524148
YBR231C	1.181186605	0.084945589	0.040747244	1.096020884
YBR232C	2.004765431	1.22041665	1.257052319	3.470161142
YBR233W	2.351631644	3.879316255	2.601915516	0.984903349
YBR235W	2.397986079	3.983478364	2.542066317	1.523041475
YBR238C	2.168655962	1.822777315	0.482616264	0.920681037
YBR239C	2.23553832	2.478512796	0.607076297	1.168389244
YBR240C	1.890847327	1.517372264	0.356947552	0.367908183
YBR241C	1.977485755	1.075338966	0.354956574	0.600432354
YBR242W	1.555940966	1.5360304	0.875557674	1.011479932
YBR244W	1.245240525	0.891826386	0.429015938	0.712316807
YBR245C	0.6256552435	0.335021071	0.07081429	-0.072842261
YBR246W	1.532835345	0.659366741	0.030090674	0.552988653
YBR248C	2.306207124	2.686738502	6.921348298	4.563192619
YBR249C	1.914231103	1.829321437	1.337771399	0.887424119
YBR250W	2.217247406	2.135291344	1.789989468	1.180953877
YBR251W	0.007036376	0.034755666	0.015263548	0.247225864
YBR255W	0.499991877	0.292880348	1.814347068	0.552921819
YBR258C	0.991336202	0.617188429	0.211857293	0.371446044
YBR259W	1.755407357	1.343903756	0.244546991	0.84217924
YBR260C	0.375364552	0.310076621	0.033059857	0.896434179
