ORF	hap a | growth (colony size) | expression of clogging-prone Pdi1-DHFR [standard] | Ast T~Schuldiner M, 2016
YGL028C	0.811
YMR269W	0.863
YLR182W	2.061
YLR257W	0.808
YNL146C-A	0.861
YGR205W	0.793
YLR412W	0.820
YHR181W	0.840
YPR149W	0.718
YIL111W	0.707
YLR248W	0.818
YOR377W	0.846
YLR030W	0.825
YGR108W	0.819
YLR173W	0.745
YDL113C	0.868
YDL010W	0.841
YOR354C	0.950
YNL058C	0.858
YOR225W	0.843
YDR385W	0.902
YOL160W	0.826
YNL279W	0.873
YDR042C	0.818
YDR079C-A	0.804
YMR316C-A	0.977
YBR042C	0.807
YER182W	0.727
YOR164C	0.825
YPL042C	1.214
YMR222C	0.842
YOR145C	0.923
YGR096W	0.814
YCR051W	0.858
YOR087W	0.969
YLR079W	1.521
YGL166W	0.784
YGL213C	0.855
YGR231C	0.851
YCR089W	0.822
YOL049W	0.877
YLR112W	0.876
YKL157W	0.856
YKR078W	0.851
YKL187C	0.817
YOR044W	0.833
YDL109C	0.857
YIL005W	0.850
YDR191W	0.859
YOR032C	0.800
YHR207C	0.807
YBR092C	0.846
YML075C	0.828
YOR268C	0.888
YLR278C	0.854
YDR465C	0.778
YGR001C	0.848
YHR021C	0.841
YCL021W-A	0.868
YGR204C-A	0.889
YNL277W-A	0.906
YOL013W-A	0.845
YPR111W	0.797
YJR148W	0.846
YCR016W	0.856
YDR220C	0.870
YDR112W	0.833
YFR034C	0.967
YDR389W	0.920
YGR037C	0.857
YLR280C	0.762
YFR006W	0.853
YDR480W	0.845
YOR252W	0.794
YDR128W	0.919
YNL195C	0.886
YLL052C	0.804
YGL058W	1.407
YIL136W	0.721
YFL044C	0.879
YGL079W	0.900
YPR163C	0.840
YFL010C	0.827
YMR263W	0.789
YDR476C	0.820
YDL071C	0.887
YGR093W	0.859
YLR170C	0.829
YNR022C	0.875
YHR100C	1.064
YNL117W	0.880
YOR343C	0.880
YHR096C	0.833
YOR137C	0.871
YDR446W	0.802
YCR107W	0.859
YKL110C	1.064
YGR011W	0.948
YCL075W	0.833
YDR509W	0.880
YOR015W	0.893
YDR169C	0.847
YPL144W	1.003
YMR009W	0.779
YMR044W	0.849
YMR244C-A	0.919
YFR025C	0.870
YER134C	0.832
YKL211C	0.790
YNL226W	1.227
YGR244C	0.878
YGR183C	1.000
YMR041C	0.870
YMR280C	0.823
YNL255C	0.850
YEL045C	1.919
YJR135C	0.864
YER170W	0.792
YNL096C	1.111
YKL061W	0.875
YIL138C	0.776
YMR109W	0.832
YJR110W	0.733
YGL125W	0.848
YIL108W	0.845
YLR062C	0.864
YBR158W	0.807
YDR067C	0.842
YEL052W	0.873
YIL146C	0.835
YML099C	0.939
YDL170W	1.056
YOR007C	0.865
YKL188C	0.826
YKL046C	0.873
YOR026W	0.830
YFR039C	0.806
YPL110C	0.886
YFR012W-A	0.940
YOR022C	0.866
YFL046W	0.829
YKR005C	0.843
YLR134W	0.860
YPR064W	0.876
YDR330W	0.885
YDR536W	0.884
YDR475C	1.029
YPR152C	0.781
YER032W	0.787
YOR001W	0.853
YJL052W	0.864
YMR111C	0.945
YLR128W	0.822
YOR265W	0.941
YGR023W	0.817
YOL029C	0.834
YBL024W	0.808
YLR200W	1.443
YOR177C	0.793
YPR027C	0.838
YMR187C	0.809
YDR332W	0.899
YBR284W	0.879
YIL071C	0.881
YPR052C	0.795
YKR036C	0.848
YMR138W	0.852
YIR017C	0.838
YLL047W	0.845
YDR139C	0.865
YGR181W	0.869
YDR346C	0.862
YEL060C	0.840
YDL019C	0.850
YFR014C	0.870
YOR019W	0.800
YDR051C	0.850
YPR155C	0.838
YIL156W	0.876
YKL031W	0.850
YDR182W-A	0.796
YGL006W-A	0.948
YKL155C	0.840
YOR237W	0.881
YGR279C	0.942
YIL120W	0.816
YMR247W-A	0.887
YNR057C	0.830
YKL179C	0.823
YOL043C	0.830
YER150W	0.859
YER067C-A	0.930
YGL253W	0.805
YIL088C	0.852
YGR152C	0.856
YCL047C	0.876
YML086C	0.889
YNL136W	0.978
YBR057C	0.826
YLR121C	0.816
YLR379W	0.867
YMR042W	0.852
YPR200C	0.834
YIL095W	0.862
YLR183C	0.879
YOR091W	0.842
YBR108W	0.901
YML004C	0.883
YIR044C	0.852
YOL125W	0.883
YGR010W	0.873
YLR019W	0.788
YJR082C	0.927
YHL006C	0.831
YNL208W	0.798
YKL041W	0.928
YDL091C	0.909
YFL055W	0.889
YBR301W	0.749
YDR269C	0.883
YGR035C	0.850
YKL069W	0.907
YNL297C	1.249
YNL211C	0.881
YJL105W	0.912
YPL034W	0.940
YDR206W	0.837
YLR361C-A	0.825
YBR225W	1.196
YHR017W	0.886
YFL010W-A	0.861
YML116W	0.840
YOL063C	0.911
YGL071W	0.908
