Line,Ca44,Cd111,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Zn66
YBR152W_ko,0.651898571,1.451095147,2.103334476,1.328118895,-0.32380657,-0.25773334,0.449169079,-2.100041103,-0.763249433,-3.138669949,-0.706173095,0.035246328,-1.272052671,-2.384925579
YBR153W_ko,-0.589775037,-0.347736061,0.126558602,0.489886464,-0.404260586,0.19251511,-0.099992499,-0.244355865,-0.762174324,-0.554755935,0.09336906,0.018684908,0.262990997,-1.637676364
YBR154C_ko,-0.420280309,-0.334891875,0.74875273,1.352477209,-2.36149203,0.331898529,-0.261655976,-0.207480948,-0.185487074,-0.238814727,0.65396294,-1.052485038,-0.758495583,0.778135167
YBR155W_ko,-1.218063043,-0.316443998,0.447322731,0.15559216,0.434285325,0.11989536,-0.632191971,-1.029754502,-0.815853182,0.325753677,-0.150027089,-1.885266864,-0.561002788,0.001317256
YBR160W_ko,-0.93265118,-0.044376048,-0.505988562,1.020331628,-0.006138538,0.285175147,-0.369164534,-0.155886035,-0.00618644,0.373370275,0.79248046,-1.742683361,-0.025626944,0.497345019
YBR165W_ko,-0.292739766,-0.670140076,-0.410987984,-0.515579803,1.407445552,-0.390811553,0.074790882,-0.070009626,-0.259549438,-0.353309815,0.462859762,-0.773380258,0.074392263,0.263451767
YBR167C_ko,-0.806803261,-0.673097126,-0.853800455,0.962524496,0.685063338,0.322524611,-0.043712702,-0.28436338,-0.015690471,1.051559366,-0.289405591,-0.938833775,0.074102308,0.436778435
YBR189W_ko,0.862007522,-0.454457376,-0.272153715,0.315996867,-0.498268688,-0.487676577,0.844379508,-0.248480584,1.89193157,0.703385986,-2.028480571,1.049650268,-0.143220196,-0.116545609
YBR190W_ko,1.975582383,1.066637576,0.725988485,-1.132899957,-0.62945221,-0.414657141,0.607890645,0.472620415,0.647228257,-1.379307293,-1.303874863,0.928972772,1.172541897,1.026605562
YBR191W_ko,1.368340985,0.604297159,1.347159057,1.678439319,-1.19313756,-0.637515919,1.252177946,0.011599434,0.806604643,-0.92953211,-0.80981941,0.593750832,1.423719926,1.531462437
YBR192W_ko,-0.320924746,1.570248201,0.387226081,-1.818045683,-0.366239158,-0.532997294,0.11321826,-1.15975842,-2.297169356,-1.15772677,0.692853823,0.620241412,1.755235925,0.086899423
YBR193C_ko,-0.758419975,1.982254685,0.192805263,-1.214214104,-0.628404056,-0.657700929,0.307572899,-2.115392874,1.489757941,-1.535045524,-1.743906441,0.597868014,-3.238630856,-1.692786197
YBR196C_ko,1.663349688,2.281988584,1.358462255,-2.592831482,-0.487936883,-0.88475008,0.528672174,0.278516725,1.049171884,-0.935822574,0.072302393,1.495708178,1.679947297,-1.676475481
YBR198C_ko,1.96981151,1.809970295,2.037876423,-2.832850724,-2.404581671,-1.294486144,0.58732744,-1.477524319,-2.371548019,-1.487523777,-3.038566122,1.037239272,0.912081958,-1.508102928
